image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Cretan_Hound%2C_drawing_by_Maria_Gkinala.jpg
000002.jpg,http://www.easypetmd.com/sites/default/files/Cretan%20Hound.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Cretan_Hound_at_Athens_International_Dog_Show%2C_October_1997.jpg/220px-Cretan_Hound_at_Athens_International_Dog_Show%2C_October_1997.jpg
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Cretan-Hound.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Cretan-Tracing-Dog.jpg
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Cretan-Hound-Images.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Cretan-Hound-Mix.jpg
000008.jpg,https://images.wagwalkingweb.com/media/breed/cretan-hound/hero/Cretan-Hound.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Kritikos-Ichnilatus.jpg
000010.jpg,https://pitbullluvbreedinfo.files.wordpress.com/2014/02/cretan_hound_2.jpg?w=450
000011.jpg,http://www.dogwallpapers.net/wallpapers/walking-cretan-hound-dog-photo.jpg
000012.jpg,https://i.pinimg.com/originals/28/a7/90/28a7902ced982ee4fba2794cc8767478.jpg
000013.jpg,https://dogsbreedusa.online/cretan-hound/kritikos-lagonikos/
000014.jpg,http://www.kretahund.de/images/kritisagis3.jpg
000015.jpg,http://www.onlycrete.com/Nature/images/Cretan5.jpg
000016.jpg,https://i.pinimg.com/originals/e2/22/45/e222456735a501a0d9a4fe5829841569.jpg
000017.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Cretan-Hound-Photos.jpg
000018.jpg,https://i.pinimg.com/originals/61/e0/4f/61e04fa06aafb4ffd0673c30d8087e54.jpg
000019.jpg,https://retrieverman.files.wordpress.com/2009/02/cretan-hound1.jpg?w=500
000020.jpg,http://www.kretahund.de/images/synnefiatopoliaschlucht3.jpg
