image,source
000001.jpg,http://www.easypetmd.com/sites/default/files/imagecache/Portrait/Cumberland%20Sheepdog.jpg
000002.jpg,http://www.easypetmd.com/sites/default/files/Cumberland%20Sheepdog%20(1).jpg
000003.jpg,https://i.pinimg.com/236x/22/a1/b3/22a1b3929b49f9302055edff4d4afceb--irish-sheepdog-dog-breeds.jpg
000004.jpg,https://www.doglib.com/wp-content/uploads/sites/2/cu/cumberland-border-sheepdog-designer-dogs-breed.jpg
000005.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/04/Cumberland-Sheepdog.jpg
000006.jpg,https://www.doglib.com/wp-content/uploads/sites/2/cu/cumberland-bluemerlesheltie-breed.jpg
000007.jpg,https://images-eu.ssl-images-amazon.com/images/I/51p2av4CFyL._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_SCLZZZZZZZ_.jpg
000008.jpg,https://www.animalssale.com/uploads/breed/breeds-2/cumberlandsheepdog.jpg
000009.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/1/15/Cumberland-happy-cumberland-sheepdog-breed.jpg/revision/latest?cb=20170909133503
000010.jpg,http://messybeast.com/history/shetland-sheepdog.jpg
000011.jpg,https://images-na.ssl-images-amazon.com/images/I/51deQtIexNL._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_SCLZZZZZZZ_.jpg
000012.jpg,http://www.dogwallpapers.net/wallpapers/cumberland-sheepdog-photo.jpeg
000013.jpg,https://i.pinimg.com/originals/95/a4/f3/95a4f34365f4e11aeedc4c49047e42d6.jpg
000014.jpg,https://i1.wp.com/www.glitzyworld.com/wp-content/uploads/2018/04/Cumberland-Sheepdog.jpg?resize=662%2C343&ssl=1
000015.jpg,http://alisanswers.com/wp-content/uploads/2018/09/Cumberland-Sheepdog-2.jpg
000016.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Cumberland-Sheepdog-temperament.jpg
000017.jpg,https://www.dogbreedinfo.com/images31/CumberlandSheepdogExtinctDogBreedinfoDrawing2.jpg
000018.jpg,https://d3fxc45vnyc74f.cloudfront.net/static/cache/2c/55/2c5574f5641b00d8077cd6a28899c04a.jpg
000019.jpg,https://images-na.ssl-images-amazon.com/images/I/51L94PTRfzL._SX466_.jpg
000020.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Icelandic_Sheepdog_Alisa_von_Lehenberg.jpg/220px-Icelandic_Sheepdog_Alisa_von_Lehenberg.jpg
000021.jpg,http://messybeast.com/history/welsh-sheepdog.jpg
000022.jpg,https://www.cheatsheet.com/wp-content/uploads/2018/06/Cumberland-Sheep-dogs.jpg
000023.jpg,http://content7.flixster.com/question/63/88/38/6388385_std.jpg
000024.jpg,https://d3fxc45vnyc74f.cloudfront.net/static/cache/d2/2b/d22b1d89cf4221a5e6a6e3f7726af90e.png
000025.jpg,http://www.dogwallpapers.net/wallpapers/cumberland-sheepdog-puppies-photo.jpg
000026.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Old_English_Sheepdog_%28side%29.jpg/320px-Old_English_Sheepdog_%28side%29.jpg
000027.jpg,https://images.our-assets.com/fullcover/2000x/9786133992443.jpg
000028.jpg,https://img.buzzfeed.com/buzzfeed-static/static/2018-07/25/14/asset/buzzfeed-prod-web-04/sub-buzz-16713-1532544786-5.jpg?crop=1500%3A1062%3B0%2C0&downsize=400:*&output-format=auto&output-quality=auto
000029.jpg,https://d3fxc45vnyc74f.cloudfront.net/static/cache/35/ac/35ac39de5da42a897704e55911eaf40b.jpg
000030.jpg,https://d1k5w7mbrh6vq5.cloudfront.net/images/cache/a2/26/f3/a226f306323897030bac52fddd24b178.jpg
000031.jpg,http://dogbreedstandards.com/wp-content/uploads/2012/01/Border-Collie.jpg
000032.jpg,https://2.bp.blogspot.com/-y3o81g2J-Y4/Wf3mHBwMGyI/AAAAAAAAAFM/oSp01nem6Rw3mQoZOLyLFEyRXPBYOK0agCLcBGAs/s400/Pictures-Of-Collie-Dogs.jpg
