image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/curly-coated-retriever-detail.jpg?bust=1535565566&width=355
000002.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Curly-Coated-Retriever-2.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212622/Curly-Coated-Retriever-History-06-500x500.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29183408/Curly-Coat-puppies.jpg
000005.jpg,http://www.dogzone.com/images/breeds/curly-coated-retriever.jpg
000006.jpg,https://vetstreet.brightspotcdn.com/dims4/default/d819ace/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fd9%2F1900f0a35f11e087a80050568d634f%2Ffile%2FCurly-Coated-Retriever-3-645mk062111.jpg
000007.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/curly-coated-retriever-dogs-and-puppies/curly-coated-retriever-dogs-puppies-1.jpg
000008.jpg,https://i.ytimg.com/vi/GGlyiMGWkL0/hqdefault.jpg
000009.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-CD/curlycoatedretrievers2.jpg
000010.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12185646/Curly-Coated-Retriever-on-White-04.jpg
000011.jpg,https://www.selectadogbreed.com/media/1592/curlycoatedretriever_adult.jpg
000012.jpg,https://www.petbarn.com.au/petspot/app/uploads/2016/08/118.-Curly-Coated-Retriever.jpg
000013.jpg,https://www.omlet.de/images/cache/512/768/Dog-Curly_Coated_Retriever-A_lovely_thick,_black_fured_male_Curly_Coated_Retriever.jpg
000014.jpg,http://www.curlycoatedretrieverclub.co.uk/wp-content/uploads/2015/11/club.png
000015.jpg,https://vetstreet.brightspotcdn.com/dims4/default/6f8c42a/2147483647/crop/646x381%2B2%2B43/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fa4%2F03%2F5433dac846af9078f7903bea1de2%2Fcurly-coated-retriever-ap-liydtg.jpg
000016.jpg,https://vetstreet-brightspot.s3.amazonaws.com/e5/adfb40a35f11e087a80050568d634f/file/Curly-Coated-Retriever-4-645mk062111.jpg
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Curly_Coated_Retriever.jpg
000018.jpg,https://animals.net/wp-content/uploads/2019/02/Curly-Coated-Retriever-5-650x425.jpg
000019.jpg,http://www.ccrca.org/hp_random_images/Black&LiverHomeCurlies3.gif
000020.jpg,https://espree-53db.kxcdn.com/collateral/B487C937-C35D-4871-B38D-5D05CBE5A8E1.jpg
000021.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16142111/Curly-Coated-Retriever-Care1.jpg
000022.jpg,https://images.ctfassets.net/w00x6p5qkejz/3IeB6q6AmsuE4CqM8U2s2Q/f79854ed6ea60ed8629e1e1678e3478d/Curly_Coated_Retriever_B_W_Small_File.png
000023.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/curly_coated_retriever/curly_coated_retriever_1.jpg
000024.jpg,http://dev.curlycoats.net/wp-content/uploads/2017/05/cropped-Bebe-Gait-2.jpg
000025.jpg,https://www.petmd.com/sites/default/files/breedopedia/curly_coated_retriever.jpg
000026.jpg,https://vetstreet-brightspot.s3.amazonaws.com/4d/b8cee0a36011e087a80050568d634f/file/Curly-Coated-Retriever-5-645mk062111.jpg
000027.jpg,https://i.pinimg.com/236x/65/5b/84/655b848e59933f2d82dff68866793c9a--curly-coated-retriever-rare-dogs.jpg
000028.jpg,https://www.doggroomingtutorial.com/wp-content/uploads/2016/11/Grooming-a-Curly-Coated-Retriever.jpg
000029.jpg,https://www.selectadogbreed.com/media/1591/curlycoatedretriever_puppy.jpg
000030.jpg,http://www.ccrca.org/breeders_images/Puppies1.jpg
000031.jpg,https://www.dogtemperament.com/wp-content/uploads/2018/11/curly-coated-retrievers-1-portrait.jpg
000032.jpg,https://www.omlet.de/images/cache/1024/683/Dog-Curly_Coated_Retriever-A_beautiful,_young_black_Curly_Coated_Retriever_lying_down.jpg
000033.jpg,https://i.pinimg.com/originals/fa/ff/2f/faff2f55770fa7f64ec294a7d627d66f.jpg
000034.jpg,https://i.ytimg.com/vi/pAH_uhJRfzg/maxresdefault.jpg
000035.jpg,http://www.noahsdogs.com/m/photos/get_image/file/13fc251abe45d9f2cacd636641ae6922.jpg
000036.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Curly-Coated-Retriever-3.jpg
000037.jpg,http://www.easypetmd.com/sites/default/files/Curly%20Coated%20Retriever%20(4).jpg
000038.jpg,https://doglime.com/wp-content/uploads/2019/02/Curly-coated-Retreiver.jpg
000039.jpg,https://i.pinimg.com/originals/e7/66/10/e766104219aaee7275acde804cc04f3f.jpg
000040.jpg,https://c8.alamy.com/comp/XA4PM1/curly-coated-retriever-portrait-XA4PM1.jpg
000041.jpg,http://yachtaparusmystoboj.space/wp-content/uploads/2013/04/curly-coated-retriever.jpg
000042.jpg,https://www.nylabone.com/-/media/Images/Nylabone-NA/US/Dog101/Breeds-A-Z/Curly-Coated-Retriever-jpg.jpg
000043.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Curly_coated_retriever.JPG/250px-Curly_coated_retriever.JPG
000044.jpg,http://www.irishdogs.ie/images/gallery/58/1015_album.jpg
000045.jpg,https://thumbs.dreamstime.com/z/curly-coated-retriever-lying-down-white-background-58528255.jpg
000046.jpg,https://static2.viovet.co.uk/petphotos/72858_572693a6f4ef2529d5476da3a32a4284.jpg
000047.jpg,https://i.pinimg.com/originals/44/2b/3d/442b3d85ac3de4b6e779ec21d3278623.jpg
000048.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22964_curly-coated-retriever-460x290.jpg
000049.jpg,https://images.wagwalkingweb.com/media/breed/curly-coated-retriever/appearance/curly-coated-retriever.png
000050.jpg,http://savedbydogs.com/images/original/3curlies.jpg
