image,source
000001.jpg,https://i.ytimg.com/vi/uXC1Wkim1QE/maxresdefault.jpg
000002.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/01/czechoslovakian-wolfdog.jpg
000003.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/01/czech-wolfdog.jpg
000004.jpg,https://dogsnet.com/wp-content/uploads/2019/03/czechoslovakian-wolfdog-header.jpg
000005.jpg,https://animalso.com/wp-content/uploads/2018/07/Czechoslovakian-Wolfdog-1.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234147/Czechoslovakian-Vlcak-On-White-01.jpg
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Czechoslovakian-Wolfdog-2.jpg
000008.jpg,https://i.ytimg.com/vi/IgPAB60YK6A/hqdefault.jpg
000009.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/01/wolfdog.jpg
000010.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09131736/Three-Czechoslovakian-Vlcak.jpg
000011.jpg,https://www.petguide.com/wp-content/uploads/2014/06/czechoslovakian-vlcak.jpg
000012.jpg,https://s3-eu-west-1.amazonaws.com/logs.omnibuilder/d02de782-ff96-489a-9acd-2dd230bfc96e/64d962fe-08ea-4df0-8dea-d69d3ee81593.jpg
000013.jpg,https://www.petguide.com/wp-content/uploads/2017/10/czechoslovakian-wolfdog.jpg
000014.jpg,https://3d4igz27oxtl2iwox73y9smh-wpengine.netdna-ssl.com/wp-content/uploads/2019/01/farmto-table.png
000015.jpg,https://animalso.com/wp-content/uploads/2018/07/Saarloos-Wolfhound-809x539.jpg
000016.jpg,https://3d4igz27oxtl2iwox73y9smh-wpengine.netdna-ssl.com/wp-content/uploads/2019/01/shutterstock_467329964.jpg
000017.jpg,https://yt3.ggpht.com/a/AGF-l79ELmC6YmjgtMqof4rxf6l53fJbjgiawjoF6g=s900-mo-c-c0xffffffff-rj-k-no
000018.jpg,https://miro.medium.com/max/2000/1*icvIoMktrWmTS45HQ2ukdw.jpeg
000019.jpg,https://i.pinimg.com/originals/2e/96/05/2e96056e87388129ac9cbdc1d8725402.jpg
000020.jpg,https://i0.wp.com/wilderness-society.org/wp-content/uploads/2018/08/1280-484494202-wolf-dog-siblings.jpg
000021.jpg,http://wolfdog.wbs.cz/y_ii_pups.jpg
000022.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/04/Czechoslovakian-Wolfdog-Images.jpg
000023.jpg,https://i.pinimg.com/originals/e9/64/da/e964da79af1c2c369d785085ba4d232a.jpg
000024.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/04/Czechoslovakian-Wolfdog-Photos.jpg
000025.jpg,https://images.ctfassets.net/w00x6p5qkejz/3o9dmZaT8ACiiSAMUKgkie/1f323630f83290efaf1664ed9850b432/Czechoslovakian_Wolfdog_2.jpg
000026.jpg,http://www.easypetmd.com/sites/default/files/Czechoslovakian%20Wolfdog%20(2).JPG
000027.jpg,https://dogsaholic.com/wp-content/uploads/2018/05/kv-680x602.jpg
000028.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/04/Czechoslovakian-Vlcak-Dog.jpg
000029.jpg,https://www.dogzone.com/images/breeds/czechoslovakian-wolfdog-puppy.jpg
000030.jpg,https://animalsfocus.com/wp-content/uploads/2019/01/Czechoslovakian-Vlcak.179296703-678x381.jpg
000031.jpg,https://www.dogmal.com/wp-content/uploads/2018/01/Czechoslovakian-Wolfdog-photo.jpg
