image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Cao_de_Castro_Laboreiro_Ruede.jpg
000002.jpg,https://www.caonosso.pt/uploads/racas_galeria/image[394].jpg
000003.jpg,https://www.royalcanin.pt/wp-content/uploads//2016/07/castro-laboeiro-1.jpg
000004.jpg,https://www.royalcanin.pt/wp-content/uploads//2016/07/castro-laboeiro-2.jpg
000005.jpg,https://www.caonosso.pt/uploads/racas_galeria/image[395].jpg
000006.jpg,https://images.vidaativa.pt/articles/850_400_84956-cao-de-castro-laboreiro_1526984581.jpg
000007.jpg,https://i1.wp.com/cachorros.com.br/wp-content/uploads/2017/11/cao-de-castro-laboreiro.jpg?fit=758%2C547&ssl=1
000008.jpg,https://i.pinimg.com/originals/53/4c/d1/534cd10158dc318b049c1530729bbae7.jpg
000009.jpg,https://www.royalcanin.pt/wp-content/uploads//2016/07/castro-laboeiro-5.jpg
000010.jpg,https://c8.alamy.com/comp/BX32GM/cao-de-castro-laboreiro-BX32GM.jpg
000011.jpg,http://lupusalimentos.com.br/system/wp-content/uploads/2011/06/cao_de_castro_laboreiro.jpg
000012.jpg,https://c8.alamy.com/comp/XE1EN4/cao-de-castro-laboreiro-XE1EN4.jpg
000013.jpg,https://i.pinimg.com/originals/64/37/a5/6437a517da619d74ffe37ec24ed06c8b.jpg
000014.jpg,https://www.royalcanin.pt/wp-content/uploads//2016/07/castro-laboeiro-4.jpg
000015.jpg,http://bib.ge/dogs/big/22444.jpg
000016.jpg,https://apollo-ireland.akamaized.net/v1/files/hcxput1c3awc3-PT/image;s=644x461
000017.jpg,https://i0.wp.com/www.mascotarios.org/wp-content/gallery/castro-laboreiro/cao-de-castro-laboreiro.jpg
000018.jpg,https://i2.wp.com/www.mascotarios.org/wp-content/gallery/castro-laboreiro/cao-de-castro-laboreiro3.jpg
000019.jpg,https://www.caonosso.pt/uploads/racas_galeria/image[393].jpg
000020.jpg,https://www.petguide.com/wp-content/uploads/2017/09/Cao-de-castro-laboreiro-668x501.jpg
000021.jpg,https://i.ytimg.com/vi/8EggzZUkJQg/hqdefault.jpg
000022.jpg,https://www.caesonline.com/wp-content/uploads/2013/10/cao-de-castro-laboreiro-4.jpg
000023.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Cao_de_castro_laboreiro.jpg/250px-Cao_de_castro_laboreiro.jpg
000024.jpg,https://www.caonosso.pt/uploads/racas_galeria/image[392].jpg
000025.jpg,http://villalaboreiro.com/EN/images/Fidel.sentado.site.jpg
000026.jpg,https://www.dogbreedinfo.com/images24/CaodeCastroLaboreiroCachorrosPurebredDogVillaLaboreiro2.jpg
000027.jpg,https://i.pinimg.com/236x/70/a6/a3/70a6a3144323d3a7666cd33dad48e6dd--castro-portugal.jpg
000028.jpg,https://www.dogbreedinfo.com/images24/CaodeCastroLaboreiroCachorrosPurebredDogVillaLaboreiro4.jpg
000029.jpg,https://i.pinimg.com/236x/64/0e/72/640e72c51ca4f6c0f6f9709868a2ed4b--castro-portugal.jpg
000030.jpg,https://c8.alamy.com/comp/X89MN3/cao-de-castro-laboreiro-X89MN3.jpg
000031.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/3/3f/Cao-de-castro-laboreiro_%283%29.jpg/revision/latest?cb=20171012105915
000032.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/C%C3%A3o-de-Castro-Laboreiro-dog-images-459x450.jpg
000033.jpg,https://www.caonosso.pt/uploads/racas_galeria/image[396].jpg
000034.jpg,https://c8.alamy.com/comp/PFRJ1P/portuguese-cattle-dog-cao-de-castro-laboreiro-side-view-PFRJ1P.jpg
000035.jpg,https://live.staticflickr.com/2792/4078579352_c1136b90fc_z.jpg
000036.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/1100062.jpg
000037.jpg,http://villalaboreiro.com/EN/images/Ninhadaa01-12-2011011.jpg
000038.jpg,https://cdn.olhares.pt/client/files/foto/big/919/9199037.jpg
000039.jpg,http://www.petpaw.com.au/wp-content/uploads/2014/10/C%C3%A3o-de-Castro-Laboreiro-with-the-Tongue-Out.jpg
000040.jpg,http://www.dogwallpapers.net/wallpapers/cao-de-castro-laboreiro-puppy-photo.jpg
000041.jpg,https://live.staticflickr.com/2497/4078802246_f303229351.jpg
000042.jpg,http://www.fci.be/Nomenclature/Illustrations/170g02.jpg
000043.jpg,http://animais.jcle.pt/fotos/152664_193115-associacao-portuguesa-do-cao-de-castro-laboreiro.jpg
000044.jpg,http://animais.jcle.pt/fotos/258235_396324-cachorros-castro-laboreiro.jpg
000045.jpg,http://www.dogwallpapers.net/wallpapers/cute-cao-de-castro-laboreiro-dog-wallpaper.jpg
000046.jpg,https://retrieverman.files.wordpress.com/2009/01/cao-de-castro-laboreiro-i.jpg?w=500
000047.jpg,https://www.carealotpets.com/images/breeding/dog-breeds/CaoDeCastroLaboreiro.jpg
000048.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/C%C3%A3o-de-Castro-Laboreiro-dog-food.jpg
000049.jpg,https://images-na.ssl-images-amazon.com/images/I/51W2htHDopL.jpg
000050.jpg,http://caninechronicle.com/wp-content/uploads/2011/03/Dog-Portrait-Cao-de-Castro-Laboreiro04.-Woman-in-costume.jpg
