image,source
000001.jpg,http://cp-caodegadotransmontano.com/wp-content/uploads/2015/10/10945033_10203359247917114_7099485229330944829_o1.jpg
000002.jpg,https://www.caonosso.pt/uploads/racas_galeria/image[452].jpg
000003.jpg,https://www.caonosso.pt/uploads/racas/image_c[72].jpg
000004.jpg,https://www.jornalnordeste.com/sites/default/files/styles/imagem_destaque__750x370_/public/cao_de_gado_transmontano_1.jpg?itok=rCinH5lI
000005.jpg,http://cp-caodegadotransmontano.com/wp-content/uploads/2015/08/603152_10200889343371044_1051579037_n1.jpg
000006.jpg,http://2.bp.blogspot.com/_Ll6lpfRX5n4/TJjvOBGPb5I/AAAAAAAAA7g/GJ4ArWd5Aoo/s1600/untitled.bmp
000007.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/C%C3%A3o-de-Gado-Transmontano-dog-temperament-600x450.jpg
000008.jpg,https://www.doglink.pt/sites/default/files/styles/style_600x450/public/cgd-rebanho_600_450.jpg?itok=4DUZSPUn
000009.jpg,http://animais.jcle.pt/fotos/263746_416334-excelente-cao-de-gado-transmontano.jpg
000010.jpg,https://www.diariodetrasosmontes.com/sites/default/files/cao_gado_trans_rc.jpg
000011.jpg,http://www.caodegadotransmontano.net/images/caodegadotransmontanoenero.jpg
000012.jpg,http://cp-caodegadotransmontano.com/wp-content/uploads/2015/10/522435_630769903649163_705883831_n-640x480.jpg
000013.jpg,http://www.frenchtoutou.com/race/groupe2/images/cao-degado-transmonteo/cao-de-gado-transmontano-1.jpg
000014.jpg,https://anidop.iniav.pt/images/RACAS_AUTOCTONES/CAES/cao_gado_transmontano/caodegadotransmontano.jpg
000015.jpg,https://i1.wp.com/mundocao.pt/site/wp-content/uploads/2016/01/4-2.jpg
000016.jpg,https://www.doglink.pt/sites/default/files/styles/crop_600x450_anuncio/public/gt_2.jpg?itok=I4k89e6h
000017.jpg,http://www.frenchtoutou.com/race/groupe2/images/cao-degado-transmonteo/cao-de-gado-transmontano-5.jpg
000018.jpg,https://static.wixstatic.com/media/f2d176_c0b063da91834a88851ceb6183d78e20.jpg
000019.jpg,https://ondalivrefm.net/olfm/wp-content/uploads/2014/03/CaO-DE-GADO-TRANSMONTANO-Torre-de-Moncorvo.jpg
000020.jpg,https://www.cm-braganca.pt/thumbs/uploads/news/image/1592/dest_1_720_1000.jpg
