image,source
000001.jpg,https://www.petguide.com/wp-content/uploads/2016/02/danish-swedish-farmdog-668x445.jpg
000002.jpg,https://www.skk.se/globalassets/nku/filer/images/nordic-breeds/dansk_svensk_gardshund.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205855/Danish-Swedish-Farmdog-on-White-01.jpg
000004.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Danish-Swedish-Farmdog-2.jpg
000005.jpg,https://i.pinimg.com/originals/44/58/f2/4458f286276ec188c279243574ce45ca.jpg
000006.jpg,https://images.ctfassets.net/w00x6p5qkejz/4Br8A9PP2w6gSmq6EcA6IE/d2091747b753dfc55f629d9dcf30d021/Danish_Swedish_Farmdog_2.jpg
000007.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/Danish-Swedish-Farmdog-lying-on-sofa-810x540.jpg
000008.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/two-Danish-Swedish-Farmdogs-on-sofa-680x557.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205843/Danish-Swedish-Farmdog-MP.jpg
000010.jpg,http://www.dogspotters.com/dog-breed-photos/danswefa.jpg
000011.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Danish_Farm_Dog1604fxcr_wb.jpg
000012.jpg,https://i.pinimg.com/originals/34/96/21/34962144ed98285d902cbd70a8aba994.jpg
000013.jpg,http://www.dogzone.com/images/breeds/danish-swedish-farmdog.jpg
000014.jpg,https://images.wagwalkingweb.com/media/breed/danish-swedish-farmdog/hero/Danish-Swedish-Farmdog.jpg
000015.jpg,http://dogbreedstandards.com/wp-content/uploads/2012/11/Danish-Swedish-Farmdog.jpg
000016.jpg,https://cdn.working-dog.net/static/images/race/376.jpg?v=5
000017.jpg,https://www.petguide.com/wp-content/uploads/2016/02/danish-swedish-farmdog-1.jpg
000018.jpg,http://i.imgur.com/5hovUMf.jpg?1
000019.jpg,http://dogzonenyc.com/wp-content/uploads/danish_swedish_farmdog.jpg
000020.jpg,http://www.dogwallpapers.net/wallpapers/lovely-danish-swedish-farmdog-dog-photo.jpg
000021.jpg,http://www.worldlifeexpectancy.com/images/a/d/d/b/danish_swedish_farmdog/danish_swedish_farmdog_1.jpg
000022.jpg,https://images.ctfassets.net/w00x6p5qkejz/69mrOpwGKkKqAw4Q8c8IK0/b9430db595e7d1aa66da2b7bda26dfd2/Danish_Swedish_Farmdog_1.jpg
000023.jpg,https://i.ytimg.com/vi/plyIVeNGE_A/maxresdefault.jpg
000024.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/4395013_orig.png
000025.jpg,https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX17844485.jpg
000026.jpg,http://www.easypetmd.com/sites/default/files/Danish%20Swedish%20Farm%20Dog%20(1).jpg
000027.jpg,https://alchetron.com/cdn/danish-swedish-farmdog-cb746e74-114b-40a4-8f68-6446f98397b-resize-750.jpeg
000028.jpg,https://i.ytimg.com/vi/IUGeKawSHe4/hqdefault.jpg
000029.jpg,http://dogoftheday.com/archive/2013/August/17.jpg
000030.jpg,https://i1.wp.com/06.gl/wp-content/uploads/2019/01/Danish-Swedish-Farmdog-2.jpg?resize=670%2C335&ssl=1
000031.jpg,https://i.pinimg.com/236x/5a/4a/75/5a4a754fcb92f142fefd37c0834a9162--kor-kennel.jpg
000032.jpg,https://www.dogbreedplus.com/dog_breeds/images/danish-swedish-farmdog-puppy.jpg
000033.jpg,https://dogwellnet.com/uploads/monthly_2015_12/danish-swedish-farmdog-800x800-fci356.png.d9bea653b029d79ef97052124ac861e8.png
000034.jpg,http://www.dogsindepth.com/terrier_dog_breeds/images/danish_swedish_farmdog_h04.jpg
000035.jpg,http://www.easypetmd.com/sites/default/files/Danish%20Swedish%20Farm%20Dog.JPG
000036.jpg,http://thepetwiki.com/wp-content/uploads/300px-Swedish_Danish_Farmdog.jpg
000037.jpg,https://www.doglib.com/wp-content/uploads/sites/2/da/danish-danish-swedish-farm-dog-breed.jpg
000038.jpg,https://www.dogbreedinfo.com/images14/DanishSwedishfarmdogIMG_2835a.JPG
000039.jpg,http://farmdogs.net/picts/article2-1.jpg
000040.jpg,https://thumbs.dreamstime.com/z/danish-swedish-farmdog-puppy-cute-two-month-old-danish-swedish-farmdog-puppy-breed-which-originates-denmark-southern-108096172.jpg
000041.jpg,https://puppyproject.org/wp-content/uploads/2015/04/Danish-Swedish-Farmdog.jpg
000042.jpg,https://c8.alamy.com/comp/XD715G/danish-swedish-farmdog-puppy-standing-on-meadow-XD715G.jpg
