image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c0/0Doberman-40172501920.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Jean_Dark_Sn%C3%B6_of_Sweden.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233854/Doberman-Pinscher-On-White-03.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12195417/Doberman-Pinscher-Care-2.jpg
000005.jpg,http://www.scarvasstrand.eu/images/blog/timeline/1.jpg
000006.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_93f0005b-08c6-40f4-adce-c3c5dd2b8139.jpg
000007.jpg,https://previews.123rf.com/images/jujuphotography/jujuphotography1803/jujuphotography180300055/98726706-the-dobermann-to-most-of-the-world-or-doberman-pinscher-is-a-medium-large-breed-of-domestic-dog-orig.jpg
000008.jpg,https://www.mascotarios.org/wp-content/uploads/2012/03/dobermann.jpg
000009.jpg,https://i.pinimg.com/originals/1d/31/d3/1d31d3dabfee0979eac96762352425e5.jpg
000010.jpg,http://www.dogzone.com/images/breeds/doberman.jpg
000011.jpg,https://doghopes.com/wp-content/uploads/2018/08/Doberman-Pinscher-1078x516.jpg
000012.jpg,https://www.omlet.de/images/cache/587/768/Dog-Doberman_Pinscher-A_mature_adult_Doberman_Pinscher_sitting_very_tall.jpg
000013.jpg,https://www.purina.co.uk/sites/g/files/mcldtz2481/files/2017-12/dobermann%20_400x378_0.jpg
000014.jpg,https://i.pinimg.com/originals/08/2e/ae/082eae223ac04cd63598e0478e29f451.jpg
000015.jpg,https://www.pets4homes.co.uk/images/breeds/8/1fdd68862bbd9952cae3245f1bbc72b0.jpg
000016.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Dobermann_Black_and_Tan_%22Vito%22.jpg/220px-Dobermann_Black_and_Tan_%22Vito%22.jpg
000017.jpg,https://www.calendarclub.co.uk/resize/main/-/media/productimages/24/10/241041_main.jpg
000018.jpg,https://dnl7t01l0fo05.cloudfront.net/fr/wp-content/uploads/sites/2/2015/12/Dobermann-12.jpg
000019.jpg,https://doglime.com/wp-content/uploads/2019/02/Dobermann-Sitting.jpg
000020.jpg,https://comps.canstockphoto.com/side-view-of-brown-dobermann-dog-muzzle-stock-photograph_csp53984794.jpg
000021.jpg,http://dicamo-dogs.com/wp-content/uploads/2019/02/Ugor-di-casa-Montenegro.jpg
000022.jpg,https://cdna.artstation.com/p/assets/images/images/016/389/450/large/francois-bourdin-psx-20190306-220623.jpg?1551973717
000023.jpg,https://t2.ea.ltmcdn.com/en/razas/1/3/1/img_131_doberman-pinscher_0_orig.jpg
000024.jpg,https://www.pdsa.org.uk/media/4027/dobermann-og.png
000025.jpg,https://archive.content.aah.net.au/files/images/dobermann-portrait.jpg
000026.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b0/Dobermann%EF%BC%8FDoberman_Pinscher_%28%E6%9D%9C%E8%B3%93%E7%8A%AC%EF%BC%8F%E6%9D%9C%E5%AE%BE%E7%8A%AC%29.jpg
000027.jpg,http://www.the-dobermann.com/images/quarz_191.jpg
000028.jpg,https://www.myfamilyusa.com/content/images/thumbs/0026825_dobermann-dog-tag.jpeg
000029.jpg,http://www.dogbreedhealth.com/wp-content/uploads/2011/04/Doberman-2.jpg
000030.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Doberman_Pinscher_Portrait.jpg
000031.jpg,https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX5719016.jpg
000032.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/doberman-700x700.jpg
000033.jpg,https://previews.123rf.com/images/robuart/robuart1611/robuart161101019/67682907-doberman-pinscher-dobermann-doberman-isolated-on-white-dog-of-medium-large-size-with-square-build-an.jpg
000034.jpg,http://www.diravallese.com/behr/behr%20head%20mainpage.jpg
000035.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555384345/shape/mentalfloss/istock_000072988737_small.jpg
000036.jpg,http://cdn.simplesite.com/i/b2/50/282882356759253170/i282882364632870277._szw1280h1280_.jpg
000037.jpg,https://images-eu.ssl-images-amazon.com/images/I/51KdPgD4IvL.jpg
000038.jpg,https://www.pets4homes.co.uk/images/classifieds/2018/08/30/2044688/thumbs/torcheney-dobermanns-we-three-kings-5ca1204b7bb21.jpg
000039.jpg,https://s3.eu-central-1.amazonaws.com/onlinepets/images/Dobberman.jpg
000040.jpg,http://www.diwinum-doberman.com/uploads/FB_IMG_1545001004545.jpg
000041.jpg,https://i.ytimg.com/vi/-G3J25lmxJc/maxresdefault.jpg
000042.jpg,https://images-na.ssl-images-amazon.com/images/I/51UGy3yajqL._SX258_BO1,204,203,200_.jpg
000043.jpg,https://nimages.champdogs.net/breeds/dobermann.jpg
000044.jpg,https://i.ytimg.com/vi/IkqeWgs8tdA/hqdefault.jpg
000045.jpg,https://i.pinimg.com/736x/42/18/d8/4218d8dbc076c48b908f48c4b224fc5b.jpg
000046.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22920_doberman-pinscher-460x290.jpg
000047.jpg,http://dobermankennel.weebly.com/uploads/5/9/0/1/59017275/1469952_orig.jpg?218
