image,source
000001.jpg,https://previews.123rf.com/images/geptays/geptays1804/geptays180400024/99860958-the-white-dogo-argentino-standing-in-grass-front-view.jpg
000002.jpg,https://previews.123rf.com/images/geptays/geptays1712/geptays171200004/90993194-dogo-argentino-sitting-in-summer.jpg
000003.jpg,https://http2.mlstatic.com/cachorros-dogo-argentino-D_NQ_NP_770103-MLM29264421585_012019-F.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Dogo_argentino_sylwetka.jpg/245px-Dogo_argentino_sylwetka.jpg
000005.jpg,https://http2.mlstatic.com/dogo-argentino-cachorros-de-primera-linea--D_NQ_NP_153415-MLA25236757203_122016-F.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/0Dogo-argentino-22122251920.jpg
000007.jpg,https://previews.123rf.com/images/geptays/geptays1804/geptays180400017/99860951-the-strong-powerfull-dogo-argentino-on-green-background.jpg
000008.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/dogo-argentino-breed-pictures/dogo-argentino-breed-pictures-1.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Argentinian-Mastiff.jpg
000010.jpg,https://img.milanuncios.com/fg/2432/28/243228108_4.jpg?VersionId=FDIews3I1vkcQDszK0FB5gQQWtbCxX5U
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11141747/Dogo-Argentino.jpg
000012.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44224122/1/?bust=1552527371&width=720
000013.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11141818/Dogo.Care_.jpg
000014.jpg,https://kbimages1-a.akamaihd.net/997ada91-6192-4acf-a1c4-185e2f399b37/1200/1200/False/a-beginners-guide-to-dogo-argentinos.jpg
000015.jpg,https://http2.mlstatic.com/dogo-argentino-servicio-de-stud-D_NQ_NP_828145-MLA29527696113_022019-Q.jpg
000016.jpg,http://www.mundoanimalia.com/images/ejemplares/78/3e/6a/641aa381139a7254f52aaf4bfc5d99da/pampcv_0174__9896.jpg
