image,source
000001.jpg,https://i.pinimg.com/236x/cf/dc/92/cfdc92b63da73bb7d1b00ff7da3b5718.jpg
000002.jpg,http://molosserdogs.com/gallery/albums/userpics/11127/canispertiatzus3.jpg
000003.jpg,http://www.easypetmd.com/sites/default/files/Dogo%20Sardesco.gif
000004.jpg,https://www.mascotarios.org/wp-content/uploads/2012/02/dogosardesco.jpg
000005.jpg,http://www.molosserdogs.com/gallery/albums/userpics/11127/canispertiatzus.jpg
000006.jpg,https://www.dogmal.com/wp-content/uploads/2018/09/dangur_dogo_sardo.jpg
000007.jpg,https://i.pinimg.com/736x/4f/48/0a/4f480a7550024975316c7156a16903c7.jpg
000008.jpg,https://www.dogmal.com/wp-content/uploads/2018/09/dogo_sardesco.jpg
000009.jpg,http://www.dogwallpapers.net/wallpapers/resting-dogo-sardesco-dog-photo.jpg
000010.jpg,https://www.dogmal.com/wp-content/uploads/2018/09/new-dogo-photos.jpg
000011.jpg,http://www.dogwallpapers.net/wallpapers/searching-dogo-sardesco-dog-photo.jpg
000012.jpg,https://s2.dmcdn.net/v/MtLrO1T5bSA4-v3Ql/x1080
000013.jpg,https://www.dogmal.com/wp-content/uploads/2018/09/sardinian_shepherd_dog.jpg
000014.jpg,http://www.dogwallpapers.net/wallpapers/dogo-sardesco-photo.jpg
000015.jpg,https://www.ideegreen.it/wp-content/uploads/2018/07/dogo-sardo-3.jpg
000016.jpg,http://www.molosserdogs.com/gallery/albums/userpics/10609/dogo%20sardo.jpg
000017.jpg,https://i.pinimg.com/236x/90/7b/a1/907ba1352085ea48ba5e6b37e1758d52.jpg
000018.jpg,http://www.dogwallpapers.net/wallpapers/dogo-sardesco-side-view-photo.jpg
000019.jpg,http://dogsintheworld.altervista.org/wp-content/uploads/2018/06/19146058_1576647032346434_6617228093870304719_n-306x480.jpg
000020.jpg,http://www.dogwallpapers.net/wallpapers/walking-dogo-sardesco-dog-photo.jpg
000021.jpg,https://live.staticflickr.com/446/32330961486_d9ea18e9c1_b.jpg
000022.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2019/04/13001237_569616543205445_3711476113825775358_n-290x500.jpg
000023.jpg,http://www.dogwallpapers.net/wallpapers/running-dogo-sardesco-puppy-photo.jpg
000024.jpg,https://www.dogmal.com/wp-content/uploads/2018/09/dogo_sardo.jpg
000025.jpg,http://i286.photobucket.com/albums/ll91/activedog/sar1.jpg
000026.jpg,http://www.ibnmall.com/imagedb/photoad/183895_Pet_4_medium.jpg
000027.jpg,https://www.animalieanimali.eu/wp-content/uploads/2015/07/dogosardoreducida2-vi.jpg
000028.jpg,https://canissardus.files.wordpress.com/2009/06/ercole.jpg
000029.jpg,https://www.livelife.guide/wp-content/uploads/2018/08/Pongo_1745-740x555.jpg
000030.jpg,https://i.ytimg.com/vi/hYsCY-AOpUE/maxresdefault.jpg
000031.jpg,https://www.dogmal.com/wp-content/uploads/2018/09/dogo_sardo_hd_photo.jpg
000032.jpg,http://www.dutch-stafford.com/Site_D/Dogo%20Sardo/dogo_Sardo_4.jpg
000033.jpg,http://molosserdogs.com/gallery/albums/userpics/11557/dogocucciolo.gif
000034.jpg,https://live.staticflickr.com/8461/29782656906_d89c3090b9_b.jpg
000035.jpg,https://i.ytimg.com/vi/pzouT9c_yKA/hqdefault.jpg
000036.jpg,https://cdn.fotofits.com/petzlover/gallery/img/l/dogo-sardesco-654180.jpg
000037.jpg,https://www.dogmal.com/wp-content/uploads/2018/09/dogo_sardo_training.jpg
000038.jpg,http://images.dogforum.sk/files/kqp8hrhaogckwt6z6a71.jpg
000039.jpg,https://i.pinimg.com/originals/7f/95/78/7f9578795096fb591c60f45b814e50de.jpg
000040.jpg,https://pics.me.me/dogo-sardo-with-hard-hair-from-my-friend-sergio-kennel-18214777.png
000041.jpg,https://live.staticflickr.com/2071/2443530657_b8d8fdf3d0.jpg
000042.jpg,https://www.dogmal.com/wp-content/uploads/2018/09/dogo_sardo_puppies_for_sale.jpg
000043.jpg,https://cdn.fotofits.com/petzlover/gallery/img/l/dogo-sardesco-563715.jpg
000044.jpg,https://cdn.fotofits.com/responsive/1200x1200/petzlover/gallery/img/l/dogo-sardesco-657656.jpeg
000045.jpg,https://www.dogmal.com/wp-content/uploads/2018/09/sardo_dogo.jpg
000046.jpg,http://i59.tinypic.com/4ilspk.jpg
000047.jpg,https://i.ytimg.com/vi/XB0IsHtPALc/hqdefault.jpg
000048.jpg,https://www.dogmal.com/wp-content/uploads/2018/09/cane_sardo_photo.jpg
000049.jpg,http://www.dogwallpapers.net/wallpapers/playing-dogo-sardesco-puppies-photo.jpg
000050.jpg,https://cdn.fotofits.com/responsive/500x500/petzlover/gallery/img/l/yorkshire-terrier-658481.jpg
