image,source
000001.jpg,https://images-na.ssl-images-amazon.com/images/I/81lNHymCH2L._SX425_.jpg
000002.jpg,https://m.media-amazon.com/images/S/aplus-media/vc/fe343f65-a231-4f6f-8bda-636bc5154fb0.jpg
000003.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Dogue-de-Bordeaux_Mobile.jpg?h=300&la=en&w=375&hash=715518FC7181194494EED950F7014C21
000004.jpg,https://www.pets4homes.co.uk/images/breeds/58/fd6ad125eabf6ef05ad0e1c11a19c152.jpg
000005.jpg,https://imgc.artprintimages.com/img/print/dogue-de-bordeaux_u-l-q1068zm0.jpg?h=550&w=550
000006.jpg,https://www.pets4homes.co.uk/images/articles/3921/large/understanding-the-dogue-de-bordeaux-personality-589b0e51289a7.jpg
000007.jpg,https://vetstreet.brightspotcdn.com/dims4/default/d58419b/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F61%2F479960a80511e0a0d50050568d634f%2Ffile%2FDogue-de-Bordeaux-6-645mk062411.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233808/Dogue-de-Bordeaux-On-White-03-400x267.jpg
000009.jpg,https://thehappypuppysite.com/wp-content/uploads/2015/08/adult-dogue.jpg
000010.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-CD/doguedebordeauxf1.jpg
000011.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Doguedebordeauxwystawa.jpg/220px-Doguedebordeauxwystawa.jpg
000012.jpg,https://www.calendarclub.co.uk/-/media/productimages/24/02/240232_main.jpg
000013.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/dogue-de-bordeaux-card-small.jpg?bust=1535568727
000014.jpg,http://cdn.akc.org/content/hero/dogue_de_bordeaux_hero.jpg
000015.jpg,https://previews.123rf.com/images/innocent/innocent1112/innocent111200529/11693915-serious-dog-of-dogue-de-bordeaux-breed-wearing-black-glasses-sitting-in-the-summer-garden.jpg
000016.jpg,https://res.cloudinary.com/fwkc-production/image/upload/v1/fwkc-prod/Dogue_de_Bordeaux
000017.jpg,https://www.modernmolosser.com/sites/default/files/styles/slideshow/public/field/image/10%20Things%20Bordeaux%20Stack.jpg?itok=g1d2_yPg
000018.jpg,https://i.ytimg.com/vi/QuqyewqIaEY/maxresdefault.jpg
000019.jpg,https://dnl7t01l0fo05.cloudfront.net/wp-content/uploads/2016/03/9608013d59b26f2ee9494d8183569aa0-e1459262525714.jpg
000020.jpg,https://images-na.ssl-images-amazon.com/images/I/610AskkFuhL.jpg
000021.jpg,https://images.freeart.com/comp/art-print/fa5499074/dog-of-dogue-de-bordeaux-breed-looking-aside-isolated-on-white-background.jpg
000022.jpg,https://cdn6.dissolve.com/p/D1267_37_594/D1267_37_594_1200.jpg
000023.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/dogue-de-bordeaux-700x700.jpg
000024.jpg,https://i.pinimg.com/originals/22/7e/61/227e6131160e914144e372a6adcf0b82.jpg
000025.jpg,http://www.dogzone.com/images/breeds/dogue-de-bordeaux.jpg
000026.jpg,https://render.fineartamerica.com/images/rendered/default/duvet-cover/images-medium/dogue-de-bordeaux-puppy-mark-taylor.jpg?&targetx=106&targety=38&imagewidth=631&imageheight=768&modelwidth=844&modelheight=844&backgroundcolor=FFFFFF&orientation=0&producttype=duvetcover-queen
000027.jpg,http://iheartdogs.com/wp-content/uploads/2017/01/DogueDeBordeaux-1.jpg
000028.jpg,http://www.pethealthnetwork.com/sites/default/files/content/images/dogue-de-bordeaux137421685.png
000029.jpg,https://i.ebayimg.com/images/g/NpMAAOSwKBVZrGkb/s-l300.jpg
000030.jpg,https://www.mastiff-dog-breed-store.co.uk/551-large_default/extra-large-dog-collars-for-dogue-de-bordeaux-size.jpg
000031.jpg,https://spic.one/wp-content/uploads/2019/02/2f5c74f98267aabe55cc.jpg
000032.jpg,https://dogs-breeds.info/wp-content/uploads/2014/11/dogue-de-bordeaux.jpg
000033.jpg,https://static.wixstatic.com/media/d28d49_edb09d22f72041bca92bccd649311d45~mv2.jpg
000034.jpg,https://previews.123rf.com/images/jandix/jandix1711/jandix171100004/89543788-french-mastiff-dogue-de-bordeaux-big-dog.jpg
000035.jpg,https://www.petbarn.com.au/petspot/app/uploads/2016/08/121.-Dogue-de-Bordeaux.jpg
000036.jpg,https://www.dog-harnesses-store.com/images/harnesses/Leather-Dogue-de-Bordeaux-Harness-for-Walking-big.jpg
000037.jpg,https://www.calendars.com/img/p/orig/201900004423.jpg
000038.jpg,https://i2.wp.com/puppytoob.com/wp-content/uploads/2018/10/Dogue-de-Bordeaux-1.jpg?resize=749%2C499
000039.jpg,https://comps.canstockphoto.ca/female-dogue-de-bordeaux-puppy-stock-photograph_csp53617096.jpg
000040.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/38/80/56/78/700_FO38805678_1fa717cbcc43b381ef12daf8d7c1fa86.jpg,507,700,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,287,650,jpg)/stickers-dogue-de-bordeaux-puppy-8-weeks-old-sitting-in-front-of-white.jpg.jpg
000041.jpg,https://i5.walmartimages.com/asr/35e7deee-9a5d-451c-8c09-c8d33271d662_1.9979e0a2b07306786c0efae1ff16d149.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
000042.jpg,https://cdn6.dissolve.com/p/D1267_11_574/D1267_11_574_1200.jpg
000043.jpg,https://www.pets4homes.co.uk/images/breeds/58/large/e7803a78b25412a6ff660f1d6179353e.jpg
000044.jpg,http://cdn.shopify.com/s/files/1/2193/4553/products/Dogue_De_Bordeaux_800x.jpeg?v=1501186259
000045.jpg,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/dogue-de-bordeaux-snow-beard-twoblueowls-photography.jpg
000046.jpg,https://i.ebayimg.com/00/s/MTAyNFg5MTU=/z/oAAAAOSwE1xbyNEg/$_86.JPG
000047.jpg,https://www.rover.com/blog/wp-content/uploads/2017/06/legend-dogue-de-bordeaux-960x540.jpg
000048.jpg,https://t1.pixers.pics/img-c676e9e9/posters-french-mastiff-dogue-de-bordeaux.jpg?H4sIAAAAAAAAA42PTW6EMAyFrwMSYMfEJOEAs50joJCEKS0wKKHtqKdvaKvuKlVe-Ef29_zgdUt2CuDCdoQI6-z9EmCal9ylPoY0f4RCCl1h2efpUiDm6v4Woov3vagFYVW3XLHEqiMu-3ebL1cbX4qn49hTD5DaZp8fGZeTS-DWBIRCAWpgo42arFROGT_sdTrs5m30dYsPic2-3So84_9YDQKBRy_GbtQe5agHInww1r-EL2yb_2Y2J_rHpEKs1GnuiPNaZLf3vH0Uz_uthD80v2vIV3C5AhNoAlRAfI6Gy5VJEyriwXk_SRk6NwphWRinPRkTZGfIOpLcZJVP797264oBAAA=
000049.jpg,https://n1.sdlcdn.com/imgs/d/9/b/French-Mastiff-Dogue-de-Bordeaux-SDL733209251-1-12045.jpg
000050.jpg,https://www.thesprucepets.com/thmb/lMsTchCNmv3x2OdF0bGCNx73KNc=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/dogue-de-bordeaux-canis-lupus-familiaris-portrait-uk-128104463-5898cb243df78caebca2477f.jpg
