image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/Short-haired_Dutch_Shepherd_2.JPG
000002.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/43829509/1/?bust=1548120042&width=720
000003.jpg,https://www.petguide.com/wp-content/uploads/2013/08/dutch-shepherd-3.jpg
000004.jpg,https://cdn1-www.dogtime.com/assets/uploads/2018/01/dutch-shepherd-dog-breed-pictures-cover-460x260.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205622/Dutch-Shepherd-on-White-01.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28144452/Dutch-Shepherd-puppy.jpg
000007.jpg,https://i1.wp.com/www.allaboutdogs.net/wp-content/uploads/2016/05/Dutch-Shepherd.jpg?resize=736%2C414&ssl=1
000008.jpg,https://animalso.com/wp-content/uploads/2018/03/long-haired-dutch-shepherd.jpg
000009.jpg,https://i.ytimg.com/vi/WdOBG0OeTeE/maxresdefault.jpg
000010.jpg,https://www.k9web.com/wp-content/uploads/2019/05/dutch_shepherds_sitting.jpg
000011.jpg,http://www.dsdca.org/images/648_3-Dutch--New-Jan-2018-cropped.jpg
000012.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Dutch-Shepherd-Dog-2.jpg
000013.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205625/Dutch-Shepherd-History-04-1.jpg
000014.jpg,https://images.ctfassets.net/w00x6p5qkejz/3mXfDGuNIc8sqYQ8OgUsY2/b4b5929c2ccf9dc14d435e91185d8c07/Dutch_Shepherd_Dog2.png
000015.jpg,http://www.dogspotters.com/dog-breed-photos/dutcshep.jpg
000016.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/1100098.jpg
000017.jpg,https://i.pinimg.com/originals/d1/60/67/d1606737760c7b3fe61b0e73604f9c33.jpg
000018.jpg,https://img.dog-learn.com/dog-breeds/dutch-shepherd/dutch-shepherd-i2-sz14.jpg
000019.jpg,http://www.dogzone.com/images/breeds/dutch-shepherd-dog.jpg
000020.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/05/Dutch-Shepherd-Dog-Brown.jpg
000021.jpg,https://ccprotectiondogs.com/wp-content/uploads/2015/07/Dutch-Shepherd-Protection-Dogs-by-CCPD-.jpg
000022.jpg,https://www.k9web.com/wp-content/uploads/2019/05/Dutch-Shepherd-1-370x418.jpg
000023.jpg,https://i.ytimg.com/vi/dszvmMJlPgU/maxresdefault.jpg
000024.jpg,https://www.petful.com/wp-content/uploads/2016/03/dutch-shepherd-large-750x420.jpg
000025.jpg,https://i.pinimg.com/originals/f1/e7/2c/f1e72c3f8efb596f935b356f855df522.jpg
000026.jpg,https://images-ra.adoptapet.com/seo/1/sc/47_sc.png
000027.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28144627/Dutch-Shepherd.jpg
000028.jpg,http://www.chercarkennels.net/images/400_Jade-Puppies-6x4-web,no-watermark.-8-19-15.DSC_8382.jpg
000029.jpg,http://siggysparadise.com/wp-content/uploads/2018/07/Kennel-Hollandroy-dutch-shepherds.jpg
000030.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/dutch-shepherd-dog-breed-pictures/dutch-shepherd-1.jpg
000031.jpg,https://fairvet.com/uploads/dog_breeds/full/Dutch-Shepherd1430539800.jpg
000032.jpg,https://animalso.com/wp-content/uploads/2018/03/dutch-shepherd-3-1024x1024.jpg
000033.jpg,https://www.ursusbooks.com/pictures/medium/165178_1.jpg
000034.jpg,https://www.dogbreedinfo.com/images25/DutchShepherdDogKyaraHassevdDoresteeMiraAlmost8MonthsOldHeleenKlinkenberg.jpg
000035.jpg,https://www.featurepics.com/StockImage/20170324/dutch-shepherd-stock-picture-4428338.jpg
000036.jpg,https://www.petguide.com/wp-content/uploads/2013/08/dutch-shepherd-puppies.jpg
000037.jpg,https://images.ctfassets.net/w00x6p5qkejz/5C9voFAyNqyqQSicW4KmQ/a03579300184cfba81cb7e66da54fabb/Dutch_Shepherd_Dog3.png
000038.jpg,http://www.dogsports.com/images/385_Clip-CH-web.DSC_8502.jpg
000039.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Herder_Koira_2013.JPG/220px-Herder_Koira_2013.JPG
000040.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205657/Dutch-Shepherd-History-02.jpg
000041.jpg,https://canadiandogs.com/wp-content/uploads/Dutch-Shepherd.jpg
000042.jpg,https://previews.123rf.com/images/mirawonderland/mirawonderland1901/mirawonderland190100227/117564180-portrait-of-a-brindle-dutch-shepherd-dog-looking-away-isolated-on-a-white-background.jpg
000043.jpg,https://i.ytimg.com/vi/EAztz7jyn3k/hqdefault.jpg
000044.jpg,https://images.ctfassets.net/w00x6p5qkejz/4leJsVUORi4sSAK2ekkoAu/71bb6a39c07eaef909780036d40f2cd3/Dutch_Shepherd_Short_Hair_B_W_Small_File.png
000045.jpg,https://eternalflamek9.com/wp-content/uploads/2018/03/IMG_6883.jpg
000046.jpg,https://puppyproject.org/wp-content/uploads/2015/04/Dutch-Shepherd.jpg
000047.jpg,https://www.puppyfind.com/breed/dutch_shepherd/m_ykdga477mf.jpg
000048.jpg,https://qph.fs.quoracdn.net/main-qimg-de9c8729ea60df71dd7077b6084179a3
000049.jpg,https://images-ra.adoptapet.com/seo/1/ff/47_ff.jpg
000050.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Dutch-Shepherd-Dog-1.jpg
