image,source
000001.jpg,http://www.dogzone.com/images/breeds/elo.jpg
000002.jpg,https://images.wagwalkingweb.com/media/breed/%7Bslug%7D/hero/1532693398.36/Elo.jpg
000003.jpg,https://i.pinimg.com/236x/22/ed/86/22ed864bf31ea7b8d1f9821417966fd2--dog-list-lawn.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Elo.jpg
000005.jpg,https://previews.123rf.com/images/madrabothair/madrabothair1703/madrabothair170300009/72903890-frontal-head-portrait-of-an-elo-dog.jpg
000006.jpg,https://www.dogzone.com/images/breeds/elo-800.jpg
000007.jpg,https://images-na.ssl-images-amazon.com/images/I/51tzDX-fLmL._SX425_.jpg
000008.jpg,https://www.dogzone.com/images/breeds/elo-puppy.jpg
000009.jpg,https://st3.depositphotos.com/3378121/14323/i/1600/depositphotos_143236947-stock-photo-portrait-of-an-elo-dog.jpg
000010.jpg,https://thumbs.dreamstime.com/z/portrait-elo-dog-standing-meadow-side-picture-131034767.jpg
000011.jpg,https://previews.123rf.com/images/madrabothair/madrabothair1711/madrabothair171100187/89696483-portrait-of-a-cute-elo-dog-on-a-meadow.jpg
000012.jpg,http://www.dogwallpapers.net/wallpapers/elo-dog-face-photo.jpg
000013.jpg,https://images.fineartamerica.com/images-medium-large-5/portrait-big-brown-flat-coated-elo-dog-dog-photos.jpg
000014.jpg,https://images.fineartamerica.com/images-medium-large-5/big-white-and-brown-flat-coated-elo-dogs-dog-photos.jpg
000015.jpg,https://comps.canstockphoto.com/person-gives-his-elo-dog-a-treat-stock-images_csp58072150.jpg
000016.jpg,https://c8.alamy.com/comp/XD7Y0T/elo-dog-puppy-lying-in-grass-XD7Y0T.jpg
000017.jpg,https://i.pinimg.com/236x/64/54/18/64541899fc577aa1937315013da04640--elo-dog-list.jpg
000018.jpg,https://c8.alamy.com/comp/K2NBY4/picture-of-a-cute-elo-dog-who-plays-in-a-sand-pit-K2NBY4.jpg
000019.jpg,https://cdn.pixabay.com/photo/2018/05/10/13/13/elo-3387563_960_720.jpg
000020.jpg,https://images-na.ssl-images-amazon.com/images/I/71erff8kf0L.jpg
000021.jpg,https://i.ytimg.com/vi/cRIAd7jQbFY/hqdefault.jpg
000022.jpg,https://st3.depositphotos.com/3378121/14078/i/1600/depositphotos_140788780-stock-photo-elo-dog-runs-in-the.jpg
000023.jpg,https://comps.canstockphoto.com/portrait-of-a-cute-elo-dog-picture_csp52334719.jpg
000024.jpg,https://images.ctfassets.net/w00x6p5qkejz/w34sLUCqBMsaSUcmqi4Ao/8931b10fa0cefed7212549484fbb4ac2/Elo_3.jpg
000025.jpg,http://www.dogwallpapers.net/wallpapers/walking-elo-dogs-photo.jpg
000026.jpg,https://media.istockphoto.com/photos/elo-dog-in-front-of-christmas-decoration-picture-id883947780
000027.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Elo_dog_adult_in_winter.jpg/555px-Elo_dog_adult_in_winter.jpg
000028.jpg,https://previews.agefotostock.com/previewimage/medibigoff/f7379a56d7079863329cffe3cf41bf52/ibr-17697.jpg
000029.jpg,https://www.naturepl.com/cache/pcache2/01366374.jpg
000030.jpg,https://storage.needpix.com/rsynced_images/chebo-2426439_1280.jpg
000031.jpg,https://ctl.s6img.com/society6/img/mZa9OcNq34GztWSZMak-LyLowY4/w_700/canvas/~artwork/s6-original-art-uploads/society6/uploads/misc/3387f0c97a164761b4cece65d83b2b5b/~~/border-collie-elo-dog-puppy-doggie-canvas.jpg
000032.jpg,https://live.staticflickr.com/8146/7620144496_9e4b570d85_b.jpg
000033.jpg,http://pets-place.net/Breeds/E/EloImage1.jpg
000034.jpg,https://as1.ftcdn.net/jpg/02/11/13/08/500_F_211130857_p9HepR6mE6sQmuAkUvbuTzrXrsGTWSiB.jpg
000035.jpg,https://static3.bigstockphoto.com/3/1/2/large1500/213361498.jpg
000036.jpg,https://t3.ftcdn.net/jpg/02/11/13/08/500_F_211130880_Sgd5FqO3k85s2XfFJOOfXZnTVXeZ6AWO.jpg
000037.jpg,https://ak.picdn.net/offset/photos/5c3e5091d7ffa17debdfa241/medium/photo.jpg
000038.jpg,https://media.istockphoto.com/photos/elo-dog-in-front-of-christmas-decoration-picture-id883947900
000039.jpg,https://www.naturepl.com/cache/pcache2/01366378.jpg
000040.jpg,https://www.urbanpawsuk.com/wp-content/uploads/2019/04/maddow_the_elo_47503536_293165841326594_8762874600189380033_n.jpg
000041.jpg,https://t4.ftcdn.net/jpg/02/44/99/63/240_F_244996306_vxPqk7r0WKAmP944ZRpsF0lcWf0VkrNW.jpg
000042.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Elo-dog-characteristics.jpg
000043.jpg,https://images.ctfassets.net/w00x6p5qkejz/1tR45sswP62IIg0Sk8GcEU/b14e338b8b9a68ca55967ca729c3a876/Elo_4.jpg
000044.jpg,https://i.ytimg.com/vi/jNDuSFHJmNM/hqdefault.jpg
000045.jpg,https://thumbs.dreamstime.com/z/outdoor-portrait-elo-dog-picture-cute-103743684.jpg
000046.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5269/9781526918758.jpg
000047.jpg,https://image.spreadshirtmedia.com/image-server/v1/mp/products/T812A317MPA3140PT17X49Y55D1019412130FS2946/views/1,width=1200,height=630,appearanceId=317,backgroundColor=F2F2F2,modelId=115,crop=design,version=1554715089/elo-dog-dog-breed-dog-gift-love-mens-premium-t-shirt.jpg
000048.jpg,https://previews.123rf.com/images/madrabothair/madrabothair1711/madrabothair171100259/90528279-portrait-of-a-cute-elo-dog-on-a-meadow.jpg
000049.jpg,https://images-na.ssl-images-amazon.com/images/I/51O%2Bsli40HL._SX425_.jpg
000050.jpg,https://fscomps.fotosearch.com/compc/IMB/IMB002/great-elo-dog-10-months-picture__iblbtf04017334.jpg
