image,source
000001.jpg,https://www.cricbuzz.com/a/img/v1/595x396/i1/c178096/england-stroked-nine-more-boun.jpg
000002.jpg,https://image.cnbcfm.com/api/v1/image/106019202-1563196303004gettyimages-1155767878.jpeg?v=1563196431&w=630&h=437
000003.jpg,https://images.indianexpress.com/2019/07/england_1200.jpg
000004.jpg,https://i0.wp.com/metro.co.uk/wp-content/uploads/2019/07/GettyImages-1162015607.jpg?quality=90&strip=all&zoom=1&resize=644%2C429&ssl=1
000005.jpg,https://ichef.bbci.co.uk/onesport/cps/480/cpsprodpb/7BD2/production/_107889613_englandteamtrophy_getty.jpg
000006.jpg,https://imagevars.gulfnews.com/2019/07/14/Cricket---ICC-Cricket-World-Cup-Final---New-Zealand-v-England---Lord-s--London--Britain---July-14--2019_16bf208e557_large.jpg
000007.jpg,https://www.straitstimes.com/sites/default/files/styles/article_pictrure_780x520_/public/articles/2019/07/15/btcricket20190714.jpg?itok=WabImnoB&timestamp=1563133628
000008.jpg,https://www.cricbuzz.com/a/img/v1/595x396/i1/c178152/after-a-turnaround-post-the-in.jpg
000009.jpg,https://d30fl32nd2baj9.cloudfront.net/media/2019/07/15/nzl-england.jpg/ALTERNATES/w640/nzl-england.jpg
000010.jpg,https://www.thestar.com.my/~/media/online/2019/07/14/19/47/20190714t193541z_1_lynxnpef6d0it_rtroptp_4_cricketworldcupnzleng.ashx/?w=620&h=413&crop=1&hash=AC01585A2056D8124FD309D620E626AEA72A3EEE
000011.jpg,https://e3.365dm.com/19/07/768x432/skynews-england-cricket-world-cup_4718477.jpg?bypass-service-worker&20190714214539
000012.jpg,https://talksport.com/wp-content/uploads/sites/5/2019/07/GettyImages-1162006525.jpg?strip=all&w=960&quality=100
000013.jpg,https://e0.365dm.com/19/07/768x432/skysports-england-world-cup_4718447.jpg?20190714205418
000014.jpg,https://cdn.cnn.com/cnnnext/dam/assets/190714153043-england-cwc-trophy-exlarge-169.jpg
000015.jpg,https://circleofcricket.com/post_image/post_image_93d10b2.jpg
000016.jpg,https://resources.ecb.co.uk/photo-resources/2019/07/15/9da378f3-f90c-421e-a9d6-182c95fe0af1/The-trophy-lift.jpg?width=550&height=309
