image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/english-cocker-spaniel-dogs-and-puppies/english-cocker-spaniel-dogs-puppies-1.jpg
000002.jpg,https://vetstreet.brightspotcdn.com/dims4/default/3d372d4/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F7e%2Fd62910a73311e0a0d50050568d634f%2Ffile%2FEnglish-Cocker-3-645mk062111.jpg
000003.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/english-cocker-spaniel-detail.jpg?bust=1535565647&width=355
000004.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_English-Cocker-Spaniel_Mobile.jpg?h=300&la=en&w=375&hash=37B5B262ABCD6CD4B7A88E1175302443
000005.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/04/The-English-Cocker-Spaniel-HP-long.jpg
000006.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/11/english-cocker-spaniel-colors-long.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16105011/English-Cocker-Spaniel-Slide03.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233738/English-Cocker-Spaniel-MP.jpg
000009.jpg,https://vetstreet.brightspotcdn.com/dims4/default/bb88154/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F0e%2Fa2%2Fdfa6fb254a19ba51ad33ef39fba9%2Fenglish-cocker-spaniel-AP-1JXXED-645sm52313.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/EnglishCockerSpaniel_simon.jpg
000011.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/English-Cocker-Spaniel-2.jpg
000012.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233753/English-Cocker-Spaniel-Care.jpg
000013.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22966_english-cocker-spaniel-460x290.jpg
000014.jpg,https://t1.ea.ltmcdn.com/en/images/1/5/6/img_caring_for_an_english_cocker_spaniel_s_coat_651_600.jpg
000015.jpg,https://www.pets4homes.co.uk/images/articles/4104/large/cocker-spaniel-or-cockapoo-which-is-right-for-you-591b0b3e3d877.jpg
000016.jpg,https://vetstreet-brightspot.s3.amazonaws.com/6b/fa4790a73311e0a0d50050568d634f/file/English-Cocker-2-645mk062111.jpg
000017.jpg,https://1djbcc27ketw16uuv6g8izdk-wpengine.netdna-ssl.com/wp-content/uploads/2017/09/Fotolia_142182113_S-768x432.jpg
000018.jpg,https://i.pinimg.com/originals/fc/15/62/fc1562cb8fe3ad64c387c600180f6a87.jpg
000019.jpg,http://www.pethealthnetwork.com/sites/default/files/content/images/english-cocker-spaniel100382812.png
000020.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/field-spaniel-card-medium.jpg?bust=1535568805&width=560
000021.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/11/english-vs-american-cocker-spaniel-long.jpg
000022.jpg,https://images.wagwalkingweb.com/media/breed/english-cocker-spaniel/hero/english_cocker_spani_eqnHE_w8JSPIE.jpg
000023.jpg,https://previews.123rf.com/images/maryswift/maryswift1801/maryswift180100058/94016988-a-young-english-cocker-spaniel-puppy-in-the-grass.jpg
000024.jpg,https://www.dog-breeds-expert.com/images/english-cocker-spaniel-road.jpg
000025.jpg,https://www.ecsca.info/wp-content/uploads/slider3/17.jpeg
000026.jpg,https://i.pinimg.com/736x/90/15/95/901595a26eb78522aa5a85cd2c562ba1.jpg
