image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/english-setter-detail.jpg?bust=1535565679&width=355
000002.jpg,https://media.gettyimages.com/photos/english-setter-at-play-picture-id591199007?s=612x612
000003.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-english-setter162418989_1.jpg?itok=7cZraZt5
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17112407/English-Setter-Care1.jpg
000005.jpg,https://vetstreet-brightspot.s3.amazonaws.com/10/c74e30a73411e0a0d50050568d634f/file/English-Setter-2-645mk062311.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233610/English-Setter-On-White-03.jpg
000007.jpg,https://vetstreet.brightspotcdn.com/dims4/default/23002d0/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fc6%2Ff9fe10a80511e0a0d50050568d634f%2Ffile%2Fenglish-setter-3-645mk070111.jpg
000008.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22968_english-setter-460x290.jpg
000009.jpg,https://dogsaholic.com/wp-content/uploads/2016/07/English-Setter-Dog-Breed-1-810x537.jpg
000010.jpg,https://animals.net/wp-content/uploads/2019/02/English-Setter-4-650x425.jpg
000011.jpg,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/SPORTING_English-Setter.jpg?itok=oJemxBWQ
000012.jpg,https://animalsfocus.com/wp-content/uploads/2018/10/Setter-Englez8.jpg
000013.jpg,https://i.pinimg.com/originals/77/3b/1f/773b1ff47eb7bc9399702e9ad0e21884.jpg
000014.jpg,https://whatbreedisit.com/wp-content/uploads/2015/08/English-Setter.jpg
000015.jpg,https://static.independent.co.uk/s3fs-public/thumbnails/image/2012/01/24/21/pg-26-english-setter-alamy.jpg?w968h681
000016.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233636/English-Setter-History-01.jpg
000017.jpg,http://4.bp.blogspot.com/-hXI1kepC9Jo/ULuAnT9GhCI/AAAAAAAAAZw/FkRHg6czDQ4/s1600/English+setter1.jpg
000018.jpg,https://www.pdsa.org.uk/media/4029/english-setter-og.png
000019.jpg,https://media.gettyimages.com/photos/english-setter-lying-on-grass-at-park-picture-id595420175?s=612x612
000020.jpg,https://vetstreet-brightspot.s3.amazonaws.com/21/f04f90a73411e0a0d50050568d634f/file/English-Setter-3-645mk062311.jpg
000021.jpg,https://images.ctfassets.net/w00x6p5qkejz/3xOF4iA3McSKGcGaEmic0O/0cac81ccc9cb705dbb9d6c15d562586e/English_Setter3.png
000022.jpg,https://i.pinimg.com/originals/b1/e8/55/b1e85526965d4ee9ded099c36e0e9ddc.jpg
000023.jpg,https://www.selectadogbreed.com/media/1606/englishsetter_puppy.jpg
000024.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/English-Setter-3.jpg
000025.jpg,https://www.pets4homes.co.uk/images/articles/4212/large/english-setter-or-irish-setter-whats-the-difference-in-the-two-breeds-5950cfa9bc778.jpg
000026.jpg,https://i.ytimg.com/vi/lQtMsUghRc8/hqdefault.jpg
000027.jpg,https://indulgeyourpet.com/wp-content/uploads/English-Setter-Puppy.png
000028.jpg,https://cdn.shopify.com/s/files/1/0799/5581/articles/English_Setter.jpg?v=1480619276
000029.jpg,https://championshipbreeders.com/wp-content/uploads/2016/08/English-Setter-by-Evasuik_picmonkeyed.jpg
000030.jpg,https://i.ytimg.com/vi/iOwGx-uyMp0/maxresdefault.jpg
000031.jpg,https://media.gettyimages.com/photos/portrait-of-english-setter-against-wall-picture-id569192737?s=612x612
000032.jpg,http://media.gettyimages.com/photos/cute-happy-english-setter-in-action-running-towards-camera-picture-id959933506?s=170667a&w=1007
000033.jpg,https://animals.net/wp-content/uploads/2019/02/English-Setter-3-650x425.jpg
000034.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/english-setter_05_lg.jpg
000035.jpg,http://keyassets.timeincuk.net/inspirewp/live/wp-content/uploads/sites/8/2012/08/3_7C000a1b053_7Ce6f5_english_setters_main.jpg
000036.jpg,https://americanfield.villagesoup.com/media/Common/AmericanField/2017/6/22/2324141/f-Pine%20Straw%20Sweet%20Tea.jpg
000037.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/English-Setter-1.jpg
000038.jpg,https://perfectpets.com.au/uploads/files/getfile/type/breed/id/202/file/205684195347650bf24e99.65119305-breed-202.gif
000039.jpg,http://www.wyssenglishsetters.com/publishImages/index~~element89.jpg
000040.jpg,https://www.dogster.com/wp-content/uploads/2015/05/english-setter-profile.jpg
000041.jpg,http://www.dogzone.com/images/breeds/english-setter.jpg
000042.jpg,http://www.swesr.org/Dogs2019/ThatcherJustRescued.jpg
000043.jpg,http://largedogbreedz.com/wp-content/uploads/2012/08/englishsetter-208x300.jpg
000044.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/English_Setter_running_through_grass.jpg
000045.jpg,https://storage.googleapis.com/wzukusers/user-34467568/images/5c8e8a1669873FjgxdH9/crosby-3-16-19-15_d600.jpg
000046.jpg,https://pouka.com/wp-content/uploads/2017/06/BothBoys3-copy-1024x683.jpg
000047.jpg,https://cf.ltkcdn.net/dogs/images/std/65353-384x255-English_Setter.jpg
000048.jpg,https://www.dogbreedplus.com/dog_breeds/images/English-Setter-0095.jpg
000049.jpg,https://animalsadda.com/wp-content/uploads/2017/06/english-setter-9.jpg
000050.jpg,https://dogbreedatlas.com/images/dog-breed-photos/english-setter/001/english-setter-1489550082-1.jpg
