image,source
000001.jpg,http://www.dogzone.com/images/breeds/english-shepherd.jpg
000002.jpg,http://www.nesr.info/images-english-shepherd-rescue/DutchSpring%5B1%5D.jpg
000003.jpg,https://dogsaholic.com/wp-content/uploads/2018/05/English-Shepherd-standing-in-grass-810x537.png
000004.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/English-Shepherd-2.jpg
000005.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-EFGH/englishshepherds-pd1-sm.jpg
000006.jpg,https://previews.123rf.com/images/adogslifephoto/adogslifephoto1501/adogslifephoto150100176/35798606-an-english-shepherd-mixed-breed-dog-standing-with-mouth-open-while-looking-into-the-camera-.jpg
000007.jpg,https://i2.wp.com/puppytoob.com/wp-content/uploads/2018/05/English-Shepherd-2.jpg?resize=750%2C375
000008.jpg,https://www.dogbreedplus.com/dog_breeds/images/english_shepherd_009.jpg
000009.jpg,https://images-ra.adoptapet.com/seo/1/mj/641_m1.jpg
000010.jpg,https://pro2-bar-s3-cdn-cf2.myportfolio.com/341c8061867763c8a03f81ae7e03d341/dd86ec9b-916b-4de6-afaf-1d824ceb1de4_rw_1920.jpg?h=9827993803f13474972bc6b25eff41fd
000011.jpg,https://d3fxc45vnyc74f.cloudfront.net/static/cache/04/3e/043eb69fb14d95e123c6a876d51fee80.jpg
000012.jpg,http://esconservancy.org/wp-content/uploads/2018/09/FaeCrop.jpg
000013.jpg,https://i.pinimg.com/originals/f7/17/c6/f717c6e5c5902f7d7e7f06c019bfe6a9.jpg
000014.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/English-Shepherd-3.jpg
000015.jpg,http://www.stonycreekenglishshepherds.net/uploads/1/1/7/7/117767739/published/murphy-1-on-table1-sm.jpg?1529839310
000016.jpg,https://www.k9web.com/wp-content/uploads/2019/05/english_shepherd_11.jpg
000017.jpg,http://www.englishshepherds.net/images/Alumni/BuddyandHoney2s300.jpg
000018.jpg,https://i.pinimg.com/originals/f4/7b/d9/f47bd9354bb18e6df0a46c19ce753b45.jpg
000019.jpg,http://www.eshepherd.org/wp-content/uploads/2017/10/Wingo-Ranch-ES-2017-IMG_0041-300x300.jpg
000020.jpg,http://www.eshepherd.org/wp-content/uploads/2017/12/CarisaBarnard-Ranger-300x272.jpg
000021.jpg,https://dogsaholic.com/wp-content/uploads/2018/05/English-Shepherd-lying-on-ground.jpg
000022.jpg,http://nebula.wsimg.com/ec5dda458a36e237035227f8741a8f54?AccessKeyId=B1C46CF3A7553FC4E240&disposition=0&alloworigin=1
000023.jpg,https://www.dogbreedinfo.com/images9/EnglishShepherdRoperBoots.jpg
000024.jpg,https://images-ra.adoptapet.com/seo/1/sc/641_sc.png
000025.jpg,http://1.bp.blogspot.com/-opcmTsCVsdQ/TeWDCWnUVHI/AAAAAAAAFhE/FGTCq0XUsPc/s1600/Rosie+side+portrait.JPG
000026.jpg,http://www.englishshepherds.net/images/Tu12-12-stand.jpg
000027.jpg,http://esconservancy.org/wp-content/uploads/2018/09/SweetRune6web.jpg
000028.jpg,http://www.nesr.info/images-english-shepherd-rescue/image001LG.jpg
000029.jpg,http://www.dogwallpapers.net/wallpapers/english-shepherd-dog-on-the-road-photo.jpg
000030.jpg,https://3d4igz27oxtl2iwox73y9smh-wpengine.netdna-ssl.com/wp-content/uploads/2018/07/English-Shepherd-Dog.jpg
000031.jpg,https://i.ytimg.com/vi/0L_v8SBTI1Y/maxresdefault.jpg
000032.jpg,https://www.dogbreedinfo.com/images18/EnglishShepherdAxl2.JPG
000033.jpg,http://www.salishseashepherds.com/wp-content/uploads/2018/06/tiki-profile.jpg
000034.jpg,https://www.puppyfind.com/breed/english_shepherd/m_28b00o0q38.jpg
000035.jpg,https://animalsbreeds.com/wp-content/uploads/2015/11/English-Shepherd-15.jpg
000036.jpg,https://static1.squarespace.com/static/54efc1a3e4b0cdb01137854b/t/5bbe841e71c10bc4a40efc5c/1539212372741/fullsizeoutput_4976.jpeg
000037.jpg,http://static.pedigreedatabase.com/dogbreeds/english_shepherd.jpg
000038.jpg,https://www.irishwindenglishshepherds.com/uploads/1/1/7/7/117767739/published/bobbi-2012-6-8-mariah-sm_1.jpg?1530622398
000039.jpg,https://www.escbreederinfo.com/wp-content/uploads/2015/05/Rachel-Smith-2014-Flash2.jpg
000040.jpg,http://www.englishshepherd.org/uploads/1/1/9/6/11964226/5223517_orig.jpg
000041.jpg,https://i.pinimg.com/originals/6a/10/02/6a1002a90183209d38a0bebd41b22217.jpg
000042.jpg,http://www.dogwallpapers.net/wallpapers/resting-english-shepherd-dog-photo.jpg
000043.jpg,http://www.bordercolliemuseum.org/BCCousins/EnglishShepherd/Honey.jpg
000044.jpg,https://images1.americanlisted.com/nlarge/english-shepherd-puppy-for-sale-adoption-rescue-americanlisted_114766009.jpg
000045.jpg,http://www.csafarms.org/media/pages/july_2013_040.jpg
000046.jpg,https://www.irishwindenglishshepherds.com/uploads/1/1/7/7/117767739/published/bella-2010-2-28-9-sm.jpg?1529364019
000047.jpg,http://www.englishshepherds.net/images/Raven/RavenFace.jpg
000048.jpg,https://38vtm736ybavjl8ghz51n2ed-wpengine.netdna-ssl.com/wp-content/uploads/2015/05/English-Shepherd.jpg
000049.jpg,https://previews.123rf.com/images/anna1161/anna11611811/anna1161181100091/112399310-bloodhound-collie-cocker-shepherd-english-shepherd-germany-shepherd-fci-hound-terrier-sheepdogs-and-.jpg
000050.jpg,http://thepetwiki.com/wp-content/uploads/EnglishShepherd.jpg
