image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22970_english-springer-spaniel-460x290.jpg
000002.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/english-spaniel-dog-breed-pictures/3-water.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08110247/English-Springer-Spaniel-On-White-011.jpg
000004.jpg,https://www.mygavet.com/sites/default/files/styles/large/adaptive-image/public/english-springer-spaniel-dog-breed-info.jpg?itok=NMxowr9O
000005.jpg,https://vetstreet-brightspot.s3.amazonaws.com/78/20e770a0d711e0a2380050568d634f/file/English-Springer-Spaniel-2-645mk062311-.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/EnglishSpringerSpan2_wb.jpg/301px-EnglishSpringerSpan2_wb.jpg
000007.jpg,https://vetstreet-brightspot.s3.amazonaws.com/96/be3260a73411e0a0d50050568d634f/file/English-Springer-Spaniel-5-645mk062311-.jpg
000008.jpg,https://www.dognutrition.com/wp-content/uploads/2019/05/English-Springer-Spaniel-Dog-Breed-Adult.png
000009.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/english-springer-spaniel-detail.jpg?bust=1535565693&width=355
000010.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/english_springer_spaniel/english_springer_spaniel_1.jpg
000011.jpg,https://www.selectadogbreed.com/media/1036/englishspringerspaniel_adult.jpg
000012.jpg,https://thehappypuppysite.com/wp-content/uploads/2015/10/0001-79194901.jpg
000013.jpg,https://i.pinimg.com/originals/79/e4/24/79e4248767ff83f10fa175ef26adbbec.jpg
000014.jpg,https://i1.wp.com/www.simplypets.com/wp-content/uploads/2017/07/English-Springer-Spaniel-featured.jpg?fit=900%2C450&ssl=1
000015.jpg,http://cdn.akc.org/content/hero/ess_hero.jpg
000016.jpg,https://media.gettyimages.com/photos/english-springer-spaniel-picture-id128105197
000017.jpg,https://vetstreet.brightspotcdn.com/dims4/default/d499043/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F79%2F218570c76111e0a5640050568d6ceb%2Ffile%2Fenglish-springer-spaniel-1-645mk070411.jpg
000018.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/English-Springer-Spaniel-2.jpg
000019.jpg,https://images.wagwalkingweb.com/media/breed/english-springer-spaniel/appearance/english-springer-spaniel.png
000020.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-EFGH/englishspringerspaniels2.jpg
000021.jpg,https://www.pets4homes.co.uk/images/breeds/16/large/3af8b94f6412461d376fe0a30808ad93.jpg
000022.jpg,https://mypetworld.in/wp-content/uploads/2018/08/English-Springer-Spaniel-2.jpg
000023.jpg,https://www.selectadogbreed.com/media/1114/englishspringerspaniel_puppy.jpg
000024.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/A_resting_English_Springer_Spaniel.jpg/308px-A_resting_English_Springer_Spaniel.jpg
000025.jpg,https://www.k9rl.com/wp-content/uploads/2016/04/English-Springer-Spaniel.jpg
000026.jpg,https://c8.alamy.com/comp/S1Y1R7/young-male-working-english-springer-spaniel-standing-proud-in-the-S1Y1R7.jpg
000027.jpg,https://www.petsourcing.com/wp-content/uploads/2019/02/How-to-Groom-an-English-Springer-Spaniel.jpg
000028.jpg,https://vignette.wikia.nocookie.net/akc-dog-breeds/images/2/2c/EnglishSpringerSpanielPureBredDogBechamGroomed10MonthsOld1.jpg/revision/latest?cb=20180125110806
000029.jpg,https://www.petguide.com/wp-content/uploads/2013/02/english-springer-spaniels.jpg
000030.jpg,https://iheartdogs.com/wp-content/uploads/2018/01/English-Springer-Spaniel.jpg
000031.jpg,https://dogstodaymagazine.co.uk/wp-content/uploads/2019/04/springer.jpg
000032.jpg,https://www.warrenphotographic.co.uk/photography/bigs/46350-Working-English-Springer-Spaniel-puppy-7-weeks-old-white-background.jpg
000033.jpg,https://i.pinimg.com/originals/59/d9/1b/59d91b96a274aac1b8db87e63871f764.jpg
000034.jpg,https://cf.ltkcdn.net/dogs/images/std/198002-425x283-English-springer-spaniel.jpg
000035.jpg,https://fscomps.fotosearch.com/compc/CSP/CSP121/springer-spaniel-puppy-stock-photograph__k1213176.jpg
000036.jpg,https://images.ctfassets.net/w00x6p5qkejz/7dSLWRD9xCeukqsOgYgUAC/40c3b82adbb4c0a200b3e8abdad828cc/English_Springer_Spaniel_B_W_Small_File.png
000037.jpg,http://2.bp.blogspot.com/-2thxQh_-VRA/UL4NXRoP5bI/AAAAAAAAAao/AJUT2swxPak/s1600/english-springer-spaniel_33647_2009-09-04_w450.jpg
000038.jpg,https://animals.net/wp-content/uploads/2018/11/English-Springer-Spaniel-5-650x425.jpg
000039.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_1916fefc-2bc2-489f-a9c0-66c6be772798.jpg
000040.jpg,https://cdn.akc.org/Marketplace/Breeds/English_Springer_Spaniel_SERP.jpg
000041.jpg,https://thehappypuppysite.com/wp-content/uploads/2015/10/The-English-Springer-Spaniel-HP-long.jpg
000042.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/article-image-vertical_44.jpg?itok=_5jWz5EQ
000043.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44414328/2/?bust=1556646425&width=720
000044.jpg,https://i.ytimg.com/vi/wBTKhrnpCYE/maxresdefault.jpg
000045.jpg,https://cdn.britannica.com/s:300x300/02/8102-004-E579115B.jpg
000046.jpg,https://img-aws.ehowcdn.com/600x600p/photos.demandstudios.com/getty/article/165/252/87722552.jpg
000047.jpg,https://www.insurdinary.ca/wp-content/uploads/2019/05/English-Springer-Spaniel.jpg
000048.jpg,http://elelur.com/data_images/dog-breeds/english-springer-spaniel/english-springer-spaniel-07.jpg
000049.jpg,https://sites.google.com/site/utahengspringerspanielbreeder/_/rsrc/1467890400849/home/5711729l%5B1%5D.jpg?height=280&width=400
000050.jpg,https://petlandnaperville.com/wp-content/uploads/2019/06/english-springer-spaniel-300x300.jpg
