image,source
000001.jpg,https://i.ytimg.com/vi/_xiPNEaJzLM/hqdefault.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a1/English_Water_Spaniel.jpg
000003.jpg,https://www.pets4homes.co.uk/images/articles/4723/thumbs/the-difference-between-the-welsh-springer-spaniel-and-english-springer-spaniel-5ad4bab5c7f47.jpg
000004.jpg,http://cdn.akc.org/content/article-body-image/american_water_spaniel_header.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04160609/American-Water-Spaniel.1.jpg
000006.jpg,https://www.petguide.com/wp-content/uploads/2013/02/American-Water-Spaniel.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04160624/American-Water-Spaniel-2.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04160619/American-Water-Spaniel-copy-4.jpg
000009.jpg,http://www.dogwallpapers.net/wallpapers/english-water-spaniel-in-the-forest-photo.jpeg
000010.jpg,http://www.dogbreedstandards.com/wp-content/uploads/2013/04/English-water-spaniel.jpg
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212120/American-Water-Spaniel-History-06.jpg
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Tweed_Water_Spaniel.jpg
000013.jpg,https://i.ytimg.com/vi/uo5NXoptk8A/maxresdefault.jpg
000014.jpg,https://www.petmd.com/sites/default/files/breedopedia/waterspan.jpg
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Chien_d%27eau_americain_champion_1.JPG
000016.jpg,https://www.petguide.com/wp-content/uploads/2013/04/irish-water-spaniel.jpg
000017.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/irish-water-spaniel-dogs-and-puppies/irish-water-spaniel-1.jpg
000018.jpg,https://www.pedigree.com/images/default-source/breed-images/large6a22078ea3f66930bcd1ff00004ce6f7.jpg?sfvrsn=38d46e49_0
000019.jpg,https://i.pinimg.com/236x/20/48/2d/20482dac8db54d21f7fe5b42001c8cd4--spaniel-dog-english-springer-spaniels.jpg
000020.jpg,https://retrieverman.files.wordpress.com/2008/12/show-golden1.jpg
000021.jpg,https://www.petplanet.co.uk/petplanet/images/breeds/irish_water_spaniel.jpg
000022.jpg,https://i.pinimg.com/originals/e6/83/ba/e683baa8b01ccf2ed78eb8c6fd6e910f.png
000023.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Welsh_Springer_Spaniel_1.jpg
000024.jpg,https://topdogconeyisland.com/wp-content/uploads/2018/07/american-water-spaniel-puppies.jpg
000025.jpg,https://www.pets4homes.co.uk/images/breeds/214/8edcc746af241c30f6cf1d838d0599fb.jpg
000026.jpg,https://www.doglib.com/wp-content/uploads/sites/2/en/english-english-springer-spaniel-family-breed.jpg
000027.jpg,https://www.mascotarios.org/wp-content/uploads/2012/03/EnglishWaterSpanielReinagle.jpg
000028.jpg,https://banner2.kisspng.com/20180716/kct/kisspng-field-spaniel-american-cocker-spaniel-english-cock-english-cocker-spaniel-5b4ca404c0ec77.7566662415317493807902.jpg
000029.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/American_water_spaniel_01.jpg/220px-American_water_spaniel_01.jpg
000030.jpg,http://www.dogwallpapers.net/wallpapers/drawn-english-water-spaniel-pic.jpg
000031.jpg,https://i.pinimg.com/originals/58/c1/24/58c124b3ada024f54dfba6f1aeddc0fb.jpg
000032.jpg,https://banner2.kisspng.com/20180517/hbe/kisspng-field-spaniel-american-cocker-spaniel-english-cock-5afd86ff3ba378.3543524215265646072443.jpg
000033.jpg,https://cdn.imgbin.com/0/10/22/imgbin-field-spaniel-boykin-spaniel-american-water-spaniel-irish-water-spaniel-english-cocker-spaniel-spaniel-puppy-g7mzCLZai9tU5xjikQ0734C4i.jpg
000034.jpg,https://i.pinimg.com/originals/8e/1b/b0/8e1bb0826efef13af41f661d9b9966cb.jpg
000035.jpg,https://banner2.kisspng.com/20180508/wtq/kisspng-field-spaniel-boykin-spaniel-american-water-spanie-5af22358186645.8391233915258182001.jpg
000036.jpg,https://cdn.imgbin.com/8/23/4/imgbin-field-spaniel-boykin-spaniel-american-water-spaniel-sussex-spaniel-english-cocker-spaniel-hair-PzEydQ7hjJGMbmmgt7z0mCSfa.jpg
000037.jpg,https://i.pinimg.com/originals/c1/35/73/c13573389b7bc686184f6003107d2d89.jpg
000038.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/english-spaniel-dog-breed-pictures/3-water.jpg
000039.jpg,https://www.christies.com/img/LotImages/2016/NYR/2016_NYR_12198_0037_000(sawrey_gilpin_a_portrait_of_the_black_and_white_english_water_spaniel).jpg
000040.jpg,https://americanwaterspaniel.breedarchive.com/static/images/breed_pic.jpg
000041.jpg,https://get.pxhere.com/photo/white-dog-animal-cute-canine-photo-pet-portrait-brown-mammal-spaniel-close-up-face-head-vertebrate-details-beautiful-image-english-dog-breed-breed-pedigree-cavalier-king-charles-spaniel-miniature-poodle-springer-cockapoo-springer-spaniel-king-charles-spaniel-dog-like-mammal-carnivoran-english-cocker-spaniel-english-springer-spaniel-drentse-patrijshond-french-spaniel-boykin-spaniel-cavachon-russian-spaniel-field-spaniel-american-cocker-spaniel-welsh-springer-spaniel-american-water-spaniel-picardy-spaniel-1105564.jpg
000042.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Irish-Water-Spaniel.jpg
000043.jpg,https://i.pinimg.com/originals/a6/7e/e9/a67ee939219adc83187a38659c1c78dc.jpg
000044.jpg,https://alchetron.com/cdn/english-water-spaniel-be073829-941b-4f0d-8018-43e90026262-resize-750.jpeg
000045.jpg,https://i.ytimg.com/vi/uo5NXoptk8A/hqdefault.jpg
000046.jpg,https://get.pxhere.com/photo/dog-animal-canine-photo-pet-portrait-mammal-spaniel-close-up-face-head-vertebrate-details-beautiful-image-english-dog-breed-breed-pedigree-cavalier-king-charles-spaniel-miniature-poodle-springer-cockapoo-springer-spaniel-king-charles-spaniel-dog-like-mammal-carnivoran-english-cocker-spaniel-english-springer-spaniel-drentse-patrijshond-french-spaniel-boykin-spaniel-cavachon-russian-spaniel-field-spaniel-american-cocker-spaniel-blue-picardy-spaniel-welsh-springer-spaniel-american-water-spaniel-picardy-spaniel-977127.jpg
000047.jpg,https://i.pinimg.com/236x/63/6c/3d/636c3d1050747cf15b90a0282b5c5bba--spaniel-puppies-cocker-spaniel.jpg
000048.jpg,https://b.kisscc0.com/20180816/pre/kisscc0-boykin-spaniel-dog-breed-irish-water-spaniel-ameri-irish-water-spaniel-5b755f9e875542.9054244315344188465543.png
000049.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/11/il_570xN.1249422811_c0fs.jpg
