image,source
000001.jpg,https://usercontent2.hubstatic.com/13824267_f520.jpg
000002.jpg,https://i.ytimg.com/vi/m5kz1cczML4/maxresdefault.jpg
000003.jpg,https://i.ytimg.com/vi/4BMPlYdDITY/hqdefault.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Old_English_White_Terrier.jpg
000005.jpg,https://i.pinimg.com/originals/2b/60/cd/2b60cd717db7e520e8fee8c2cf11c3ba.jpg
000006.jpg,https://retrieverman.files.wordpress.com/2009/11/little-white-dog2.jpg?w=500
000007.jpg,https://66.media.tumblr.com/f27838d1e524524387318c923873bd11/tumblr_p1ay9yhEhG1voe2ymo1_400.jpg
000008.jpg,http://www.molosserdogs.com/albums/album09/alu.jpg
000009.jpg,http://www.molosserdogs.com/albums/album09/alt.jpg
000010.jpg,https://i.pinimg.com/originals/1e/02/56/1e0256a119666e2b4eda286bbd3aba40.jpg
000011.jpg,http://www.easypetmd.com/sites/default/files/English_White_Terrier%20(1).jpg
000012.jpg,https://img.buzzfeed.com/buzzfeed-static/static/2018-07/25/14/asset/buzzfeed-prod-web-06/sub-buzz-28289-1532545009-2.jpg?crop=1500%3A1062%3B0%2C0&downsize=400:*&output-format=auto&output-quality=auto
000013.jpg,https://66.media.tumblr.com/89a9d22d0a9a9bc3e2ff083af49fae9d/tumblr_p1kgxkO9Ot1voe2ymo2_500.jpg
000014.jpg,http://www.davidhancockondogs.com/archives/archive_399_493/images/473/473-1%20%20%20%20ENGLISH%20WHITE%20TERRIER.jpg
000015.jpg,https://retrieverman.files.wordpress.com/2009/11/toy-bull-terriers.jpg?w=500
000016.jpg,https://i.ebayimg.com/images/g/eVQAAOxyM89SbDZX/s-l300.jpg
000017.jpg,https://i.ytimg.com/vi/xz7WIpGtbHU/maxresdefault.jpg
000018.jpg,https://cdn.britannica.com/s:300x300/06/30106-004-14CA0E02.jpg
000019.jpg,http://www.molosserdogs.com/albums/album09/alo.jpg
000020.jpg,http://www.dogwallpapers.net/wallpapers/three-cute-english-white-terrier-dogs-pic.jpg
000021.jpg,https://c8.alamy.com/comp/R5RJ1W/english-bull-terrier-white-dog-is-furious-and-angry-in-garden-outdoor-closeup-white-bull-terrier-dog-is-walking-and-looking-to-the-camera-on-nature-R5RJ1W.jpg
000022.jpg,https://c8.alamy.com/comp/F9W1A9/english-bull-terrier-F9W1A9.jpg
000023.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235406/Bull-Terrier-History-01.jpg
000024.jpg,http://www.davidhancockondogs.com/archives/archive_399_493/images/473/473-2%20MINIATURE%20ENGLISH%20WHITE%20TERRIERS.jpg
000025.jpg,https://www.dogspuppiesforsale.com/uploads/source/Category%20update/English%20White%20Terrier/English%20White%20Terrier%20puppies%20for%20sale%202.jpg
000026.jpg,http://www.easypetmd.com/sites/default/files/English_White_Terrier%20(3).jpg
000027.jpg,https://pitbullluvbreedinfo.files.wordpress.com/2014/09/bullterrierold1.jpg
000028.jpg,https://banner2.kisspng.com/20180610/ejy/kisspng-miniature-bull-terrier-old-english-terrier-english-5b1db0babd0af3.6845982915286724427743.jpg
000029.jpg,https://www.insidedogsworld.com/wp-content/uploads/2017/07/1200px-Bull_terier_i_bull_terier_miniatura_d46.jpg
000030.jpg,https://thumbs.dreamstime.com/z/bull-terrrier-miniatures-miniature-terrier-breed-origins-extinct-english-white-dalmatian-bulldog-first-140416520.jpg
000031.jpg,http://dogbreedstandards.com/wp-content/uploads/2012/01/Bull-Terrier.jpg
000032.jpg,https://i.pinimg.com/originals/d8/1c/9a/d81c9a8b035da78891447ef43293050f.jpg
000033.jpg,https://previews.123rf.com/images/zoranphotographer/zoranphotographer1805/zoranphotographer180500134/101731106-english-bull-terrier-white-dog-is-furious-and-angry-in-garden-outdoor-closeup-white-bull-terrier-dog.jpg
000034.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/768/content/uploads/2018/01/fotolia_134435477.jpg
000035.jpg,http://4.bp.blogspot.com/-hlp8JZVTYe0/UCv_YUM2sYI/AAAAAAAAAGE/YYP-cZLpSA8/s1600/english+bull+terrier1.png
000036.jpg,https://cdn.shopify.com/s/files/1/1051/4084/files/hinksbullterrier_gentlemansdog_1_grande.jpg?v=1533105770
000037.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Staffordshire-bull-terrier-white-2748733.jpg
000038.jpg,http://www.artnet.com/WebServices/images/ll00132lldJVaFFgbNECfDrCWvaHBOc7XF/richard-ansdell-two-manchester-terriers-with-an-old-english-white-terrier.jpg
000039.jpg,https://www.pets4homes.co.uk/images/breeds/4/large/ba572c00d2f5bb460c478638f2cad4ac.jpeg
000040.jpg,https://www.dogingtonpost.com/wp-content/uploads/2016/01/bluepaul.jpg
000041.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235344/Bull-Terrier-On-White-03.jpg
000042.jpg,http://www.davidhancockondogs.com/archives/archive_494_585/images/560/560B%20Piggy-eyed%20Bull%20Terrier.jpg
000043.jpg,https://c8.alamy.com/comp/XE87WD/english-bull-terrier-portrait-XE87WD.jpg
000044.jpg,https://cdn.shopify.com/s/files/1/1051/4084/files/Screen_Shot_2018-08-03_at_11.21.15_grande.jpg?v=1533292461
000045.jpg,http://canineheritage.weebly.com/uploads/5/7/0/1/57017963/little-kings-fellow-ca-1968-dahrel-painted-warrior-x-el-ka-si-rugby.jpg?364
000046.jpg,https://media.gettyimages.com/photos/white-bull-terrier-picture-id478625251?s=612x612
000047.jpg,https://banner2.kisspng.com/20180730/tyi/kisspng-miniature-bull-terrier-bull-and-terrier-old-englis-icelandic-sheepdog-5b5e984a0ab3b7.7643830915329260260439.jpg
000048.jpg,https://www.insidedogsworld.com/wp-content/uploads/2017/07/miniature-bull-terrier8.jpg
000049.jpg,https://cdn.fotofits.com/petzlover/MERGE_HORIZONTAL/gallery/img/l/west-highland-white-terrier-658466.jpg/_MERGE_/gallery/img/l/english-bulldog-632493.jpg
000050.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Rawalakoti_Gull_Terrier.jpg/440px-Rawalakoti_Gull_Terrier.jpg
