image,source
000001.jpg,https://previews.123rf.com/images/olgagorovenko/olgagorovenko1812/olgagorovenko181200117/114060840-adult-fila-brasileiro-brazilian-mastiff-dog-portrait-autumn-scene.jpg
000002.jpg,https://i.ytimg.com/vi/YDv0Lq4WIOU/hqdefault.jpg
000003.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-EFGH/filabrasileirof5.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Imagem_de_exemplar_padr%C3%A3o_OFB.png
000005.jpg,https://img.dog-learn.com/dog-breeds/fila-brasileiro/fila-brasileiro-i4-sz14.jpg
000006.jpg,https://wds2018.com/wp-content/uploads/2017/05/Fila-Brasileiro.jpg
000007.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/Fila-Brasileiro-standing-in-the-field-810x540.jpg
000008.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/10/13/68/20/700_FO10136820_2a8301e626cc65809d51476668460cde.jpg,700,467,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,480,417,jpg)/wardrobe-stickers-le-fila-brasileiro-qui-trottine-dans-l-herbe.jpg.jpg
000009.jpg,https://1.bp.blogspot.com/-QjXheTIy5ZM/V9rensnfexI/AAAAAAAAE9M/SLRdtR48l2ocf-8xLyNc_utlPwdrhYfRQCLcB/s1600/Fila-Brasileiro-1.png
000010.jpg,https://fofuxo.com.br/_upload/content/2018/01/26/fila-brasileiro-5a6b103a18e09.jpg
000011.jpg,https://i0.wp.com/puppytoob.com/wp-content/uploads/2018/10/fila-brasileiro-2.jpg?resize=750%2C404
