image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23258_finnish-lapphund-460x290.jpg
000002.jpg,https://vetstreet.brightspotcdn.com/dims4/default/5751e41/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Faa%2F6f35c0a80611e0a0d50050568d634f%2Ffile%2FFinnish-Lapphund-3-645mk070411.jpg
000003.jpg,https://4.bp.blogspot.com/-M3ZcTHGeINE/VzBUA5EDJJI/AAAAAAAAEuw/AsmgRxqxSQoRQT6AHV0f5fwHmBpKGbYiQCLcB/s1600/Finnish-Lapphund-Dog-Pair.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233323/Finnish-Lapphund-On-White-01.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233325/Finnish-Lapphund-MP-e1522428751905.jpg
000006.jpg,http://cdn.akc.org/content/hero/Finnish_Lapphund_Hero.jpg?cachebuster:49
000007.jpg,https://www.dogalize.com/wp-content/uploads/2017/04/Finnish-Lapphund.jpg
000008.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Finnish_Lapphund_Glenchess_Revontuli.jpg
000009.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Finnish-Lapphund_Mobile.jpg?h=300&la=en&w=375&hash=6454E9045930430FAA30302A71C3A0AB
000010.jpg,https://caleebra.com/pb/content/images/xlarge/70.jpg
000011.jpg,https://vetstreet-brightspot.s3.amazonaws.com/b9/45/22af847d411386126d32f6baee92/finnish-lapphund-ap-1o7o8q-645-x-380.jpg
000012.jpg,http://cdn.akc.org/content/article-body-image/FL_in_Snow.jpg
000013.jpg,https://www.dogzone.com/images/breeds/finnish-lapphund.jpg
000014.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/finnish-lapphund-detail.jpg?bust=1535565743&width=355
000015.jpg,https://www.pets4homes.co.uk/images/articles/3044/large/is-a-finnish-lapphund-the-right-dog-for-you-559fa9405466d.jpg
000016.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/06/Finnish-Lapphund.jpg
000017.jpg,https://nimages.champdogs.net/breeds/finnish-lapphund.jpg
000018.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/finnish-lapphund-dog-breed-pictures/facewhite-1.jpg
