image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/Flat-coated-retriever-01.jpg?bust=1539030652&width=355
000002.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/flat-coated-retriever-dogs-and-puppies/flat-coated-retriever-dogs-puppies-1.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flat_Coated_Retriever_-_black.jpg
000004.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/flat-coated-retriever-card-small.jpg?bust=1535567488
000005.jpg,https://www.dogzone.com/images/breeds/flat-coated-retriever.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233222/Flat-Coated-Retriever-On-White-03.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233228/Flat-Coated-Retriever-MP.jpg
000008.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Flat-Coated-Retriever-2.jpg
000009.jpg,https://vetstreet-brightspot.s3.amazonaws.com/fe/7fd7f0a74811e0a0d50050568d634f/file/Flat-Coat-Retriever-4-645mk062311.jpg
000010.jpg,https://vetstreet-brightspot.s3.amazonaws.com/8d/b1f990a74811e0a0d50050568d634f/file/Flat-Coat-Retriever-1-645mk062311.jpg
000011.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22974_flat-coated-retriever-460x290.jpg
000012.jpg,https://i.pinimg.com/originals/84/49/f3/8449f3293ddbb4d88a0850a6143d576a.jpg
000013.jpg,https://i.etsystatic.com/5302623/r/il/a1ece9/1177154922/il_794xN.1177154922_884m.jpg
000014.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Flat-Coated-Retriever-1.jpg
000015.jpg,https://images-na.ssl-images-amazon.com/images/I/81FgA8uPshL.jpg
000016.jpg,http://gamekprs.com/wp-content/uploads/2018/01/PC_FCRSA2017_0517Cutout10x13FINALWeb.jpg
000017.jpg,https://previews.123rf.com/images/capturelight/capturelight1608/capturelight160800097/61242092-typical-flat-coated-retriever-in-the-spring-garden.jpg
000018.jpg,https://i.pinimg.com/originals/60/ea/15/60ea15eb8529af3cc3f63bdf18d68464.jpg
000019.jpg,https://www.omlet.de/images/originals/flat-coated-retriever-hunde-an-adult-flat-coated-retriever-d6e64e72_0a9495da.jpg
000020.jpg,https://www.dogtemperament.com/wp-content/uploads/2018/09/flat-coated-retrievers-2-min.jpg
000021.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-flat-coated-retriever164156748.jpg?itok=fbn9YeWE
000022.jpg,https://img.dog-learn.com/dog-breeds/flat-coated-retriever/flat-coated-retriever-i1-sz14.jpg
000023.jpg,https://www.petmd.com/sites/default/files/breedopedia/02262.JPG
000024.jpg,https://render.fineartamerica.com/images/rendered/default/poster/8/10/break/images-medium-5/2-black-flat-coated-retriever-with-puppy-dog-photos.jpg
000025.jpg,https://render.fineartamerica.com/images/rendered/default/poster/8/10/break/images-medium-5/liver-flat-coated-retriever-dogs-john-daniels.jpg
000026.jpg,https://www.calendars.com/img/p/orig/202000004314.jpg
000027.jpg,http://knowledgebase.lookseek.com/images/animals/dogs/Flat-Coated-Retriever.jpg
000028.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/38/38/57/47/700_FO38385747_93f3ac012c0be3cfa607d3a296538a57.jpg,700,467,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,480,417,jpg)/wall-murals-flat-coated-retriever.jpg.jpg
000029.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_f5693a4f-9a88-4d4c-8f53-e31c413c1a74.jpg
000030.jpg,http://www.wine-hill.com/wp-content/uploads/2017/10/Flat-Coated-Retriever-Breeding.jpg
