image,source
000001.jpg,https://i.ytimg.com/vi/6KXMTpsvkrA/maxresdefault.jpg
000002.jpg,https://i.ytimg.com/vi/X-AihF9j8Mg/maxresdefault.jpg
000003.jpg,https://i.pinimg.com/originals/fb/67/b7/fb67b7caa48e4f4ca66f8efb35fbf2d8.jpg
000004.jpg,https://i.pinimg.com/originals/0b/bb/39/0bbb39175c920dc74f649f7d65b77e39.jpg
000005.jpg,https://topyaps.com/wp-content/uploads/2014/06/Untitled-115.jpg
000006.jpg,https://i.ytimg.com/vi/huOZlVTwTzM/hqdefault.jpg
000007.jpg,https://static.topyaps.com/wp-content/uploads/2014/06/2.-Strong-and-Ferocious.jpg
000008.jpg,https://usercontent2.hubstatic.com/12625999.jpg
000009.jpg,https://66.media.tumblr.com/68bf5095f97828fdf755dbe69d392e56/tumblr_osmc6cmkr51voe2ymo1_500.jpg
000010.jpg,https://i.ytimg.com/vi/tNLj_yrGydo/hqdefault.jpg
000011.jpg,https://usercontent1.hubstatic.com/14216884_f520.jpg
000012.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/12/1-e1512412563528.png
000013.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/5/59/DSC00768_edited.jpg/revision/latest?cb=20170909143002
000014.jpg,http://molosserdogs.com/gallery/albums/userpics/25885/tribalbeast.jpg
000015.jpg,https://pbs.twimg.com/media/BzbEW1sCAAAXQFk.jpg
000016.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/05/Bhote-Kukur-Himalayan-Sheepdog.jpg
000017.jpg,https://www.inmarathi.com/wp-content/uploads/2017/11/gaddi-Kutta-dog-breed-inmarathi.jpg
000018.jpg,https://usercontent1.hubstatic.com/13556718.jpg
000019.jpg,https://i.ytimg.com/vi/C7x9pZsYvug/maxresdefault.jpg
000020.jpg,http://www.molosserdogs.com/gallery/albums/userpics/10185/DSC00760_editgaddi.jpg
000021.jpg,http://findvs.com/photos-images/gaddi-kutta-dog.jpg
000022.jpg,https://i.ytimg.com/vi/cxsFItvKQNQ/maxresdefault.jpg
000023.jpg,https://1.bp.blogspot.com/-icwPI7Mr6e8/Wq3_po8e55I/AAAAAAAAAKo/yaGuFmqwfAUSQmOohcMR3Ntv1oB7hIpIACLcBGAs/w1200-h630-p-k-no-nu/The%2BHimalayan%2BGuard%2BDog.jpg
000024.jpg,https://static.topyaps.com/wp-content/uploads/2014/06/3.-Superb-Intelligent-and-Very-Gorgeous.jpg
000025.jpg,https://dogbreedsfaq.com/wp-content/uploads/gaddi-kutta-dog-breed-in-the-garden.jpeg
000026.jpg,http://nattumadu.in/wp-content/uploads/2018/02/RECOGNIZED-INDIGENOUS-BREEDS-OF-CATTLE-1.png
000027.jpg,https://i.pinimg.com/originals/1e/39/12/1e3912947c7dc4875d9f77f7136db7db.jpg
000028.jpg,http://i238.photobucket.com/albums/ff233/jattiger/n540148706_1110866_9806.jpg
000029.jpg,https://pbs.twimg.com/media/DudtCevWoAAzXTw.jpg
000030.jpg,https://i.vimeocdn.com/video/476133774_1280x720.jpg
000031.jpg,https://g.rrrather.com/img/q/168324a.jpg
000032.jpg,https://i.ytimg.com/vi/6KXMTpsvkrA/hqdefault.jpg
000033.jpg,https://himachalwatcher.com/wp-content/uploads/2014/04/gaddi-dog.jpg
000034.jpg,https://doggworldcom.files.wordpress.com/2018/07/8d1ef-bhutia-dog-jai.jpg
000035.jpg,http://molosserdogs.com/gallery/albums/userpics/10185/gaddi_6weeks.jpg
000036.jpg,http://findvs.com/photos-images/lhasa-apso-dog.jpg
000037.jpg,https://i.ytimg.com/vi/BAdP_VLOF2I/hqdefault.jpg
000038.jpg,http://www.pakguns.com/attachment.php?attachmentid=2843&stc=1&d=1310599264
000039.jpg,https://banner2.kisspng.com/20180505/cxq/kisspng-dog-breed-tibetan-mastiff-gaddi-kutta-newfoundland-5aede793b2e988.1391083515255407557328.jpg
000040.jpg,http://www.molosserdogs.com/gallery/albums/userpics/10185/DSC00769_edited.jpg
000041.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/tibetan-mastiff-dog-breed-pictures/tibetan-mastiff-breed-pictures-11_0.jpg
000042.jpg,http://www.canineelite.com/blog/wp-content/uploads/2018/02/2-1.jpg
000043.jpg,https://www.k9rl.com/wp-content/uploads/2017/02/Indian-dog-breed-Gaddi-Kutta.jpg
000044.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Gaddi-Dog-puppies.jpg
000045.jpg,https://usercontent2.hubstatic.com/13047181_f496.jpg
000046.jpg,https://i.pinimg.com/236x/66/ea/33/66ea3360f5fd266444b92fa405997589.jpg
000047.jpg,https://images.hindi.news18.com/ibnkhabar/uploads/2017/09/dog-1.jpg
000048.jpg,https://i.ytimg.com/vi/GamcTSgph1I/hqdefault.jpg
000049.jpg,http://www.farmingarms.com/admin/images/breeds/10303.jpg
000050.jpg,https://www.wikilistia.com/wp-content/uploads/2018/12/Jonangi.jpg
