image,source
000001.jpg,http://www.europetnet.com/images/dogbreeds/galgoespanol.jpg
000002.jpg,http://media.gettyimages.com/photos/young-female-galgo-espanol-outdoors-picture-id154406589?s=170667a&w=1007
000003.jpg,https://previews.123rf.com/images/cynoclub/cynoclub1701/cynoclub170100177/70473320-galgo-espanol-in-front-of-white-background.jpg
000004.jpg,https://vetstreet-brightspot.s3.amazonaws.com/b5/c344d0ad5a11e088ab0050568d634f/file/Galgo-Espanol-2-645km071211.jpg
000005.jpg,https://images.squarespace-cdn.com/content/v1/548dfb59e4b06f8a5b81014d/1422740513569-RG545D6IO0PPCCDSXC78/ke17ZwdGBToddI8pDm48kBeDmz8_tGCPuqIYKR6RvwJZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpwoxnLxAhunFw_O3V1PKd3sRUk-t7UW9DZVz5TROF65vPcN3OdK1P3ff7R_NjRrYI0/Toffee-1_o+copy.jpg
000006.jpg,http://www.dogshub.in/wp-content/uploads/2018/08/Galgo-Espanol-dog-india.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Galgo_Espa%C3%B1ol_en_los_campos_castellanos.jpg
000008.jpg,https://www.elmundodelperro.net/fotos/91/3009_DSC_0217.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Galgo-Spanish-Greyhound.jpg
000010.jpg,https://previews.123rf.com/images/cynoclub/cynoclub1702/cynoclub170200013/71103146-galgo-espanol-in-front-of-white-background.jpg
000011.jpg,https://images.squarespace-cdn.com/content/v1/548dfb59e4b06f8a5b81014d/1420824691077-EMOA2KXGOOF7BIO1W3IZ/ke17ZwdGBToddI8pDm48kANPycS1xMmB2DHMj7XKyEhZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpzOeqS1g1ZYcZbvsTb-QQc_fimOWPjSeSh4xRIcQ1fETOzVZDfe4pqhvyCp_gm1wMU/Honey_o.jpg
000012.jpg,http://www.dogzone.com/images/breeds/galgo-espanol.jpg
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Galgo-Espanol.jpg
000014.jpg,https://d2l6t8rnjafg4n.cloudfront.net/u/246265/0467bb53021ab0a9a578bfe45d3fc0f02bfd3693/large/ibio-at-8months.jpg
000015.jpg,https://www.royalcanin.es/wp-content/uploads/2016/03/galgo-espanol.jpg
000016.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c2/Socrates_galgo_espa%C3%B1ol.jpg
000017.jpg,http://i57.tinypic.com/cp7wx.jpg
000018.jpg,https://i.pinimg.com/originals/41/e9/9d/41e99da2404acf2af38ae006c3daef06.jpg
000019.jpg,https://www.terranea.es/assets/images/razas/galgo_espanol.jpg
000020.jpg,https://thumbs.dreamstime.com/z/black-galgo-espanol-puppy-portrait-young-91179302.jpg
000021.jpg,https://img.dog-learn.com/dog-breeds/galgo-espanol/galgo-espanol-i2.jpg
000022.jpg,http://www.peluqueriaycosmetica.com/wp-content/uploads/2017/02/galgo_espanol_pelo_822x601.jpg
000023.jpg,https://kiwoko.a.ssl.fastly.net/media/wysiwyg/galgo-little.jpg
000024.jpg,https://indulgeyourpet.com/wp-content/uploads/Galgo-Espagnol-Puppy.png
000025.jpg,https://www.elmundodelperro.net/fotos/91/3004_DSC_61192_thumb_690.jpg
000026.jpg,https://allthatsinteresting.com/wordpress/wp-content/uploads/2018/07/spanish-glago.jpg
000027.jpg,https://mascotasya.com/images/mascopedia/galgo2.jpg
000028.jpg,https://galgoespanol.breedarchive.com/static/images/breed_pic.jpg
000029.jpg,https://www.zastavki.com/pictures/originals/2013/Animals___Dogs_Brown_Galgo_Espanol_on_the_hill_048261_.jpg
000030.jpg,https://static1.bigstockphoto.com/9/7/1/large1500/179157643.jpg
000031.jpg,https://images.squarespace-cdn.com/content/v1/548dfb59e4b06f8a5b81014d/1420824754789-UBT19EPIQMIOL9YGMICP/ke17ZwdGBToddI8pDm48kNBhxsR5AixTPaSt36FQjZRZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIHEpb-MmdDNvFVgjmeoENIlexef176In2EgYPtI8R2-8KMshLAGzx4R3EDFOm1kBS/bett_o.jpg
000032.jpg,https://as1.ftcdn.net/jpg/01/78/13/26/1000_F_178132675_CtPpKifVfoJJ1SdEf3qyncvOuX6PU0jW.jpg
000033.jpg,http://www.greyhoundcrossroads.com/uploads/Galgos/austin.JPG
000034.jpg,https://www.pets4homes.co.uk/images/articles/5240/large/all-about-the-spanish-greyhound-5c40979c58ec8.jpeg
