image,source
000001.jpg,https://i.ytimg.com/vi/j9usI54ocGo/maxresdefault.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Georgia_Shepherd.jpg/220px-Georgia_Shepherd.jpg
000003.jpg,https://www.animalhub.com/wp-content/uploads/2014/01/Georgian-Shepherd.jpg
000004.jpg,https://i.pinimg.com/236x/cf/96/32/cf963299b84a95c21771ab701bd6e6a7--caucasian-mountain-dogs-caucasian-shepherd-dog.jpg
000005.jpg,https://www.georgianjournal.ge/pictures/image2/eac268f35de2df4dbc7ee9c436b020f1.jpg
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Georgian-Shepherd.jpg
000007.jpg,https://www.georgianjournal.ge/images/georgianews/2018/july/society/georgian_shepherd_grass.png
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Georgian-Shepherd-Pictures.jpg
000009.jpg,https://i.imgur.com/ir6cQDf.jpg
000010.jpg,http://bib.ge/dogs/big/23691.jpg
000011.jpg,https://www.georgianjournal.ge/images/georgianews/2018/july/society/georgian_shepherd_1.png
000012.jpg,http://s017.radikal.ru/i402/1306/07/5aeb4c23757a.jpg
000013.jpg,http://2.bp.blogspot.com/-_Ai47OlfDbU/UYx4MPwDCgI/AAAAAAAAAbs/xNT7AhBHHwM/s1600/Caucasian+shepherd+puppies+for+sale.jpg
000014.jpg,https://images-cdn.9gag.com/photo/axjYOEY_700b.jpg
000015.jpg,https://i.ytimg.com/vi/jg8v47kuEmo/hqdefault.jpg?custom=true&w=168&h=94&stc=true&jpg444=true&jpgq=90&sp=68&sigh=IdfnNzcEnPYuOXMZT52GCaazoeY
000016.jpg,https://georgiaabout.files.wordpress.com/2012/07/bassas-father.jpg
000017.jpg,https://thumbs.dreamstime.com/z/georgia-shepherd-georgian-puppy-tusheti-34125500.jpg
000018.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Georgian-Shepherd-Photos.jpg
000019.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/e301604a-15e0-4b01-bd23-670835cb2d14/d78n5dg-0903fe0c-fd7b-4182-8625-d53b13491e58.jpg/v1/fill/w_1024,h_768,q_75,strp/georgian_shepherd___caucasian_shepherd_dog__3_by_kate_san_812_d78n5dg-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9NzY4IiwicGF0aCI6IlwvZlwvZTMwMTYwNGEtMTVlMC00YjAxLWJkMjMtNjcwODM1Y2IyZDE0XC9kNzhuNWRnLTA5MDNmZTBjLWZkN2ItNDE4Mi04NjI1LWQ1M2IxMzQ5MWU1OC5qcGciLCJ3aWR0aCI6Ijw9MTAyNCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.J5waBtYQMyj6SAmFje86dRvPcPDG2hfu3wIt9mFQNK0
000020.jpg,https://georgiaphotophiles.files.wordpress.com/2013/01/cs-bassa.jpg
000021.jpg,https://www.dw.com/image/19122731_304.png
000022.jpg,http://www.dogwallpapers.net/wallpapers/georgian-shepherd-and-a-cat-photo.jpg
000023.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Owczarek_kaukaski_65.jpg
000024.jpg,http://3.bp.blogspot.com/-aQ4GK0mksp0/Udk8A-FSb6I/AAAAAAAAAgk/V12zfjrOx2g/s1600/Caucasian+shepherd+dog.+georgianshepherd.blogspot.com+%252821%2529.jpg
000025.jpg,https://www.pets4homes.co.uk/images/breeds/241/large/5ba26f3efbe90263a069f4a30bf0eeb2.jpg
000026.jpg,http://i.imgur.com/FVo1cKh.jpg
000027.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Georgian-Mountain-Dog.jpg
000028.jpg,https://live.staticflickr.com/8113/29005784684_775b0aed26_b.jpg
000029.jpg,http://en.protothema.gr/wp-content/uploads/2019/01/dsh-405x255.png
000030.jpg,https://i.ytimg.com/vi/TTRoU2ukRv8/maxresdefault.jpg
000031.jpg,https://i.pinimg.com/236x/84/b3/53/84b353812b3b43bc164de9129b379bff--georgian.jpg
000032.jpg,https://d1k5w7mbrh6vq5.cloudfront.net/images/cache/a0/8d/6d/a08d6d6e1a495dffc09b17f9b1e44ec8.jpg
000033.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Georgian_Shepherd_At_The_Vine.jpg
000034.jpg,https://c8.alamy.com/comp/MEKXN9/shepherd-dog-tusheti-national-park-georgia-MEKXN9.jpg
000035.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190007/Caucasian-Shepherd-Dog-History-04-1.jpg
000036.jpg,https://previews.123rf.com/images/magdalenapaluchowska/magdalenapaluchowska1402/magdalenapaluchowska140200439/28834405-georgian-shepherd-puppy.jpg
000037.jpg,http://www.dogwallpapers.net/wallpapers/watching-georgian-shepherd-dog-photo.jpg
000038.jpg,https://gdb.rferl.org/2E5908F6-B4CA-4539-82D7-D718A5CA5019_mw1600_q75_s.jpg
000039.jpg,https://images-na.ssl-images-amazon.com/images/I/41PkO9VFejL._SX331_BO1,204,203,200_.jpg
000040.jpg,http://3.bp.blogspot.com/-M9o9YULsgwk/Uv_UzrzNPDI/AAAAAAAAAmg/k6QQMP3QIZI/s1600/1185912_311248812352969_1742426049_n.jpg
000041.jpg,https://qph.fs.quoracdn.net/main-qimg-b76ffc5704074c7d43a97ac68e1e071b
000042.jpg,https://thumbs.dreamstime.com/z/georgia-shepherd-georgian-puppy-tusheti-34125464.jpg
