image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22922_german-pinscher-460x290.jpg
000002.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/german-pinscher-dogs-and-puppies/german-pinscher-1.jpg
000003.jpg,https://vetstreet.brightspotcdn.com/dims4/default/634ab48/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F75%2Fd00410a8a211e0a0d50050568d634f%2Ffile%2Fpincsher-645mk070411.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233117/German-Pinscher-On-White-01.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233139/German-Pinscher-History-02.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233145/German-Pinscher-Care.jpg
000007.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-german-pinscher.jpg?itok=jDlj0Xl0
000008.jpg,https://images.wagwalkingweb.com/media/breed/german-pinscher/appearance/german-pinscher.png
000009.jpg,https://www.pets4homes.co.uk/images/breeds/194/large/8ac8413fedf5f379f7cd7befb88a640f.jpg
000010.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/01/German-Pinscher-vs-Doberman-Pinscher.jpg
000011.jpg,http://cdn.akc.org/content/hero/GP_Hero.jpg
000012.jpg,http://www.dogzone.com/images/breeds/german-pinscher.jpg
000013.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233854/Doberman-Pinscher-On-White-03-400x267.jpg
000014.jpg,https://www.pets4homes.co.uk/images/breeds/194/large/519925af836364bbdb704f2255a22b22.jpg
000015.jpg,https://www.dogbreedinfo.com/images6/GermanPinschertessa_simone_1b.jpg
000016.jpg,https://germanpinscher.org/wp-content/uploads/2018/03/dogdumbbell300.jpg
000017.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2017/11/28/nds_working_germanpinscher_171120.jpg
000018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Bvdb-duitse_pincher.jpg/220px-Bvdb-duitse_pincher.jpg
000019.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/German-Pinscher-2.jpg
000020.jpg,https://www.dogmal.com/wp-content/uploads/2018/07/german-pinscher.jpg
000021.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233141/German-Pinscher-History-01.jpg
000022.jpg,https://cdn.mysmelly.com/image:/sitefs/perm/pi/b/r/3/p/401.300.0_rpny8w5xk3g4.jpg
000023.jpg,https://dogbreedatlas.com/images/dog-breed-photos/german-pinscher/001/german-pinscher-1489673177-2.jpg
000024.jpg,https://pedigreedatabaseonline.com/germanpinscher/photo/1521426052.jpg
000025.jpg,http://caseykerryblueterriers.com/image/130046847.jpg
000026.jpg,https://www.petmd.com/sites/default/files/breedopedia/DSC00113.JPG
000027.jpg,https://i.ytimg.com/vi/lJmgxGmjHVE/hqdefault.jpg
000028.jpg,https://www.pets4homes.co.uk/images/breeds/194/large/b68fce4cf5ce5db0b90c52fb9dcb50a3.jpg
000029.jpg,https://vetstreet-brightspot.s3.amazonaws.com/1f/ae9f10a80711e0a0d50050568d634f/file/german-pinscher-1-645mk070411.jpg
000030.jpg,https://getyourpet.com/adoptable-dog-photos/274634/a-german-pinscher-for-adoption.png
000031.jpg,http://daverengermanpinschers.com/index_htm_files/60285.jpg
000032.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/WKC_BOS_2004_Windamirs_Chosen_One.jpg/220px-WKC_BOS_2004_Windamirs_Chosen_One.jpg
000033.jpg,https://i.pinimg.com/originals/0e/53/22/0e53222f4fd4126a73b7bfb65a1d933e.jpg
000034.jpg,https://www.temeritygp.com/images/GPLItter-GordoxUnice%202016/Zellie%20Third%20major%208x10.JPG
000035.jpg,https://nimages.champdogs.net/breeds/german-pinscher.jpg
000036.jpg,https://breedguide.trupanion.com/images/breed/dog/German-Pinscher.jpg
000037.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233120/German-Pinscher-MP.jpg
000038.jpg,https://live.staticflickr.com/3096/5821827431_5ec7265aac_b.jpg
000039.jpg,https://animals.net/wp-content/uploads/2019/01/German-Pinscher-1-650x425.jpg
000040.jpg,https://a-z-animals.com/media/animals/images/470x370/german_pinscher.jpg
000041.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-EFGH/germanpinschersf2.jpg
000042.jpg,https://petlandknoxville.com/wp-content/uploads/2018/08/germin.pinscher-300x300.jpg
000043.jpg,https://i.pinimg.com/originals/4c/91/6e/4c916e58febd6bc8f3382e493fc2a7bb.gif
000044.jpg,https://dogpack.com/img/breeds/images/photopost/698/medium/german_pinscher.jpg?w=285&h=285&fm=jpg&q=70&dpr=2&s=a4746fb386e988cb7111a2655c9de157
000045.jpg,https://www.europuppy.com/wp-content/uploads/2018/10/KHER05gep180717_M2_1.jpg
000046.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/GermanPinscher_RestingOnAChair.jpg/220px-GermanPinscher_RestingOnAChair.jpg
000047.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_working_germanpinscher_181120.jpg
000048.jpg,http://daverengermanpinschers.com/index_htm_files/60252.jpg
000049.jpg,https://images-ra.adoptapet.com/seo/1/mj/814_m1.jpg
000050.jpg,https://www.ckc.ca/CanadianKennelClub/media/Breed-Images/Non-Sporting%20Dogs/GermanPinscher-F.jpg
