image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/german-shorthaired-pointer-dogs-and-puppies/german-shorthaired-pointer-dogs-puppies-1.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/German-Shorthaired-Pointer-01.jpg?bust=1539030720&width=355
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Metsosuon_kennel_1.jpg/220px-Metsosuon_kennel_1.jpg
000004.jpg,http://www.petsworld.in/blog/wp-content/uploads/2015/06/German-Shorthaired-Pointer-Dog.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Duitse_staande_korthaar_10-10-2.jpg
000006.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22976_german-shorthaired-pointer-460x290.jpg
000007.jpg,https://vetstreet.brightspotcdn.com/dims4/default/86fcf80/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fb9%2F4a%2Fd80125c54dfab0c6a302dec22711%2Fgerman-shorthaired-pointer-ap-5af9xu-645.jpg
000008.jpg,https://www.pets4homes.co.uk/images/breeds/227/large/33afaee10cdac48214dc8ae582e6e782.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232941/German-Shorthaired-Pointer-On-White-07.jpg
000010.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12191213/German-Shorthaired-Pointer-Care-2.jpg
000011.jpg,https://www.petguide.com/wp-content/uploads/2013/02/german-shorthaired-pointers.jpg
000012.jpg,https://i.pinimg.com/originals/4c/68/e4/4c68e43b669ba050a882bc220a047c2a.jpg
000013.jpg,http://www.gspca.org/images/slideshow/032.jpg
000014.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/German-Shorthaired-Pointer-2-2.jpg
000015.jpg,https://www.petmd.com/sites/default/files/breedopedia/IMG_1335.JPG
000016.jpg,https://vetstreet-brightspot.s3.amazonaws.com/75/994470a0d211e0a2380050568d634f/file/German-Shorthaired-Pointer-5-645mk062411.jpg
000017.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-EFGH/germanshorthairedpointersf3.jpg
000018.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/german-shorthaired-pointer_01_lg.jpg
000019.jpg,https://static.wixstatic.com/media/f30f7c_afed5187b7584a8e8cf793db68500aed~mv2.jpg
000020.jpg,http://vetstudentstories.merckmanuals.com/wp-content/uploads/2017/04/iStock-508054736.jpg
000021.jpg,https://107fclzizww4ftn03ydjxa1a-wpengine.netdna-ssl.com/wp-content/uploads/2018/11/German-Shorthaired-Pointer-2.jpg
000022.jpg,https://www.selectadogbreed.com/media/1048/germanshorthairedpointer_adult.jpg
000023.jpg,https://cdn.akc.org/Marketplace/Breeds/German_Shorthaired_Pointer_SERP.jpg
000024.jpg,https://www.petful.com/wp-content/uploads/2016/07/german-shorthair-pointer-750x411.jpg
000025.jpg,https://i.imgur.com/ObP1MaV.jpg
000026.jpg,https://g77v3827gg2notadhhw9pew7-wpengine.netdna-ssl.com/wp-content/uploads/2018/02/dog-1777879_1920-1024x768.jpg
000027.jpg,https://yuzu-studypages-prod-east.s3.amazonaws.com/study_banners/1388.jpg
000028.jpg,https://outbackgsp.net/wp-content/uploads/2018/09/Screen-Shot-2018-09-18-at-5.57.10-PM.png
000029.jpg,https://images-na.ssl-images-amazon.com/images/I/71Ga1nyYo4L._SX425_.jpg
000030.jpg,https://dogbreedatlas.com/images/dog-breed-photos/german-shorthaired-pointer/001/german-shorthaired-pointer-1489744036-2.jpg
000031.jpg,https://www.keystonepuppies.com/wp-content/uploads/2018/09/German-Shorthaired-Pointer-1.jpg
000032.jpg,https://archive.content.aah.net.au/files/images/German-shorthaired-ponter-profile.jpg
000033.jpg,https://previews.123rf.com/images/fotojagodka/fotojagodka1511/fotojagodka151100054/48614875-german-shorthaired-pointer-sitting-against-white-background.jpg
000034.jpg,https://media.istockphoto.com/photos/german-shorthaired-pointer-picture-id497715925?k=6&m=497715925&s=612x612&w=0&h=pHfDVjxMRjwdGZj8CgQG36F4CQqkd8mc6M8FlDe_Rvs=
000035.jpg,https://images.pexels.com/photos/1647190/pexels-photo-1647190.jpeg?cs=srgb&dl=german-shorthaired-pointer-1647190.jpg&fm=jpg
