image,source
000001.jpg,http://www.dogzone.com/images/breeds/german-spaniel.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Plochacz_niemiecki_2_pl.jpg
000003.jpg,https://www.petguide.com/wp-content/uploads/2018/04/german-spaniel-1.jpg
000004.jpg,https://i.ytimg.com/vi/LzUBBbmSweQ/maxresdefault.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29130931/AdobeStock_1083293871.jpg
000006.jpg,http://www.europetnet.com/images/dogbreeds/germanspaniel.jpg
000007.jpg,https://i.pinimg.com/originals/37/14/32/3714327529cf197cd43848bd3e0c434a.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/German-Spaniels.jpg
000009.jpg,https://www.featurepics.com/StockImage/20160108/german-spaniel-dog-stock-picture-3913257.jpg
000010.jpg,https://wds2018.com/wp-content/uploads/2017/05/Duitse-Wachtelhond.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/German-Spaniel-Pictures.jpg
000012.jpg,https://images.wagwalkingweb.com/media/breed/german-spaniel/hero/German-Spaniel.jpg
000013.jpg,https://previews.123rf.com/images/lightboxx/lightboxx1401/lightboxx140100279/25352817-deutscher-wachtelhund-german-spaniel.jpg
000014.jpg,https://i.pinimg.com/236x/5c/1e/94/5c1e94feb308a0ee9cbf0b7820c3d1cf.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/German-Spaniel.jpg
000016.jpg,https://thumbs.dreamstime.com/z/portrait-german-spaniel-green-grass-lawn-garden-57668371.jpg
000017.jpg,https://images-na.ssl-images-amazon.com/images/I/716ZE2CMFHL.jpg
000018.jpg,http://www.gopetsamerica.com/spaniels/german-spaniel.jpg
000019.jpg,https://doggiedesigner.com/wp-content/uploads/2018/10/28.2.jpg
000020.jpg,https://i.pinimg.com/originals/39/ea/8c/39ea8c46276256d028ab2074520f0dee.jpg
000021.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Deutscher-Wachtelhund.jpg
000022.jpg,https://www.jklgrooming.com/Library/sliders/product-carousel/images/German_Spaniel_Chart.jpg
