image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/glen-of-imaal-terrier-detail.jpg?bust=1535565846&width=355
000002.jpg,https://cdn-01.independent.ie/regionals/fingalindependent/news/article34310767.ece/d03fa/AUTOCROP/w620/2015-12-29_wic_15487226_I2.JPG
000003.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/glen-of-imaal-terrier-dog-breed-pictures/8-sitforward.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Wheaten_glen_of_imaal.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232832/Glen-of-Imaal-Terrier-Care.jpg
000006.jpg,https://vetstreet-brightspot.s3.amazonaws.com/66/194b20a75411e0a0d50050568d634f/file/Glen-of-Amaal-1-645mk062411.jpg
000007.jpg,https://www.petful.com/wp-content/uploads/2014/06/Glen-of-Imaal-Terrier-750x410.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232824/Glen-of-Imaal-Terrier-MP.jpg
000009.jpg,http://www.dogzone.com/images/breeds/glen-of-imaal-terrier.jpg
000010.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23066_glen-of-imaal-terrier-460x290.jpg
000011.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/The_Glen_sit.jpg/220px-The_Glen_sit.jpg
000012.jpg,https://animals.net/wp-content/uploads/2018/10/Glen-of-Imaal-Terrier-3-650x425.jpg
000013.jpg,https://www.pets4homes.co.uk/images/articles/3899/large/the-glen-of-imaal-terrier-and-their-history-in-ireland-589477338737f.jpg
000014.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232815/Glen-of-Imaal-Terrier-On-White-01.jpg
000015.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Glen-of-Imaal-Terrier.jpg
000016.jpg,http://www.worldlifeexpectancy.com/images/a/d/d/b/glen_of_imaal_terrier/glen_of_imaal_terrier_1.jpg
000017.jpg,https://glenterriers.com/wp-content/uploads/2017/09/2011-02-23-Joy-x-Otto-puppies-003-700x550.jpg
000018.jpg,http://www.dogexpress.in/wp-content/uploads/2016/04/glen-of-imaal-terrier-2.jpg
000019.jpg,https://doggiedesigner.com/wp-content/uploads/2018/04/143.1.jpg
000020.jpg,https://glenterriers.com/wp-content/uploads/2017/09/2010-09-30-2M11wks-700x550.jpg
000021.jpg,https://janedogs.com/assets/Terriers/Terriers-Irish/_resampled/ResizedImage200348-Glen-Begging-re-crop.jpg
000022.jpg,http://2.bp.blogspot.com/-DIu_h6HEXXQ/UN7NxNfz7UI/AAAAAAAAA70/NWvmuEaH2AY/s1600/Glen+of+Imaal+Terrier4.jpg
000023.jpg,http://dogbreedsinfo.org/images/Glen_Of_Imaal_Terrier.jpg
000024.jpg,https://www.pets4homes.co.uk/images/classifieds/2014/06/05/655147/large/glen-of-imaal-pup-5397f66ce5726.JPG
000025.jpg,http://www.noahsdogs.com/m/photos/get_image/file/3734cb4dc9e14410a3e8f8625993bbb5.jpg
000026.jpg,https://doggiedesigner.com/wp-content/uploads/2018/04/143.2.jpg
000027.jpg,https://i.pinimg.com/originals/5f/00/0a/5f000a71e953167f397d7bfe7061a8f7.jpg
000028.jpg,https://i.pinimg.com/750x/6d/b9/5a/6db95aeca354bb404272f23aaf32dfb8.jpg
000029.jpg,https://www.carealotpets.com/images/breeding/dog-breeds/GlenOfImaalTerrier.jpg
000030.jpg,http://www.allsmalldogbreeds.com/breeds/glen-of-imaal-terrier.jpg
000031.jpg,http://www.smalldogbreeds101.com/wp-content/uploads/Glen-of-Imaal-Terrier.jpg
000032.jpg,https://www.mascotarios.org/wp-content/uploads/2011/04/GlenImaalTerrier.jpg
000033.jpg,http://abberannglens.com/wp-content/uploads/2017/02/Why-Glens-are-different-from-other-Irish-Terriers-featured-image-Abberann-Glens-1.jpg
000034.jpg,https://www.dogfocus.co.uk/imgs/dogfocus/breeds/glen-of-imaal-terrier_575.jpg
000035.jpg,http://www.petmania.ie/images/default-source/dog/glen-of-imaal.png?sfvrsn=2
000036.jpg,https://animalsadda.com/wp-content/uploads/2015/12/glen-of-imaal-terrier-7.jpg
000037.jpg,https://vetstreet.brightspotcdn.com/dims4/default/34cc3f4/2147483647/crop/646x381%2B0%2B40/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F66%2Fd9%2F6c2bf284453596dfdad5b325680f%2Fglen-of-imaal-terrier-ap-0jllm0.jpg
000038.jpg,https://www.petmd.com/sites/default/files/breedopedia/glen_of_imaal.jpg
000039.jpg,https://i.ytimg.com/vi/pH6t1TcwWPU/hqdefault.jpg
000040.jpg,http://abberannglens.com/wp-content/uploads/2017/02/distinctive-features-of-the-Glen-of-Imaal-Terrier.jpg?w=640
000041.jpg,http://www.dogcarehelp.com/wp-content/uploads/2015/06/glen-of-imaal-terrier.jpg
000042.jpg,https://static1.viovet.co.uk/petphotos/78558_5a40a7563f45e5cac088b4a72738beba.jpg
000043.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Glen-of-Imaal-Terrier-Pictures.jpg
000044.jpg,https://media.gettyimages.com/photos/an-irish-glen-of-imaal-terrier-on-2-legs-picture-id455224121
000045.jpg,https://www.thepaws.net/wp-content/uploads/2018/12/Glen-of-Imaal-Terrier-dogs.jpg
000046.jpg,http://www.irishdogs.ie/images/gallery/99/1767_album.jpg
000047.jpg,http://www.dogspotters.com/dog-breed-photos/glofimte.jpg
000048.jpg,https://savearescue.org/wp-content/uploads/2013/06/Glen-of-Imaal-Terrier.jpg
000049.jpg,https://images.ctfassets.net/w00x6p5qkejz/6BZiQgCA5UwquAUEaKc4iu/5922e79b482a4b7b24aaeb99e55d8693/Glen_of_Imaal_Terrier3.png
000050.jpg,http://glenbreeders.com/wp-content/uploads/2011/01/darren2.jpg
