image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/golden-retriever-detail.jpg?bust=1535565857&width=355
000002.jpg,https://vetstreet.brightspotcdn.com/dims4/default/21dc2d6/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F9f%2F9b%2F6ff000df4e4d8e8c70608cf6e0f5%2Fgolden-retriever-ap-0johoo-645.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Golden_Retriever_Carlos_%2810581910556%29.jpg/1200px-Golden_Retriever_Carlos_%2810581910556%29.jpg
000004.jpg,https://www.thesprucepets.com/thmb/skYeQH255WxPaNzYWREDRfLgqFQ=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/golden-retriever-sitting-down-in-a-farm-837898820-5c7854ff46e0fb00011bf29a.jpg
000005.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Golden-Retriever_Mobile.jpg?h=300&la=en&w=375&hash=DBFCDEEEF817147AD7CAD45DB3B68511
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12121353/GoldenRetriever1_stacked.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12130118/Golden-Retriever-Standing1-400x267.jpg
000008.jpg,https://www.rover.com/blog/wp-content/uploads/2018/11/goldenre.jpg
000009.jpg,https://www.ctvsh.com/sites/default/files/styles/large/adaptive-image/public/golden-retriever-dog-breed-info.jpg?itok=KV7Ojj-C
000010.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/07/how-long-do-golden-retrievers-live-KH-long.jpg
000011.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22980_golden-retriever-460x290.jpg
000012.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555378804/shape/mentalfloss/istock_000009655750_small.jpg
000013.jpg,https://thehappypuppysite.com/wp-content/uploads/2016/01/golden-retriever.jpg
000014.jpg,https://www.pets4homes.co.uk/images/articles/2916/large/five-universal-personality-traits-of-the-golden-retriever-556d979a5dbc8.jpg
000015.jpg,https://www.thesprucepets.com/thmb/pWXl_CJ26PCPcRraiXwPpaXH-3Y=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/31170124_355309831644176_4994517524629422080_n-5b3a4d0ec9e77c003771e6a6.jpg
000016.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/golden-retriever-card-small.jpg?bust=1535568541
000017.jpg,https://assets.blog.slice.ca/imageserve/wp-content/uploads/2018/12/12153856/golden-retrievers-face/x.jpg
000018.jpg,https://vetstreet-brightspot.s3.amazonaws.com/98/d98250a0d311e0a2380050568d634f/file/Golden-Retriever-3-645mk062411.jpg
000019.jpg,https://www.pdsa.org.uk/media/4033/golden-retriever-og.png
000020.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/golden-retriever-700x700.jpg
000021.jpg,https://puppyintraining.com/wp-content/uploads/2017/11/golden-retriever-puppies-week8-1.jpg
