image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/Gordon-setter-01.jpg?bust=1539030831&width=355
000002.jpg,http://doglover.in/wp-content/uploads/2018/06/Gordon-Setter-1140x760.jpg
000003.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-EFGH/gordonsettersf1.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Nike_the_Gordon_Setter_%2818_June_2005%29.jpg/220px-Nike_the_Gordon_Setter_%2818_June_2005%29.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c0/Orrvilas_enska_w800px.jpg
000006.jpg,https://vetstreet.brightspotcdn.com/dims4/default/426d9aa/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F5b%2F2a4330a75511e0a0d50050568d634f%2Ffile%2FGorden-Setter-2-645mk062411.jpg
000007.jpg,https://i.pinimg.com/originals/ad/d7/16/add716242ae42102e4c4b94b90761202.jpg
000008.jpg,http://www.dogzone.com/images/breeds/gordon-setter.jpg
000009.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Gordon-Setter-2.jpg
000010.jpg,https://www.omlet.de/images/cache/504/768/Dog-Gordon_Setter-A_young_adult_Gordon_Setter_sat_up_to_attention.jpg
000011.jpg,https://i.pinimg.com/originals/a7/6c/f5/a76cf5f7b6fff6a10a447b3ad5ee80c2.jpg
000012.jpg,https://res.cloudinary.com/jacepharm/image/upload/v1548867778/Depositphotos_96544192_original_ubkmlf.jpg
000013.jpg,https://www.pets4homes.co.uk/images/articles/2563/large/gordon-setter-hereditary-health-and-longevity-54ca677010f36.jpg
000014.jpg,https://animalsbreeds.com/wp-content/uploads/2018/05/Gordon-Setter.jpg
000015.jpg,https://vetstreet.brightspotcdn.com/dims4/default/50421d7/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fde%2F7f6da0a80911e0a0d50050568d634f%2Ffile%2FGordon-Setter-1-645mk070411.jpg
000016.jpg,https://c8.alamy.com/comp/HMX6Y3/gordon-setter-HMX6Y3.jpg
000017.jpg,https://animalsfocus.com/wp-content/uploads/2018/12/Gordon-Setter-MP-678x381.jpg
000018.jpg,https://thumbs.dreamstime.com/z/gordon-setter-puppy-summer-s-portrait-72988631.jpg
000019.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01131128/Gordon-Setter-care1.jpg
000020.jpg,https://www.dogzone.com/images/breeds/gordon-setter-puppy.jpg
000021.jpg,https://vetstreet.brightspotcdn.com/dims4/default/2efd9fe/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F37%2F8cfbc0a75511e0a0d50050568d634f%2Ffile%2FGorden-Setter-1-645mk062411.jpg
000022.jpg,http://static.pedigreedatabase.com/dogbreeds/gordon_setter.jpg
000023.jpg,https://www.dogbreedinfo.com/images31/GordonSetterPurebredDogDavidHancock.jpg
000024.jpg,https://www.carealotpets.com/images/breeding/dog-breeds/GordonSetter.jpg
000025.jpg,https://www.scottishfield.co.uk/wp-content/uploads/sites/101/2019/05/Gordon-Setter3-978x624.jpg
000026.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01130650/Gordon-Setter.1-400x267.jpg
000027.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Gordon_setter.jpg/220px-Gordon_setter.jpg
000028.jpg,https://www.omlet.de/images/cache/1024/682/Dog-Gordon_Setter-A_lovely_adult_Gordon_Setter_bounding_through_the_water.jpg
000029.jpg,https://www.petguide.com/wp-content/uploads/2013/02/gordon-setter.jpg
000030.jpg,https://dogsnet.com/wp-content/uploads/2018/09/gordon-vs-irish-setter-long.jpg
000031.jpg,https://www.dogproductpicker.com/wp-content/uploads/2019/06/Gordon-Setter-Dog-Breed-Information-%E2%80%93-All-You-Need-to-Know.jpg
