image,source
000001.jpg,https://images.wagwalkingweb.com/media/breed/gran-mastin-de-borinquen/hero/Gran-Mastin-de-Borinquen.jpg
000002.jpg,https://www.petpremium.com/wp-content/uploads/ppbr/breeds/gran-mastin-de-borinquen_profile_350x400.jpg
000003.jpg,http://www.dogwallpapers.net/wallpapers/gran-mast%C3%ADn-de-bor%C3%ADnquen-dog-face-photo.jpg
000004.jpg,https://www.escaparatedemascotas.com/wp-content/uploads/2015/02/Mast%C3%ADn-de-Borinquen-3.jpg
000005.jpg,https://i.ytimg.com/vi/_6a_DHPPXR8/hqdefault.jpg
000006.jpg,http://www.escaparatedemascotas.com/wp-content/uploads/2015/02/Mast%C3%ADn-de-Borinquen-1.jpg
000007.jpg,https://images-na.ssl-images-amazon.com/images/I/61Wn6P%2BlmGL._SX466_.jpg
000008.jpg,http://www.dogwallpapers.net/wallpapers/gran-mast%C3%ADn-de-bor%C3%ADnquen-puppy-photo.jpg
000009.jpg,https://3.bp.blogspot.com/-2adxvvasr7c/VEGpkEyHzGI/AAAAAAAAAJU/UX9ht1Ufo3M/s1600/BORINQUEN.jpg
000010.jpg,http://www.furrycritter.com/fcn/assets/img/dogs/Gran_Mastin_de_Borinquen.jpg
000011.jpg,https://image.slidesharecdn.com/mastines-121211070941-phpapp02/95/mastines-6-638.jpg?cb=1355209834
000012.jpg,https://toppercan.es/wp-content/uploads/boriquen.jpg
000013.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Gran-Mast%C3%ADn-de-Bor%C3%ADnquen-dog-temperament-750x450.jpg
000014.jpg,http://i286.photobucket.com/albums/ll91/activedog/jibaro1.jpg
000015.jpg,https://animalesis.com/wp-content/uploads/Gran-Mast%C3%ADn-de-Borinqu%C3%A9n-557x1024.png
000016.jpg,https://toppercan.es/wp-content/uploads/italiano.jpg
000017.jpg,https://images-na.ssl-images-amazon.com/images/I/71RdM9hUTcL._SY355_.jpg
000018.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Gran-Mast%C3%ADn-de-Bor%C3%ADnquen-dog-breed.jpg
000019.jpg,https://www.doglib.com/wp-content/uploads/sites/2/gr/gran-largest-dog-in-world-hercules-breed.jpg
000020.jpg,http://www.davidhancockondogs.com/archives/archive_240_309/images/290/290F%20Gran%20Mastino%20de%20Borinquen.jpg
000021.jpg,https://image.slidesharecdn.com/mastines-121211070941-phpapp02/95/mastines-5-638.jpg?cb=1355209834
000022.jpg,https://i.pinimg.com/originals/b2/69/27/b26927698da3ed32efa442bbdf0fa3d8.jpg
000023.jpg,https://breedinfo.ru/uploads/posts/2015-12/thumbs/1_miniature_shar_pei-thumb.jpg
000024.jpg,https://animalesis.com/wp-content/uploads/Mast%C3%ADn-de-Espa%C3%B1a-o-Leon%C3%A9s-768x1024.png
000025.jpg,https://http2.mlstatic.com/mastin-napolitano-perro-de-raza-muy-fiel-D_NQ_NP_788823-MPE31336696304_072019-Q.jpg
000026.jpg,https://images-na.ssl-images-amazon.com/images/I/51kKOX1BdFL._SX466_.jpg
000027.jpg,https://cdn.fotofits.com/responsive/500x500/petzlover/gallery/img/l/akita-657830.jpg
000028.jpg,http://www.escaparatedemascotas.com/wp-content/uploads/2015/01/Mast%C3%ADn-americano-4.jpg
000029.jpg,https://dynamic.indigoimages.ca/books/1526919842.jpg?altimages=false&scaleup=true&maxheight=515&width=380&quality=85&sale=0&lang=en
000030.jpg,https://i5.walmartimages.com/asr/45cde57c-9469-4277-943b-33a8c574f9cc_1.1da5f274b8668a1c3db0ee3eb3a8e221.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
000031.jpg,https://www.livelife.guide/wp-content/uploads/2018/04/Spanish-Mastiff-1-370x300.jpg
000032.jpg,http://www.worldlifeexpectancy.com/images/animals/dogs/gran-mastin-de-borinquen.jpg
000033.jpg,https://images-na.ssl-images-amazon.com/images/I/611B-0xYGzL._UX385_.jpg
000034.jpg,https://i3.cpcache.com/merchandise/287_300x300_Front_Color-Navy.jpg?Size=NA&AttributeValue=NA&region={%22name%22:%22FrontCenter%22,%22width%22:8,%22height%22:8,%22alignment%22:%22TopCenter%22,%22orientation%22:0,%22dpi%22:100,%22crop_x%22:0,%22crop_y%22:0,%22crop_h%22:800,%22crop_w%22:800,%22scale%22:0,%22template%22:{%22id%22:60786462,%22params%22:{}}}&Filters=[{%22name%22:%22background%22,%22value%22:%22ddddde%22,%22sequence%22:2}]
000035.jpg,https://estag.fimagenes.com/img/3/3/f/G/3fG_900.jpg
