image,source
000001.jpg,https://i.pinimg.com/originals/1d/12/30/1d12302d4becb8848eacc310b9d977ed.jpg
000002.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Grand-Anglo-Fran%C3%A7ais-Blanc-et-Noir-dog.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/Grand_anglo_francais_noir.jpg
000004.jpg,https://i.pinimg.com/originals/db/c0/76/dbc076e7cdaf57fa26f086805fdb44e7.jpg
000005.jpg,http://www.dogwallpapers.net/wallpapers/cute-grand-anglo-fran%C3%A7ais-blanc-et-noir-dog-photo.jpg
000006.jpg,http://www.dogwallpapers.net/wallpapers/grand-anglo-fran%C3%A7ais-blanc-et-noir-dog-side-view-photo.jpg
000007.jpg,https://c8.alamy.com/comp/PFRWGN/grand-anglo-francais-blanc-et-noir-dog-side-view-PFRWGN.jpg
000008.jpg,http://www.dogwallpapers.net/wallpapers/sad-grand-anglo-fran%C3%A7ais-blanc-et-noir-dog-photo.jpg
000009.jpg,http://www.dogwallpapers.net/wallpapers/beautiful-grand-anglo-fran%C3%A7ais-blanc-et-noir-dog-photo.jpg
000010.jpg,https://www.dogalize.com/wp-content/uploads/2018/03/Grand-Anglo-Francais-Blanc-et-Noir.jpg
000011.jpg,https://i.pinimg.com/originals/2a/8a/17/2a8a17dea9394273a779b239f84a57c0.jpg
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Fran%C3%A7ais_noir_et_blanc.JPG
000013.jpg,http://www.dogwallpapers.net/wallpapers/grand-anglo-fran%C3%A7ais-blanc-et-orange-dog-in-the-field-photo.jpg
000014.jpg,http://www.fci.be/Nomenclature/Illustrations/323g06.jpg
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/06101298_Grand_anglo_francais_orange.jpg
000016.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Grand-Anglo-Fran%C3%A7ais-Blanc-et-Orange-dog-images.jpg
