image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/06101298_Grand_anglo_francais_orange.jpg
000002.jpg,http://www.dogwallpapers.net/wallpapers/grand-anglo-fran%C3%A7ais-blanc-et-orange-dog-in-the-field-photo.jpg
000003.jpg,https://i.pinimg.com/originals/f2/28/72/f22872c44d86ed2b48df9e9d09f1016a.jpg
000004.jpg,http://3.bp.blogspot.com/_LYxGQn08RU4/SFQ2klvONII/AAAAAAAAAqY/QQuKoLIRuIE/s320/Grand+anglo-fran%C3%A7ais+blanc+et+orange+GREAT+ANGLO-FRENCH+WHITE+AND+ORANGE+HOUND.bmp
000005.jpg,https://alchetron.com/cdn/grand-anglo-franais-blanc-et-orange-38f6e76d-0232-4fd4-ad47-a0f45871d6e-resize-750.jpeg
000006.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/2/2c/Grand_Anglo-Fran%C3%A7ais_Blanc_et_Orange.jpg/revision/latest?cb=20170729013333
000007.jpg,https://alchetron.com/cdn/grand-anglo-franais-blanc-et-orange-01df4502-205f-47d6-a330-5efcd64d325-resize-750.jpeg
000008.jpg,http://www.dogwallpapers.net/wallpapers/beautiful-grand-anglo-fran%C3%A7ais-blanc-et-orange-dog-photo.jpg
000009.jpg,https://img.chien.com/img/races-de-chiens/447_big-grand-anglo-francais-blanc-et-orange.jpg
000010.jpg,https://c8.alamy.com/comp/X42NWE/great-anglo-french-white-and-orange-hound-or-grand-anglo-francais-blanc-et-orange-male-standing-in-field-X42NWE.jpg
000011.jpg,https://i.pinimg.com/originals/f4/2a/b2/f42ab265c4a954a4e4f7cab191a1b0b2.jpg
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/Grand_anglo_francais_noir.jpg
000013.jpg,https://c8.alamy.com/comp/GDA1FD/great-anglo-french-white-and-orange-hound-or-grand-anglo-francais-GDA1FD.jpg
000014.jpg,http://www.dogwallpapers.net/wallpapers/grand-anglo-fran%C3%A7ais-blanc-et-orange-dogs-photo.jpg
000015.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Grand-Anglo-Fran%C3%A7ais-Blanc-et-Orange-dog-characteristics.jpg
000016.jpg,https://c8.alamy.com/comp/J9P1AJ/dogsgrand-anglo-francais-tricoloregrand-anglo-francais-blanc-et-orangefight-J9P1AJ.jpg
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/Grand_Anglo-Fran%C3%A7ais_Blanc_Et_Orange.jpg
000018.jpg,http://www.dogwallpapers.net/wallpapers/grand-anglo-fran%C3%A7ais-blanc-et-orange-dog-face-photo.jpg
000019.jpg,https://images-na.ssl-images-amazon.com/images/I/51ZFEtVldvL.jpg
000020.jpg,https://i.pinimg.com/originals/78/d9/35/78d935412cd7e8b20eb6e7b64136ba91.jpg
000021.jpg,https://cdn.fotofits.com/responsive/500x500/petzlover/gallery/img/l/german-shepherd-632227.jpeg
000022.jpg,https://bepuppyblog-4fef.kxcdn.com/wp-content/uploads/2017/12/Grand-anglo-francais-blanc-et-orange-696x487.jpg
000023.jpg,https://www.centrale-canine.fr/sites/default/files/styles/race_top_image_1346x540/public/2018-06/GRAND%20ANGLO%20FRANCAIS%20BLANC%20ET%20ORANGE%20HEADER.jpg?itok=OI2U_1NP
000024.jpg,https://images-na.ssl-images-amazon.com/images/I/51iNFmjwlHL.jpg
000025.jpg,https://c8.alamy.com/comp/X224PH/dogsgrand-anglo-francais-tricoloregrand-anglo-francais-blanc-et-orangefight-X224PH.jpg
000026.jpg,https://images.prod.meredith.com/product/ba90832cddc1abaf85c8cf2fb42d4c1f/1501648713379/l/grand-anglo-francais-blanc-et-orange-dog-all-purpose-16oz-libbey-can-glass
000027.jpg,http://www.europetnet.org/images/dummy-dog.jpg
000028.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Grand-Anglo-Fran%C3%A7ais-Blanc-et-Orange-dog-puppies.jpg
000029.jpg,http://thegreendogshow.com/wp-content/uploads/2016/12/Grand-Anglo-Fran%C3%A7ais-Blanc-et-Orange.jpg
000030.jpg,http://sublimation.s3.amazonaws.com/SOCKPT1CDOG204_M.jpg
000031.jpg,https://i.ytimg.com/vi/v-QIvhGmH78/hqdefault.jpg
000032.jpg,https://images.our-assets.com/fullcover/2000x/9786133992702.jpg
000033.jpg,https://d83vwgwvylun0.cloudfront.net/img/s/197-grand-anglo-francais-blanc-et-orange.jpg
000034.jpg,https://afaccc03.pagesperso-orange.fr/images/chien%20courant%20france/francais%20(3).jpg
000035.jpg,https://www.centrale-canine.fr/sites/default/files/styles/race_characteristic_562x562/public/2018-06/GRAND%20ANGLO%20FRANCAIS%20BLANC%20ET%20ORANGE%20CARACTERISTIQUE.png?itok=asogiz9m
000036.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/great_anglo_francais_white_and_black_hound/great_anglo_francais_white_and_black_hound_1.jpg
000037.jpg,https://chiens.photos/wp-content/uploads/2017/07/photo-grand-anglo-francais-blanc-et-orange-4-8.jpg
000038.jpg,https://www.dogzone.com/images/breeds/grand-anglo-francais-blanc-et-noir.jpg
000039.jpg,https://images-na.ssl-images-amazon.com/images/I/51QovJAho-L.jpg
000040.jpg,http://sublimation.s3.amazonaws.com/SOCKCDOG2204_L.jpg
000041.jpg,https://images.wagwalkingweb.com/media/breed/chien-francais-tricolore/hero/Chien-Francais-Tricolore.jpg
000042.jpg,https://previews.agefotostock.com/previewimage/medibigoff/3d1f368ec4034b9ed5e33252848b54ee/ys1-1547576.jpg
000043.jpg,https://www.cani.it/img/08f31d947673fcd5ca42cb5c0625410e/193.jpg
000044.jpg,https://bepuppyblog-4fef.kxcdn.com/wp-content/uploads/2017/12/Grand-anglo-francais-blanc-et-orange-allevamento.jpg
000045.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/francais-blanc-et-orange-3.jpg
000046.jpg,https://www.petguide.com/wp-content/uploads/2018/09/grand-anglo-fran%C3%A7ais-tricolore-668x446.jpg
000047.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ch/chien-chien-anglofranaise-breed.jpg
000048.jpg,https://media.ooreka.fr/public/image/3-308529-6185-full-13576095.jpg
000049.jpg,https://s3-eu-west-1.amazonaws.com/images.dogspot.de/7648415f408f17da70d3702bbc04e5d3h5.jpg
000050.jpg,http://www.pro-chenil.com/img/adopter-un-chien-de-la-race-grand-anglo-francais-blanc-et-orange.jpg
