image,source
000001.jpg,https://cdn.omlet.co.uk/images/cache/510/768/Dog-Basset_Griffon_Vendeen_(Grand)-A_happy_Basset_Griffon_vendeen_grand_lying_on_the_grass.jpg
000002.jpg,https://brit-petfood.com/file/nodes/product/velkyhrubosrstyvendeeskybasset.jpg/294x294/FIT
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/01/12194812/GBGV-Trio.jpg
000004.jpg,http://www.dogspotters.com/dog-breed-photos/grbagrve.jpg
000005.jpg,https://static.wamiz.fr/images/animaux/chiens/large/grand-basset-griffon-vendeen.jpg
000006.jpg,https://i.pinimg.com/originals/2f/28/41/2f2841b6e6ffbe94254dc3eb2abb1c27.jpg
000007.jpg,https://render.fineartamerica.com/images/rendered/default/poster/8/10/break/images-medium-5/grand-basset-griffon-vendeen-jean-michel-labat.jpg
000008.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2015/05/petit-basset-griffon-vendeen-pup.jpg
000009.jpg,http://puppyfinder.org.uk/wp/wp-content/uploads/2013/01/basset_griffon_vendeen.jpg
000010.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Grand-Basset-Griffon-Vendeen-2.jpg
000011.jpg,https://i.pinimg.com/originals/6b/0d/23/6b0d2361d2751a5d810d796d3d8b8a0c.jpg
000012.jpg,http://breedfinder.ikc.ie/Content/images/breeds/18_grand_basset_griffon_vendeen.jpg
000013.jpg,https://wds2018.com/wp-content/uploads/2017/05/Grand-Basset-GV-1.jpg
000014.jpg,https://images.ctfassets.net/w00x6p5qkejz/2sAxD02TfiYyK2CoYMwsYy/2423c83e65b4ba0ba75211c72d9cc337/Basset_Griffon_Vendeen__Grand_2.png
000015.jpg,https://render.fineartamerica.com/images/rendered/default/poster/8/10/break/images-medium-5/grand-basset-griffon-vendeen-johan-de-meester.jpg
000016.jpg,http://cdn.akc.org/content/article-body-image/via_Lenni_Cipriotti_bom_body_image_.jpg
000017.jpg,https://www.pets4homes.co.uk/images/breeds/198/large/fca1292036e29950431ab0f953245221.jpg
000018.jpg,https://c8.alamy.com/comp/BGKB1B/cute-grand-basset-griffon-vendeen-pup-sitting-outside-on-lawn-in-garden-BGKB1B.jpg
000019.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_hound_grandbassetgriffonsvendeen_181119.jpg
000020.jpg,http://petorb.com/wp-content/uploads/2014/12/Grand-Basset-Griffon-Vend%C3%A9en.jpg
000021.jpg,https://i.pinimg.com/originals/2a/a0/d2/2aa0d23cb775b035a21c96aa4d912e0e.jpg
000022.jpg,http://cdn.akc.org/content/article-body-image/pbgv1.jpg
000023.jpg,https://c8.alamy.com/comp/PFKWG1/a-grand-basset-griffon-vendeen-and-a-petit-basset-griffon-vendeen-standing-side-by-side-looking-at-camera-PFKWG1.jpg
000024.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Grand-Basset-Griffon-Vendeen-3.jpg
000025.jpg,http://www.bassetgriffonvendeen.co.uk/images/Tarmachan_Black_Ice.jpg
000026.jpg,https://i2.wp.com/www.everydaydogmom.com/wp-content/uploads/2018/07/face-close-up.jpg?fit=700%2C500&ssl=1
000027.jpg,http://www.bassetgriffonvendeen.co.uk/images/On_the_rocks.jpg
000028.jpg,https://render.fineartamerica.com/images/rendered/default/shower-curtain/images-medium-5/grand-basset-griffon-vendeen-johan-de-meester.jpg?&targetx=0&targety=-189&imagewidth=787&imageheight=1197&modelwidth=787&modelheight=819&backgroundcolor=8D9393&orientation=0
000029.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Grand_Basset_Griffon_Vend%C3%A9en_in_Tallinn.JPG
000030.jpg,http://www.dogwallpapers.net/wallpapers/basset-griffon-vend%C3%A9en-grand-with-master-photo.jpg
000031.jpg,https://images-na.ssl-images-amazon.com/images/I/41ac8yoPaPL._SX331_BO1,204,203,200_.jpg
000032.jpg,https://2puppies.com/api/media/cache/breed_photo/Grand-Basset-Griffon-Vendeen/Grand-Basset-Griffon-Vendeen-2.jpeg
000033.jpg,http://www.noahsdogs.com/m/photos/get_image/file/9a74121baca8ac6660a0f310411318d1.jpg
