image,source
000001.jpg,https://www.petguide.com/wp-content/uploads/2016/08/basset-bleu-de-gascogne.jpg
000002.jpg,https://www.purina.co.uk/sites/g/files/mcldtz2481/files/2017-12/grand%20bleu%20de%20gascogne_400x378_0.jpg
000003.jpg,https://www.pets4homes.co.uk/images/breeds/177/large/938ad4418cd43fa90bfbacdb3f3bbfaa.jpg
000004.jpg,https://www.petguide.com/wp-content/uploads/2018/01/grand-bleu-de-gascogne-2.jpg
000005.jpg,https://i.pinimg.com/originals/39/e1/b4/39e1b47874d2520f1cb90d7f1bd678fc.jpg
000006.jpg,https://vetstreet-brightspot.s3.amazonaws.com/d9/34/f8dc925d40ac8200db3e0c901c20/basset-bleu-de-gascogne-ap-1q3ix6-645.jpg
000007.jpg,http://www.easypetmd.com/sites/default/files/Grand%20Bleu%20de%20Gascogne.jpg
000008.jpg,https://nimages.champdogs.net/breeds/grand-bleu-de-gascogne.jpg
000009.jpg,https://www.dogbreedplus.com/dog_breeds/images/grand-bleu-de-gascogne.jpg
000010.jpg,https://www.omlet.co.uk/images/cache/511/768/Dog-Basset_Bleu_De_Gascogne-A_handsome_Basset_Bleu_De_Gascogne_with_a_lovely_mottled_coat.jpg
000011.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Grand_Bleu_de_Gascogne_in_a_blue_dogcollar.jpg/220px-Grand_Bleu_de_Gascogne_in_a_blue_dogcollar.jpg
000012.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2015/05/Griffon-bleu-de-Gascogne.jpg
000013.jpg,https://www.pets4homes.co.uk/images/articles/2837/large/3-rare-french-dog-breeds-with-ticked-and-spotted-coats-5548a2f8a75b3.jpg
000014.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/grand_bleu_de_gascogne/grand_bleu_de_gascogne_1.jpg
000015.jpg,https://www.dogalize.com/wp-content/uploads/2018/01/Basset-Bleu-De-Gascogne.jpg
000016.jpg,https://c8.alamy.com/comp/PFRJ18/grand-bleu-de-gascogne-looking-at-camera-PFRJ18.jpg
000017.jpg,http://www.easypetmd.com/sites/default/files/Basset%20Bleu%20de%20Gascogne.jpg
000018.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Basset-Bleu-de-Gascogne-2.jpg
000019.jpg,https://media.ooreka.fr/public/image/3-309941-5569-full-13578119.jpg
000020.jpg,http://www.fci.be/Nomenclature/Illustrations/022g06.jpg
