image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22926_great-dane-460x290.jpg
000002.jpg,https://vetstreet.brightspotcdn.com/dims4/default/e1bbff7/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F04%2F43%2Fc530807343e5a684b6f0b5eaa4e0%2Fgreat-dane-ap-1xo5vr-645.jpg
000003.jpg,https://www.mercurynews.com/wp-content/uploads/2018/02/rpe-l-zephyr-0228.jpg?w=620
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Great_dane.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232605/Great-Dane-On-White-01.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232617/Great-Dane-Care.jpg
000007.jpg,https://i.ytimg.com/vi/OEmhJZMgj-4/maxresdefault.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232608/Great-Dane-MP.jpg
000009.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/great-dane-dogs-and-puppies/great-dane-dogs-puppies-5.jpg
000010.jpg,https://www.purinaproclub.com/sites/g/files/auxxlc346/files/styles/facebook_share/public/GrtDane_list.jpg?itok=JvyFbDyL
000011.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/great-dane-detail.jpg?bust=1535565868&width=355
000012.jpg,https://www.calendarclub.co.uk/resize/main/-/media/productimages/24/11/241172_main.jpg
000013.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/great-dane-card-small.jpg?bust=1535568536
000014.jpg,https://i.pinimg.com/originals/be/7e/4f/be7e4fd51e34ffb15157d8ac859a0990.jpg
000015.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12211518/Great-Dane-History-08.jpg
000016.jpg,https://i.ytimg.com/vi/Dmtt5TR360s/maxresdefault.jpg
000017.jpg,https://cdn.omlet.co.uk/images/cache/498/768/Dog-Great_Dane-A_stern_looking_charcoal_grey_Great_Dane_sitting_neatly.jpg
000018.jpg,https://www.rover.com/blog/wp-content/uploads/2014/08/great-dane.jpg
000019.jpg,https://vetstreet-brightspot.s3.amazonaws.com/5b/52/49deed4f440ea965d0ff16fca655/great-dane-AP-PFYPXJ-645sm12913.jpg
000020.jpg,https://images-na.ssl-images-amazon.com/images/I/81QrM8SIDaL._SL1500_.jpg
000021.jpg,http://rmgreatdane.org/wp-content/uploads/2014/11/gatsby-big.jpg
000022.jpg,https://www.dogspot.in/new/breed_engine/images/dog_images/great-dan.jpg
000023.jpg,https://vetstreet-brightspot.s3.amazonaws.com/46/2d1f90a0d711e0a2380050568d634f/file/Great-Danes-3-645mk062111.jpg
000024.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/01/great-dane-dog.jpg
000025.jpg,http://rmgreatdane.org/wp-content/uploads/2014/11/Tiny-8-web.jpg
000026.jpg,https://www.petful.com/wp-content/uploads/2012/01/great-dane-1-750x398.jpg
000027.jpg,https://www.selectadogbreed.com/media/1046/greatdane_adult.jpg
000028.jpg,https://images-na.ssl-images-amazon.com/images/I/419LBvDH0lL._AC_SY400_.jpg
000029.jpg,http://leevindanegreatdanes.com/wp-content/uploads/2014/07/Michelle-Aramis.jpg
000030.jpg,https://primpet.com/wp-content/uploads/2018/10/great-dane-2.jpg
000031.jpg,https://i.ytimg.com/vi/Qt1wSk3lZI4/hqdefault.jpg
000032.jpg,https://i0.wp.com/puppytoob.com/wp-content/uploads/2017/04/Great-Dane-Puppies.jpg?resize=750%2C437
000033.jpg,https://statesymbolsusa.org/sites/statesymbolsusa.org/files/primary-images/HarlequinGreatDane02.jpg
000034.jpg,https://kutv.com/resources/media/c49aa392-245b-4abc-862b-dbd32d232ae3-large16x9_LuketheGreatDane.PNG?1543956310844
000035.jpg,https://epi.azureedge.net/website-images/images/default-album/great-dane.png?sfvrsn=948fd37b_2
000036.jpg,https://images.squarespace-cdn.com/content/v1/50fc836ce4b0fa3b9222af8b/1556054994527-KNB12RY4OFR3WZL2X044/ke17ZwdGBToddI8pDm48kPmLlvCIXgndBxNq9fzeZb1Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIFMLRh9LbupWL4Bv1SDYZc4lRApws2Snwk0j_RSxbNHMKMshLAGzx4R3EDFOm1kBS/daisy2.jpg
000037.jpg,https://www.perfectdogbreeds.com/wp-content/uploads/2019/03/Cost-of-a-Great-Dane.jpg
000038.jpg,https://www.therapet.org/wp-content/uploads/2017/05/great-dane.jpg
000039.jpg,https://static.boredpanda.com/blog/wp-content/uploads/2018/11/funny-great-danes-fb74-png__700.jpg
000040.jpg,https://www.pets4homes.co.uk/images/breeds/61/large/11c4c39a1e1be7a5a522ae5b0c8ea0ce.jpg
000041.jpg,https://23435.smushcdn.com/1365652/wp-content/uploads/2018/11/the-perks-of-having-a-great-dane.jpg?size=768x0&lossy=1&strip=1&webp=1
000042.jpg,https://goodpuppyfood.com/wp-content/uploads/2018/06/Great-Dane-puppy-1024x1024.jpg
000043.jpg,https://www.pets4homes.co.uk/images/breeds/61/large/1eb8733a704f4001e227e26e3d070b33.jpg
000044.jpg,https://e3.365dm.com/18/12/768x432/skynews-starved-dog-luke-great-dane_4509384.jpg?20181205110505
000045.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555428503/shape/mentalfloss/istock_000067938283_small_1.jpg
000046.jpg,https://img.huffingtonpost.com/asset/5c75241c260000de03fde140.jpeg?ops=1910_1000
000047.jpg,https://www.pet365.co.uk/blog/wp-content/uploads/Great-Dane_58127023.jpg
000048.jpg,https://02f0a56ef46d93f03c90-22ac5f107621879d5667e0d7ed595bdb.ssl.cf2.rackcdn.com/sites/13330/photos/614405/2.2_960x960.jpg
000049.jpg,https://images.wagwalkingweb.com/media/breed/great-dane/appearance/great-dane.png
000050.jpg,https://media1.giphy.com/media/5dY8EnCiVqFsBSHSQx/giphy.gif
