image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/greater-swiss-mountain-dog-detail.jpg?bust=1535565888&width=355
000002.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/greater-swiss-mountain-dogs-and-puppies/greater-swiss-mountain-dogs-puppies-1.jpg
000003.jpg,https://www.pets4homes.co.uk/images/breeds/385/large/7dcd93f946b9b5d466de4536427cb245.jpg
000004.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/greater-swiss-mountain-dog-card-small.jpg?bust=1535568622
000005.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-EFGH/greaterswissmountaindogsf3.jpg
000006.jpg,https://vetstreet.brightspotcdn.com/dims4/default/80f9551/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fda%2Fefce90a75611e0a0d50050568d634f%2Ffile%2FGreater-Swiss-Mtn-3-645mk062411.jpg
000007.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22928_greater-swiss-mountain-dog-460x290.jpg
000008.jpg,https://vetstreet-brightspot.s3.amazonaws.com/bb/be1ea0a75611e0a0d50050568d634f/file/Greater-Swiss-Mtn-2-645mk062411.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232513/Greater-Swiss-Mountain-Dog-Care.jpg
000010.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232456/Greater-Swiss-Mountain-Dog-On-White-01.jpg
000011.jpg,https://www.rover.com/blog/wp-content/uploads/2018/06/pjimage-960x540.jpg
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Greater_Swiss_Mountain_Dog_2018.jpg
000013.jpg,https://www.petmd.com/sites/default/files/breedopedia/Copeley's%20Columbian%20Prince.jpg
000014.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/greater-swiss-mountain-dog_02_lg.jpg
