image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Greenland_Dog.jpg/220px-Greenland_Dog.jpg
000002.jpg,https://www.petguide.com/wp-content/uploads/2016/09/greenland-dog.jpg
000003.jpg,https://www.pets4homes.co.uk/images/breeds/235/large/ad4f753866c23aa6542890f19929284b.jpg
000004.jpg,http://www.dogzone.com/images/breeds/greenland-dog.jpg
000005.jpg,https://www.dogbreedinfo.com/images15/GreenlanddogSLEDOGGreenlandUK1.JPG
000006.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Greenland-Dog-1.jpg
000007.jpg,https://animalsbreeds.com/wp-content/uploads/2018/05/Greenland-Dog.jpg
000008.jpg,https://thebark.com/sites/default/files/styles/full/public/content/article/full/greenlandsleddogsmarkustrienke.jpg?itok=Zl1jb5cR
000009.jpg,https://www.northernwolf.co.uk/wp-content/uploads/greenland-dog-800x445.jpg
000010.jpg,https://www.pets4homes.co.uk/images/articles/2438/large/more-information-on-the-greenland-dog-54a5b25bc9527.jpg
000011.jpg,https://www.dogbreedinfo.com/images8/GREENLAND4.jpg
000012.jpg,https://science.sciencemag.org/content/sci/360/6393/1080.1/F1.large.jpg
000013.jpg,https://www.skk.se/globalassets/nku/filer/images/nordic-breeds/gronlandshund.jpg
000014.jpg,https://banner2.kisspng.com/20180526/uz/kisspng-dog-breed-siberian-husky-greenland-dog-alaskan-mal-dogs-running-5b08f8e5040b56.0785856415273146610166.jpg
000015.jpg,https://nimages.champdogs.net/breeds/greenland-dog.jpg
000016.jpg,https://www.pets4homes.co.uk/images/breeds/235/large/f8d8d9b4e5bff0c8da2c5b5a6226ba3c.jpg
000017.jpg,https://www.k9rl.com/wp-content/uploads/2016/07/Greenland-dogs.jpg
000018.jpg,https://www.mypets.net.au/wp-content/uploads/2019/05/Greenland-Dog1.jpg
000019.jpg,https://www.expeditiongreenland.com/wp-content/uploads/2017/07/East-Greenland-Dog-Sledding-43-1132x637.jpg
000020.jpg,http://www.molosserdogs.com/gallery/albums/userpics/10609/grendl.jpg
000021.jpg,https://www.expeditiongreenland.com/wp-content/uploads/2015/07/Greenland-Dog-Sledding.jpg
000022.jpg,https://i.pinimg.com/originals/39/a2/35/39a23592182c5b6b869d5ff8d545fc04.jpg
000023.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/09/GREENLAND-DOG-51.jpg
000024.jpg,https://barkpost.com/wp-content/uploads/2016/04/Chained-dog.jpg
000025.jpg,http://pets-place.net/Breeds/G/GreenlandDogImage1.jpg
000026.jpg,http://primitivedogs.com/wp-content/uploads/2015/11/Greenland-Dog.jpg
000027.jpg,https://www.pets4homes.co.uk/images/breeds/235/large/e3094caf20751c77fbbc5e629707fa8b.jpg
000028.jpg,https://www.heyhusky.com/files/heyHuskyUserData/huskytour-groenland-greenland/Greenland-Dog-Sledding-3.jpg
000029.jpg,https://guidetogreenland.imgix.net/205150/x/0/7-fun-facts-about-sled-dogs-in-greenland-7?auto=compress%2Cformat&ch=Width%2CDPR&dpr=1&h=630&ixlib=php-2.3.0&w=1200&s=9911adb00aec591baefd7f7d7fc0f641
000030.jpg,https://www.heyhusky.com/files/heyHuskyUserData/huskytour-groenland-greenland/Hundeschlittentouren-Groenland-14.jpg
000031.jpg,https://www.dogbreedplus.com/dog_breeds/images/greenland_dog_3.jpg
000032.jpg,https://i.pinimg.com/originals/f0/3e/16/f03e163d22e7bada859d964a56cb57bb.png
000033.jpg,https://myanimals.com/wp-content/uploads/2018/08/siberian-husky-1.jpg
000034.jpg,https://www.k9rl.com/wp-content/uploads/2016/07/Greenland-dog-puppies.jpg
000035.jpg,https://assets3.thrillist.com/v1/image/2513326/size/tmg-article_tall;jpeg_quality=20.jpg
000036.jpg,https://visitgreenland.com/wp-content/uploads/dogs-speeding-over-the-sea-ice-near-oqaatsut-in-north-greenland.jpg
000037.jpg,https://i.ytimg.com/vi/E8tzetNhCOM/maxresdefault.jpg
000038.jpg,http://www.travelswithgannonandwyatt.com/wp-content/uploads/2014/07/Kamik-Alpha-Male.jpg
000039.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/abb77c2a-1ae5-4624-b220-1da069ba667e/dcmu4zx-0b7952fd-f4c5-409d-91c6-f7790b1ea053.png/v1/fill/w_963,h_829,q_70,strp/year_of_the_dog___greenland_dog__gronlandshund__by_kelgrid_dcmu4zx-pre.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9ODYxIiwicGF0aCI6IlwvZlwvYWJiNzdjMmEtMWFlNS00NjI0LWIyMjAtMWRhMDY5YmE2NjdlXC9kY211NHp4LTBiNzk1MmZkLWY0YzUtNDA5ZC05MWM2LWY3NzkwYjFlYTA1My5wbmciLCJ3aWR0aCI6Ijw9MTAwMCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.W4c7FTnMJDpgujR6b9TTF0lJcLP4wjzkltHuvXJncLs
000040.jpg,https://www.sidetracked.com/wp-content/uploads/2015/05/dogsledding-01.jpg
000041.jpg,https://www.k9rl.com/wp-content/uploads/2016/07/Greenland-dog-breed-image.jpg
000042.jpg,https://i.pinimg.com/originals/0e/c8/8d/0ec88d07eb58cce702f129d5a086e0df.jpg
000043.jpg,https://www.dogbreedinfo.com/images14/greenlanddogDSC00557.JPG
000044.jpg,https://www.ukcdogs.com/images/breeds/greenland-dog.jpg
000045.jpg,http://dogbreeds.bulldoginformation.com/greenland-dog.jpg
000046.jpg,https://i.ytimg.com/vi/7qD4m23_dhc/hqdefault.jpg
000047.jpg,https://www.pets4homes.co.uk/images/breeds/235/large/cfbe22d0be3695c9ce8606137f1dc64a.jpg
000048.jpg,https://guidetogreenland.com/image/200688/x/0/dog-sledding-in-greenland-1
000049.jpg,https://images.huffingtonpost.com/2015-03-12-1426169705-6532852-Greenland336-thumb.JPG
000050.jpg,https://c8.alamy.com/comp/X24MG5/greenland-dog-canis-lupus-f-familiaris-standing-on-rock-greenland-ammassalik-east-greenland-tiniteqilaq-X24MG5.jpg
