image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/04031124_Griffon_Bleu_de_Gascogne.jpg
000002.jpg,https://i.pinimg.com/originals/b4/bb/7b/b4bb7b8a79894875d6def1a844b1f0a2.jpg
000003.jpg,https://www.dogzone.com/images/breeds/griffon-bleu-de-gascogne-puppy.jpg
000004.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2016/01/griffon-bleu-de-gascogne-cross.jpg
000005.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2015/05/Griffon-bleu-de-Gascogne.jpg
000006.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/12/63/40/28/700_FO12634028_c6fa6dabbe4adf62177703d3027fa85a.jpg,700,517,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,480,467,jpg)/wall-murals-le-griffon-bleu-de-gascogne-debout-de-profil-en-studio.jpg.jpg
000007.jpg,http://home.hccnet.nl/pl.de.haas/images/loulou5.jpg
000008.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Griffon-bleu-de-Gascogne-1.jpg
000009.jpg,https://i.ytimg.com/vi/YZWGz2C0DnY/hqdefault.jpg
000010.jpg,http://www.dogzone.com/images/breeds/griffon-bleu-de-gascogne.jpg
000011.jpg,http://www.dogwallpapers.net/wallpapers/resting-griffon-bleu-de-gascogne-dog-wallpaper.jpg
000012.jpg,https://i.pinimg.com/236x/3c/93/02/3c930221d148175d4469792f0f149ed7--griffon-bleu-amorini.jpg
000013.jpg,https://www.pets4homes.co.uk/images/breeds/177/large/938ad4418cd43fa90bfbacdb3f3bbfaa.jpg
000014.jpg,https://animalsbreeds.com/wp-content/uploads/2018/05/Griffon-Bleu-de-Gascogne.jpg
000015.jpg,https://c8.alamy.com/comp/PFG2E6/petit-griffon-bleu-de-gascogne-dog-side-view-looking-up-PFG2E6.jpg
000016.jpg,https://imgf.androidappsapk.co/poster/2/a/9/com.shake_se.live_wallpaper.griffon_bleu_de_gascogne_5.png
000017.jpg,http://www.animal-art.org/fileadmin/_migrated/pics/CCF14-1105.jpg
000018.jpg,http://griffonbleu.tangor.net/genealogie/site_griffonbleu/images/griffonbleu.jpg
000019.jpg,https://www.chiens-de-france.com/photo/chiens/2017_07/chiens-Griffon-bleu-de-Gascogne-97fdc7d8-af5e-afa4-19be-f7c6364c6ced_min.jpg
000020.jpg,https://images.wagwalkingweb.com/media/breed/griffon-bleu-de-gascogne/hero/Griffon-Bleu-de-Gascogne.jpg
000021.jpg,https://www.petguide.com/wp-content/uploads/2018/10/petit-bleu-de-gascogne-668x445.jpg
000022.jpg,https://c8.alamy.com/comp/XBR29H/griffon-bleu-de-gascogne-puppy-XBR29H.jpg
000023.jpg,http://jobgreben15.store/wp-content/uploads/2018/10/Carmen5.jpg
000024.jpg,http://www.agraria.org/cani/griffonbleudegascogne.JPG
000025.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/grand_bleu_de_gascogne/grand_bleu_de_gascogne_1.jpg
000026.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Griffon_Bleu_De_Gascogne.jpg
000027.jpg,https://i.ytimg.com/vi/17o52tqc4ZY/hqdefault.jpg
000028.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Griffon-bleu-de-Gascogne-2.jpg
000029.jpg,http://d2f0ora2gkri0g.cloudfront.net/bkpam2239944_a.jpg
000030.jpg,http://www.dutch-stafford.com/Site_P/Petit%20Griffon%20Bleu%20de%20Gascogne/Petit%20Griffon%20Bleu%20de%20Gascogne%20%208.jpg
000031.jpg,https://previews.agefotostock.com/previewimage/medibigoff/734a9ff0fae40a95f243972d9253bb89/tfa-ab-01764.jpg
