image,source
000001.jpg,http://d2f0ora2gkri0g.cloudfront.net/bkpam2239944_g_1.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Basset_Fauve_de_Bretagne_600.jpg
000003.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2016/01/11707640_924595640911788_8647794293384162677_n.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28184409/AdobeStock_23183632.jpg
000005.jpg,https://booksforever1blog.files.wordpress.com/2012/11/griffon-fauve-de-bretagne.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28184420/AdobeStock_23183639.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/08115500_Griffon_Fauve_Bretagne.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28184352/AdobeStock_23183546.jpg
000009.jpg,https://www.pets4homes.co.uk/images/breeds/165/large/e59f3e7847b818c7b77d83c3083fec3b.jpg
000010.jpg,https://www.omlet.co.uk/images/cache/1024/756/Dog-Griffon_Fauve_De_Bretagne-A_lovely_Griffon_Fauve_De_Bretagne_with_a_sandy_coat.jpg
000011.jpg,https://c8.alamy.com/comp/X1Y24D/fawn-brittany-griffon-or-griffon-fauve-de-bretagne-dog-adult-standing-on-grass-X1Y24D.jpg
000012.jpg,https://c8.alamy.com/comp/X8M2WB/fawn-brittany-griffon-or-griffon-fauve-de-bretagne-dog-male-standing-on-grass-X8M2WB.jpg
000013.jpg,https://vignette.wikia.nocookie.net/akc-dog-breeds/images/6/60/Basset-Fauve-de-Bretagne.jpg/revision/latest?cb=20171227211400
000014.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2015/05/griffon-fauve-de-bretagne.jpg
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/GriffonFauveDeBretagne6Monate.jpg/250px-GriffonFauveDeBretagne6Monate.jpg
000016.jpg,https://cdn.omlet.co.uk/images/cache/647/768/Dog-Basset_Fauve_De_Bretagne-A_young_Basset_Fauve_De_Bretagne_with_a_cute_scruffy_look.jpg
