image,source
000001.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2016/01/griffon-nivernais1.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/Griffon_nivernais.jpg
000003.jpg,https://live.staticflickr.com/8218/8415559299_834fa32d3c_b.jpg
000004.jpg,https://media.ooreka.fr/public/image/3-306039-2983-full-14475437.jpg
000005.jpg,https://media.ooreka.fr/public/image/3-306039-55517-full-14475431.jpg
000006.jpg,https://www.woopets.fr/assets/races/000/209/mobile/griffon-nivernais.jpg
000007.jpg,https://cdn-s-www.lejsl.com/images/DB4FD2BD-8B8E-4ECB-A732-67789F86ED28/JSL_v1_02/une-belle-meute-de-griffons-nivernais-photo-dr-1462194157.jpg
000008.jpg,https://images-na.ssl-images-amazon.com/images/I/61gYlznu45L._SX466_.jpg
000009.jpg,https://static.wamiz.fr/images/animaux/chiens/large/griffon-nivernais.jpg
000010.jpg,https://media.ooreka.fr/public/image/3-306039-55519-full-14475433.jpg
000011.jpg,https://38vtm736ybavjl8ghz51n2ed-wpengine.netdna-ssl.com/wp-content/uploads/2015/05/Griffon-Nivernais.jpg
000012.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2016/01/nivernais-1.jpg
000013.jpg,https://chien.ouest-atlantis.com/images/griffon-nivernais.jpg
000014.jpg,https://i.pinimg.com/236x/80/4b/96/804b96415e18280e400c0b45a93cc34b--griffon-nivernais-otterhound.jpg
000015.jpg,http://thegreendogshow.com/wp-content/uploads/2016/12/griffon-nivernais-1.jpg
000016.jpg,http://www.apagi.fr/media/filer_public/a4/8b/a48b78cd-7a97-4c64-b09b-9ebba40e54fc/dusty-chien-male-croise-griffon-nivernais-gris-et-sable-1.jpg
000017.jpg,https://images-na.ssl-images-amazon.com/images/I/61el66OgZiL._SX466_.jpg
000018.jpg,https://alchetron.com/cdn/griffon-nivernais-6f700a20-0868-4c77-bfb1-a7e8405d509-resize-750.jpg
000019.jpg,http://aducc.e-monsite.com/medias/images/griffon-nivernais.jpg
000020.jpg,https://www.dogbreedinfo.com/images11/Griffon%20Nivernais.JPG
000021.jpg,http://www.chiens-de-france.com/photo/eleveurs/74/14760/album/dff9326d-d3bc-61e4-49c6-8c7a5a36bd1b.jpg
000022.jpg,http://www.molosserdogs.com/gallery/albums/userpics/10001/GriffonNivernais.jpg
000023.jpg,http://www.dogwallpapers.net/wallpapers/griffon-nivernais-dog-face-photo.jpg
000024.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Griffon_Nivernais_or_Niverne_Griffon_2.JPG/220px-Griffon_Nivernais_or_Niverne_Griffon_2.JPG
000025.jpg,https://magazineduchiendechasse.fr/wp-content/uploads/2018/11/Griffon-Nivernais-864x576.jpg
000026.jpg,https://i.ebayimg.com/images/g/oXMAAOSwV-RXEmyY/s-l300.jpg
000027.jpg,https://www.dogalize.com/wp-content/uploads/2018/08/Griffon-Nivernais.jpg
000028.jpg,https://www.woopets.fr/assets/races/000/209/og-image/griffon-nivernais.jpg
000029.jpg,https://img.chien.com/img/races-de-chiens/336_big-griffon-nivernais.jpg
000030.jpg,https://previews.123rf.com/images/dneprstock/dneprstock1807/dneprstock180700268/105336066-griffon-nivernais-dog-digital-art-illustration-isolated-on-white-background-france-origin-medium-siz.jpg
000031.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Griffon-Nivernais-dog-photos-736x450.jpg
000032.jpg,https://c8.alamy.com/comp/X0THWJ/griffon-nivernais-dog-pack-of-adults-X0THWJ.jpg
000033.jpg,https://www.pets4homes.co.uk/images/classifieds/2018/07/25/2000842/large/kevin-griffon-nivernais-5b58241de0cea.jpg
000034.jpg,https://www.petguide.com/wp-content/uploads/2017/11/griffon-nivernais-1.jpg
000035.jpg,https://c8.alamy.com/comp/XD5G6C/griffon-nivernais-dog-pup-XD5G6C.jpg
000036.jpg,https://a4.pbase.com/o3/98/771198/1/146081872.bZDsXIpe.9744120915700.jpg
000037.jpg,https://wds2018.com/wp-content/uploads/2017/05/Griffon-nivernais.jpg
