image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Dogo1.jpg/220px-Dogo1.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Eggon_Lasal.jpg/220px-Eggon_Lasal.jpg
000003.jpg,https://i.pinimg.com/originals/77/cb/0c/77cb0cb646536ef9e532116a9a1a7416.jpg
000004.jpg,https://i.pinimg.com/originals/6e/ba/61/6eba619fe216ff32258f6c7042425b7b.jpg
000005.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/a/af/2_guatemalan_dogo.jpg/revision/latest?cb=20170924093741
000006.jpg,https://www.dogbreedinfo.com/images4/GuatemalanBullterriermvc-021s.jpg
000007.jpg,https://www.dogbreedinfo.com/images4/GuatemalanBullterriermvc-019s.jpg
000008.jpg,https://i.ytimg.com/vi/-GqjYOtA7R8/hqdefault.jpg
000009.jpg,https://i.pinimg.com/originals/39/fe/db/39fedb4c64dc023a60d8e1715fab3a82.jpg
000010.jpg,http://www.easypetmd.com/sites/default/files/imagecache/Portrait/Dogo%20Guatemalteco.jpg
000011.jpg,https://cdn.imgbin.com/11/20/17/imgbin-dogo-argentino-dog-breed-guatemalan-dogo-pit-bull-staffordshire-bull-terrier-others-gLHWHC7GBJvUWgarQNTCea03F.jpg
000012.jpg,https://www.mascotarios.org/wp-content/uploads/2011/08/DogoGuatemalteco.jpg
000013.jpg,https://www.animalssale.com/uploads/breed/breeds-2/guatemalandogo.jpg
000014.jpg,https://image.shutterstock.com/image-illustration/guatemalan-dogo-guatemalteco-dog-digital-450w-1144257317.jpg
000015.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Guatemalan-Dogo-images.jpg
000016.jpg,https://images-na.ssl-images-amazon.com/images/I/41pikL5in6L.jpg
000017.jpg,https://pbs.twimg.com/media/Bz7n9wbCMAAZ8Bp.jpg
000018.jpg,https://i.pinimg.com/originals/dd/72/de/dd72de70e13d85291a9f22dd7eaaadf4.jpg
000019.jpg,https://thumbnail.imgbin.com/16/8/6/imgbin-dogo-argentino-cordoba-fighting-dog-old-english-terrier-dog-breed-guatemalan-dogo-others-SzwV6G8p824EJwwtuP5qEnhqn_t.jpg
000020.jpg,https://icon2.kisspng.com/20180614/xie/kisspng-dogo-argentino-cordoba-fighting-dog-american-bulld-dogo-argentino-5b2244c77c88e6.4577648915289724875101.jpg
000021.jpg,http://www.dogwallpapers.net/wallpapers/dogo-guatemalteco-side-view-photo.jpg
000022.jpg,http://www.dogwallpapers.net/wallpapers/dogo-guatemalteco-photo.jpeg
000023.jpg,https://images-na.ssl-images-amazon.com/images/I/41ZOlJ1sL%2BL._SX331_BO1,204,203,200_.jpg
000024.jpg,https://st4.depositphotos.com/1033409/20119/v/450/depositphotos_201191440-stock-illustration-dogs-country-origin-latin-american.jpg
000025.jpg,https://images.wagwalkingweb.com/media/breed/dogo-guatemalteco/hero/Dogo-Guatemalteco.jpg
000026.jpg,https://aprende.guatemala.com/wp-content/uploads/2017/06/dogo-destacada-400x200.jpg
000027.jpg,https://cdn.imgbin.com/10/12/11/imgbin-dogo-argentino-cordoba-fighting-dog-american-bulldog-bully-kutta-dog-breed-dogo-argentino-j4kMwvBEp99Sz2kJ5MASPN6sj.jpg
000028.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/0Dogo-argentino-22122251920.jpg
000029.jpg,https://icon2.kisspng.com/20190209/bua/kisspng-dogo-argentino-dog-breed-american-pit-bull-terrier-5c5f5177603ea2.3991059215497506473942.jpg
000030.jpg,https://i.ytimg.com/vi/hs--cjZ9vAE/hqdefault.jpg
000031.jpg,https://cdn.tzy.li/tzy/previews/images/001/609/080/353/original/guatemalan-dogo-dog-owners-gift-idea.jpg?1551772610
000032.jpg,https://cdn.tzy.li/tzy/previews/images/001/609/080/404/original/guatemalan-dogo-dog-owners-gift-idea.jpg?1551772616
000033.jpg,https://www.europuppy.com/wp-content/uploads/x518-1024x640.jpg.pagespeed.ic.DUsg39Y20S.jpg
000034.jpg,https://i.imgur.com/GzxIxaU.jpg
000035.jpg,https://dd2d9j2i66w9u.cloudfront.net/wp-content/uploads/2018/07/20143649/ArgentineDogo.png
000036.jpg,https://i.ytimg.com/vi/APHrTIUfHP4/hqdefault.jpg
000037.jpg,https://i.ytimg.com/vi/TpSr5fv_J8w/maxresdefault.jpg
000038.jpg,https://t4.ftcdn.net/jpg/02/62/97/45/500_F_262974550_d3AJr6z1h9SgcnzQxaVdQ7TZqaxkWRS0.jpg
000039.jpg,https://cdn.tzy.li/tzy/previews/images/001/684/488/738/original/0-guatemalan-dogo-mom.jpg?1556005742
000040.jpg,https://aprende.guatemala.com/wp-content/uploads/2017/06/dogo2.jpg
000041.jpg,http://www.dogwallpapers.net/wallpapers/sleeping-dogo-guatemalteco-puppy-photo.jpg
000042.jpg,https://scontent-atl3-1.cdninstagram.com/vp/c393a3cf90a75e2359c24654c86c8f6f/5D7FBB2A/t51.2885-15/e35/43326420_722998464715250_7924699163060664926_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com
000043.jpg,https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX33394258.jpg
000044.jpg,https://images-na.ssl-images-amazon.com/images/I/61uzTx5h8hL._SX425_.jpg
000045.jpg,https://ke.jumia.is/T0f_IIEZJf6LNS3ZRZxetqobro8=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(100)/product/14/452331/1.jpg
000046.jpg,https://d1k5w7mbrh6vq5.cloudfront.net/images/cache/e0/4d/75/e04d75cf190625c4921ec7c579c2194c.jpg
000047.jpg,https://c7.uihere.com/files/592/892/851/american-pit-bull-terrier-cordoba-fighting-dog-american-bulldog-bully-kutta-old-english-terrier-race-thumb.jpg
000048.jpg,https://ke.jumia.is/0c4WyLBsbcQ0pehyX585aUKEaAQ=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(100)/product/53/873911/1.jpg
000049.jpg,https://images.puppyfinder.com/AdInfo/3/0/4/3044f8c00c2fba4f_o_1aom8v6q3ou10d0htndf01ndom.jpg
000050.jpg,https://st4.depositphotos.com/1033409/20119/v/450/depositphotos_201191568-stock-illustration-dogs-country-origin-latin-american.jpg
