image,source
000001.jpg,https://vetstreet.brightspotcdn.com/dims4/default/fc602e2/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fa9%2Fcaa7d0a0f411e087a80050568d634f%2Ffile%2FHavanese-2-645mk062111.jpg
000002.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23108_havanese-460x290.jpg
000003.jpg,https://epi.azureedge.net/website-images/images/default-album/havanese.png?sfvrsn=438ed37b_2
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232252/Havanese-On-White-01.jpg
000005.jpg,https://images.wagwalkingweb.com/media/breed/havanese/hero/havanese.jpg
000006.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/havanese-dog-breed-pictures/7-twosmiles.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232313/Havanese-Care.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19160330/Havanese-puppy.jpg
000009.jpg,https://vetstreet.brightspotcdn.com/dims4/default/b2b2d13/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F76%2F5a%2F47656d6547e29b48f42c4fdf3fd0%2FHavanese-AP-6EGICI-645lc050913.jpg
000010.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/07/havanese-MG-long.jpg
000011.jpg,https://www.pets4homes.co.uk/images/breeds/229/large/89d57da46fb2e1068e22b711f06fe712.jpg
000012.jpg,https://3d4igz27oxtl2iwox73y9smh-wpengine.netdna-ssl.com/wp-content/uploads/2018/07/Red-Parti-Havanese-Dog.jpg
000013.jpg,https://vetstreet.brightspotcdn.com/dims4/default/8d883b5/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F8c%2Fff7090a0f411e087a80050568d634f%2Ffile%2FHavanese-1-645mk062111.jpg
000014.jpg,https://www.dogster.com/wp-content/uploads/2017/10/Havenese-1.jpg
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/A_Havanese_judging.jpg
000016.jpg,https://i.pinimg.com/originals/84/1b/4b/841b4bb0bbf7e6d8686ded3b2b4ecbb5.jpg
000017.jpg,https://i0.wp.com/puppytoob.com/wp-content/uploads/2017/04/Havanese-Puppy.jpg?resize=750%2C390
000018.jpg,https://images.wagwalkingweb.com/media/breed/havanese/appearance/havanese.png
000019.jpg,https://i.pinimg.com/originals/20/27/cf/2027cfbd47ae66c1f25e2a253a8dde23.jpg
000020.jpg,https://www.rover.com/blog/wp-content/uploads/2019/04/havanese-2780122_1920-960x540.jpg
000021.jpg,https://i.ytimg.com/vi/1878Rk2JhYU/maxresdefault.jpg
