image,source
000001.jpg,https://i.pinimg.com/originals/33/0a/22/330a2267611002a93b3b228374fb117c.jpg
000002.jpg,https://i.ytimg.com/vi/3SHN88MV1Rs/hqdefault.jpg
000003.jpg,http://www.easypetmd.com/sites/default/files/Hawaiian%20Poi%20Dog.jpg
000004.jpg,http://www.easypetmd.com/sites/default/files/Hawaiian%20Poi%20Dog%20(1)_0.JPG
000005.jpg,https://images-na.ssl-images-amazon.com/images/I/51NYEMWxBRL._SX466_.jpg
000006.jpg,https://e948d162688acca40518-a396d4a5df1d9ea30fad218c1268f7cf.ssl.cf1.rackcdn.com/wp-content/uploads/2015/10/Poi-Dog.jpg
000007.jpg,https://live.staticflickr.com/185/369442763_b07e643648_b.jpg
000008.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/d/d1/1357670539-Brown-Hawaiian-Poi-Dog-.jpg/revision/latest?cb=20170909134929
000009.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555924278/shape/mentalfloss/kuriaz_680_5.jpg
000010.jpg,https://www.dogbreedinfo.com/images28/HawaiianPoiDogIlioFatDogExtinct2SideView.jpg
000011.jpg,https://www.dogbreedinfo.com/images28/HawaiianPoiDogIlioFatDogExtinct2.jpg
000012.jpg,http://www.dogwallpapers.net/wallpapers/hawaiian-poi-dog-wallpaper.jpg
000013.jpg,https://i.ytimg.com/vi/B4q0gU-TuJg/hqdefault.jpg
000014.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Hawaiian_petroglyph_of_a_dog_%288603570773%29.jpg
000015.jpg,http://www.dogbreedstandards.com/wp-content/uploads/2013/04/Hawaiian-Poi-dog.jpg
000016.jpg,https://retrieverman.files.wordpress.com/2009/10/poi-dog.jpg?w=500&h=323
000017.jpg,https://www.dogbreedinfo.com/images28/HawaiianPoiDogIlioFatDogExtinctGirlHut.jpg
000018.jpg,http://www.embromix.com/images/uploads/e1553.jpg
000019.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/d84e57cc-23f9-4f21-a1d6-6cbcb5efb1b0/d99lmi1-ca16bd83-f063-4605-b8d1-1e27f68feb41.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcL2Q4NGU1N2NjLTIzZjktNGYyMS1hMWQ2LTZjYmNiNWVmYjFiMFwvZDk5bG1pMS1jYTE2YmQ4My1mMDYzLTQ2MDUtYjhkMS0xZTI3ZjY4ZmViNDEuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.L1W9PcmkmDzKQ0_SkpiV8RpxWP4e2p0BVpFfr_94TG8
