image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Helos_11.jpg
000002.jpg,https://i.ytimg.com/vi/ue0yZ6Uf5Ak/hqdefault.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12192751/Hovawart-Care.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02174018/Hovawart.10.jpg
000005.jpg,https://www.petguide.com/wp-content/uploads/2014/05/hovawart.jpg
000006.jpg,https://www.purina-arabia.com/sites/default/files/hovawart_400x378.jpg
000007.jpg,https://i.pinimg.com/originals/9b/d0/eb/9bd0eb00c13568ffb6e82362a8c534d5.jpg
000008.jpg,https://wds2018.com/wp-content/uploads/2017/05/Hovawart-staand-zwartblond.jpg
000009.jpg,https://i1.wp.com/puppytoob.com/wp-content/uploads/2018/09/Hovawart.jpg?resize=750%2C400
000010.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/768/content/uploads/2018/01/fotolia_112237107.jpg
000011.jpg,https://www.pets4homes.co.uk/images/breeds/178/large/130d22c43e44bf8d31e2b3dd9e663f34.jpg
000012.jpg,https://dogsaholic.com/wp-content/uploads/2018/05/black-Hovawart-standing-on-road-810x483.jpg
000013.jpg,https://www.dogbreedinfo.com/images27/HovawartPurebredDogBlackTanLucy8Months1.jpg
000014.jpg,https://images.ctfassets.net/w00x6p5qkejz/4NB0IBBt68MkiQiIEs6IC0/b241e6d17d232056b9c3b987400d2a50/Hovawart1.png
000015.jpg,https://animalsbreeds.com/wp-content/uploads/2018/05/Hovawart.jpg
000016.jpg,https://cdn.omlet.co.uk/images/cache/932/768/Dog-Hovawart-A_Hovawart_standing_tall_showing_off_it's_wonderful_giant_paws.jpg
000017.jpg,https://cdn.pixabay.com/photo/2017/08/08/13/53/hovawart-2611448_960_720.jpg
000018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Black_and_Blond_Hovawart.jpg/220px-Black_and_Blond_Hovawart.jpg
000019.jpg,https://cdn.omlet.co.uk/images/cache/960/768/Dog-Hovawart-A_healthy_adult_golden_Hovawart_with_a_beautiful_thick_coat.jpg
000020.jpg,https://www.europuppy.com/wp-content/uploads/shutterstock_3311107581.jpg
000021.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Hovawart-Dog.jpg
000022.jpg,https://www.pets4homes.co.uk/images/articles/5017/large/osteochondrosis-in-the-hovawart-dog-breed-5bbb2d7c8c0f9.jpg
000023.jpg,http://static.pedigreedatabase.com/dogbreeds/hovawart.jpg
000024.jpg,http://www.dogspotters.com/dog-breed-photos/hovawart.jpg
000025.jpg,https://st3.depositphotos.com/11531248/18304/i/1600/depositphotos_183044284-stock-photo-portrait-of-hovawart-dog.jpg
000026.jpg,https://static2.viovet.co.uk/petphotos/80061_c6bbd824baeb0cd118d6ad7a40dd9baf.jpg
000027.jpg,https://i0.wp.com/www.allaboutdogs.net/wp-content/uploads/2015/12/Hovawart-1.jpg?resize=740%2C414&ssl=1
000028.jpg,https://www.dogbreedinfo.com/images29/HovawartPurebredDogBlackTanLucy3YearsOld.jpg
000029.jpg,https://dogsaholic.com/wp-content/uploads/2018/05/Hovawart-tanding-in-the-field-680x453.jpg
000030.jpg,https://www.k9rl.com/wp-content/uploads/2016/07/Blond-Hovawart.jpg
000031.jpg,http://www.hovawart-exhortoalbo.com/images/onas/3.jpg
000032.jpg,http://www.noahsdogs.com/m/photos/get_image/file/53440ef5033aa692ace1642d5aa53807.jpg
000033.jpg,https://doggiedesigner.com/wp-content/uploads/2018/05/99.2.jpg
000034.jpg,https://4.bp.blogspot.com/-AzEI6hHzEu0/T2XqN92KPsI/AAAAAAAAAYY/IHAHFQs7N0M/s640/FINYA+PALACOWE+PIEKNOSCI.jpg
000035.jpg,https://img.dog-learn.com/dog-breeds/hovawart/hovawart-i4-sz5.jpg
000036.jpg,https://dogs.pedigreeonline.com/images/breeds/dogs/hovawart.jpg
000037.jpg,http://www.dogshub.in/wp-content/uploads/2018/08/Hovawart-dog-india.jpg
000038.jpg,https://i.ytimg.com/vi/g-DNs681Iqc/hqdefault.jpg
000039.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12192748/Hovawart-History-02-500x500.jpg
000040.jpg,https://www.dierenhofdebrabandere.be/fotos/rassen-groot/99/76c8929fe8bfd6d75d4506e23498e516.jpg?Hovawart
000041.jpg,https://st3.depositphotos.com/11531248/18304/i/1600/depositphotos_183043984-stock-photo-portrait-of-hovawart-dog.jpg
000042.jpg,https://c8.alamy.com/comp/HMX6P7/hovawart-dog-HMX6P7.jpg
000043.jpg,http://doglover.in/wp-content/uploads/2018/06/hovawart-wesen-charakter.jpg
000044.jpg,http://www.angusbretonniere.com/wp-content/uploads/2017/03/IMG_5518.jpg
000045.jpg,https://images.wagwalkingweb.com/media/breed/hovawart/hero/Hovawart1.jpg
000046.jpg,http://www.hovawart-exhortoalbo.com/images/onas/21.jpg
000047.jpg,http://hovihugzhovawarts.com/photos/Donna_Zeus_Image.jpg
000048.jpg,http://hovawart-pl.com/vegas.jpg
000049.jpg,https://www.discoverdogs.org.uk/media/7478/tkc_40553.jpg
000050.jpg,https://www.dogzone.com/images/breeds/hovawart-puppy.jpg
