image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/4.5_years_old_indian_spitz.jpg/220px-4.5_years_old_indian_spitz.jpg
000002.jpg,https://leopetra-images.s3.ap-south-1.amazonaws.com/4eca24ba-d918-4927-add3-6ad424bd2add.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Indian_spitz1.jpg/640px-Indian_spitz1.jpg
000004.jpg,https://i.ytimg.com/vi/lgDI_sqBpsM/maxresdefault.jpg
000005.jpg,http://www.petsworld.in/blog/wp-content/uploads/2014/08/Indian-Spitz.jpg
000006.jpg,https://www.dogspot.in/puppies/images/330x400_1418115703078.jpg
000007.jpg,https://i.ytimg.com/vi/QDrNPDEOfnQ/maxresdefault.jpg
000008.jpg,https://i.pinimg.com/originals/77/20/00/7720001658cfa14f670a7fa110118698.jpg
000009.jpg,http://nattumadu.in/wp-content/uploads/2018/02/The-mascot-of-the-2002-Indian-National-Games-was-Veera-an-Ongole-Bull.-7.png
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Indian_spitz_adult.JPG
000011.jpg,https://i.ytimg.com/vi/4Df6qh8xojc/hqdefault.jpg
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Indian_spitz-outdoor.jpg/220px-Indian_spitz-outdoor.jpg
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Indian_spitz_puppy.jpg/512px-Indian_spitz_puppy.jpg
000014.jpg,https://i.pinimg.com/originals/90/26/ff/9026ff594bed9f2090127d5ac8776e84.jpg
000015.jpg,https://www.wikilistia.com/wp-content/uploads/2018/12/Indian-Spitz.jpg
000016.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/f/f5/Indian_spitz.jpg/revision/latest?cb=20170909140813
000017.jpg,https://i.ytimg.com/vi/3n3DeBeanpA/maxresdefault.jpg
000018.jpg,https://www.dogspot.in/puppies/images/1410951958946.jpg
000019.jpg,http://www.petpaw.com.au/wp-content/uploads/2015/05/Indian-Spitz-Dog-300x300.jpg
000020.jpg,http://www.dogwallpapers.net/wallpapers/funny-indian-spitz-dog-wallpaper.jpg
000021.jpg,https://thumbs.dreamstime.com/z/coco-indian-spitz-relaxing-floor-extremely-bright-active-dog-breed-adaptable-to-living-small-apartment-119319633.jpg
000022.jpg,https://www.petguide.com/wp-content/uploads/2017/10/dog-breeds-in-india-indian-spitz.jpeg
000023.jpg,https://alchetron.com/cdn/indian-spitz-e4002cfd-9497-4af3-a166-dea094b2c56-resize-750.jpeg
000024.jpg,https://i.pinimg.com/originals/33/1e/22/331e22d31f938e78c43a6692e80eaa83.jpg
000025.jpg,https://i.ytimg.com/vi/EZEie5w_Bus/hqdefault.jpg
000026.jpg,https://chennailostandfoundpets.files.wordpress.com/2011/09/bruno.jpg
000027.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/An_Indian_Spitz_breed_%28female%29.jpg
000028.jpg,http://www.tailslife.com/blog/wp-content/uploads/2018/05/Indian-Spitz.png
000029.jpg,https://www.dogbreedinfo.com/images31/IndianSpitzChikoo7MonthsOldIndia3.jpg
000030.jpg,http://dogs99.com/uploads/dog-shows/232/thumbs/Batala-Dog-Show-2018-0232-0192-thumb.JPG
000031.jpg,https://chennailostandfoundpets.files.wordpress.com/2011/10/tuffy.jpg
000032.jpg,https://images.wagwalkingweb.com/media/daily_wag/name_guides/%7Bslug%7D/hero/1540860936.12/indian-spitz-dog-names.jpg
000033.jpg,http://images.indialisted.com/nlarge/white_indian_spitz_puppy_5983539.jpg
000034.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Indian_spitz1.jpg
000035.jpg,https://images-na.ssl-images-amazon.com/images/I/51cc84hBwRL._SX331_BO1,204,203,200_.jpg
000036.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Indian-Spitz-dog-puppies3.jpg
000037.jpg,https://i.ytimg.com/vi/hIuQmIBLA4o/hqdefault.jpg
000038.jpg,https://images-na.ssl-images-amazon.com/images/I/51lIV2MV8ZL._SX425_.jpg
000039.jpg,https://4.imimg.com/data4/DM/SD/ANDROID-36620140/product-500x500.jpeg
000040.jpg,https://dogsofsf.com/wp-content/uploads/2012/06/CIMG3829-600x614.jpg
000041.jpg,https://theultimatedogresources.com/wp-content/uploads/2018/07/indian-spitz-dog-facts-hindi-indian-dog-breeds-hinglish-facts-1024x576.jpg
000042.jpg,https://www.dogspot.in/puppies/images/Cookie_1.jpg
000043.jpg,http://www.spicyadz.in/oc-content/uploads/02082017/69891.jpg
000044.jpg,http://www.dogspot.in/puppies/images/1324203968.jpg
000045.jpg,https://theultimatedogresources.com/wp-content/uploads/2018/08/indian-spitz-vs-pomeranian-dog-vs-dog-tuc-the-ultimate-channel-1024x576-1400x700.jpg
000046.jpg,http://www.dogbreedstandards.com/wp-content/uploads/2013/04/Indian-Spitz.jpg
000047.jpg,https://s3.ap-southeast-1.amazonaws.com/images.asianage.com/images/aa-Cover-r7s8taq5hp0fm1upu432k0g040-20170802130623.jpeg
000048.jpg,https://chennailostandfoundpets.files.wordpress.com/2011/07/2.jpg
000049.jpg,https://teja8.kuikr.com/i4/20190526/Pomerian-Indian-spitz--pups-VB201705171774173-ak_LWBP1197816312-1558842523.jpeg
000050.jpg,https://66.media.tumblr.com/894a24e83d23bde32d6121df2641a42c/tumblr_osey4bZTGs1voe2ymo9_250.jpg
