image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/Irish_Red_And_White_Setter_2005.jpg
000002.jpg,http://cdn.akc.org/content/article-body-image/irish_red_and_white_setter_body_image_3.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213903/Irish-Red-And-White-Setter-On-White-02.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213854/Irish-Red-And-White-Setter-Care.jpg
000005.jpg,https://vetstreet-brightspot.s3.amazonaws.com/c9/fbf1d0a38311e087a80050568d634f/file/irish-red-and-white-setters-1-645mk062411.jpg
000006.jpg,https://www.petguide.com/wp-content/uploads/2013/02/irish-red-and-white-setter.jpg
000007.jpg,http://breedfinder.ikc.ie/Content/images/breeds/51_setter_irish_red_and_white.jpg
000008.jpg,https://vetstreet.brightspotcdn.com/dims4/default/ac3ad08/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F16%2F8c9f40a38411e087a80050568d634f%2Ffile%2Firish-red-and-white-setters-4-645mk062411.jpg
000009.jpg,http://cdn.akc.org/content/article-body-image/irish_red_and_white_setter_body_image_1.jpg
000010.jpg,https://vetstreet-brightspot.s3.amazonaws.com/06/b2da30a38411e087a80050568d634f/file/irish-red-and-white-setters-3-645mk062411.jpg
000011.jpg,https://res.cloudinary.com/fwkc-production/image/upload/c_fit,dpr_3.0,f_auto,g_center,h_430,q_auto,w_768/v1/fwkc/import/745
000012.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-irish-red-and-white-setter136908210.jpg?itok=pX8wDX1N
000013.jpg,https://dogsmonthly.co.uk/wp-content/uploads/2017/05/Irish-Red-White.jpg
000014.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23254_irish-red-and-white-setter-460x290.jpg
000015.jpg,https://www.dogbreedinfo.com/images/IrishRedWhiteSetterHondenHuug1.jpg
000016.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Irish-Setter-Red-and-White.jpg
000017.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Irish-Red-and-White-Setter-Images.jpg
000018.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232119/Irish-Red-and-White-Setter-MP.jpg
000019.jpg,https://www.dogsnsw.org.au/media/img/BrowseAllBreed/Irish-Red-White-Setter.jpg
000020.jpg,https://researchbreeder.com/images/Breed%20Pictures/I/irish-red-and-white-setter.jpg
000021.jpg,https://nimages.champdogs.net/breeds/irish-red-and-white-setter.jpg
000022.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232126/Irish-Red-and-White-Setter-History-03.jpg
000023.jpg,https://vignette.wikia.nocookie.net/akc-dog-breeds/images/b/b9/Irish_Red_and_White_Setter.jpg/revision/latest?cb=20180117111549
000024.jpg,http://www.easypetmd.com/sites/default/files/Irish%20Red%20and%20White%20Setter%20(1).jpg
000025.jpg,https://vetstreet.brightspotcdn.com/dims4/default/e7da5fe/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Feb%2F651b30a38311e087a80050568d634f%2Ffile%2Firish-red-and-white-setters-2-645mk062411.jpg
000026.jpg,https://www.petguide.com/wp-content/uploads/2013/02/irish-red-and-white-setter-1-300x200.jpg
000027.jpg,https://www.k9rl.com/wp-content/uploads/2016/01/Irish-Red-and-White-Setter.jpg
000028.jpg,https://www.dogbreedplus.com/dog_breeds/images/irish-red-and-white-setter.jpg
000029.jpg,https://i.pinimg.com/originals/2c/e4/45/2ce445561011b33fffd1d73db37f112b.jpg
000030.jpg,http://www.ucadogs.com/images/irish_red_white_setter.jpg
000031.jpg,http://ultimateupland.com/wp-content/uploads/2016/02/irishrwHAZEN.jpg
000032.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Irish-Red-and-White-Setter-2.jpg
000033.jpg,https://ichef.bbci.co.uk/news/624/cpsprodpb/D757/production/_91272155_setter.jpg
000034.jpg,https://www.k9rl.com/wp-content/uploads/2016/01/Red-Setter-Irish-Red-White-Setter.jpg
000035.jpg,http://www.ohmidog.com/wp-content/uploads/2010/02/lg_irish_red_white_setter8.jpg
000036.jpg,https://i.pinimg.com/originals/c1/7f/e9/c17fe954d8bcb2b756c3e790019fce80.jpg
000037.jpg,http://www.moonstonesetters.com/GuinnessAust.jpg
000038.jpg,https://c8.alamy.com/comp/KJNCWX/setter-irish-red-white-irish-setter-irish-red-white-setter-KJNCWX.jpg
000039.jpg,https://canadiandogs.com/wp-content/uploads/Setter-Irish-Red-and-White.jpg
000040.jpg,https://retrieverman.files.wordpress.com/2011/10/irish-red-and-white-setter-hare.jpg
000041.jpg,http://www.irishdogs.ie/images/gallery/100/1795_album.jpg
000042.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/irish-red-white-setter-dog-breed-pictures/forward-6.jpg
000043.jpg,http://www.maltbylakeskennel.com/images/sm10x10-2.jpg
000044.jpg,https://animals.net/wp-content/uploads/2018/10/IRW-Setter-4-650x425.jpg
000045.jpg,https://www.irishredwhitesetterassociation.com/index_htm_files/307.jpg
000046.jpg,https://i.pinimg.com/564x/58/f1/be/58f1be888773177a87724b0be9827396.jpg
000047.jpg,https://i.ytimg.com/vi/8gNRfTG1VIM/hqdefault.jpg
000048.jpg,http://www.tintookie.com/images/bennie.jpg
000049.jpg,https://www.dogs-and-dog-advice.com/image-files/red_and_white_irish_setter.jpg
000050.jpg,https://dooziedog.com/dog_breeds/irish_red_white_setter/main.jpg
