image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22984_irish-setter-460x290.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/Irish-setter-01.jpg?bust=1539030907&width=355
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Can_Setter_dog_GFDL.jpg
000004.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/08/Irish-Setter-The-Beautiful-Breed-With-The-Fabulous-Speed-HP-long.jpg
000005.jpg,https://vetstreet.brightspotcdn.com/dims4/default/7f01c1b/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F63%2F282c60a75911e0a0d50050568d634f%2Ffile%2FIrish-Setter-2-645mk062411.jpg
000006.jpg,https://images-na.ssl-images-amazon.com/images/I/51-KgHDdfbL.jpg
000007.jpg,https://vetstreet.brightspotcdn.com/dims4/default/62f4484/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F71%2F4637b0a75911e0a0d50050568d634f%2Ffile%2FIrish-Setter-3-645mk062411.jpg
000008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Irish_setter_head.jpg/220px-Irish_setter_head.jpg
000009.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Irish-Setter_Mobile.jpg?h=300&la=en&w=375&hash=A27A3EED715045EC5DECB448EB8D6D84
000010.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02114357/Irish-Setter-care1.jpg
000011.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/07/irish-setter-e1533692384434.jpg
000012.jpg,https://www.petmd.com/sites/default/files/breedopedia/irish_setter.jpg
000013.jpg,https://images-na.ssl-images-amazon.com/images/I/814FmOa6g7L.jpg
000014.jpg,https://1djbcc27ketw16uuv6g8izdk-wpengine.netdna-ssl.com/wp-content/uploads/2017/09/Fotolia_126430364_S-768x432.jpg
000015.jpg,https://dogs.pedigreeonline.com/images/breeds/dogs/irish-setter.jpg
000016.jpg,https://www.keystonepuppies.com/wp-content/uploads/2018/10/Irish-Setter-Category.jpg
000017.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Irish-Setter-1.jpg
000018.jpg,https://previews.123rf.com/images/reddogs/reddogs1210/reddogs121000027/15967598-cute-irish-setter-puppy-licking-his-lips.jpg
000019.jpg,https://images-ra.adoptapet.com/seo/1/ff/67_ff.jpg
000020.jpg,https://www.animalfunfacts.net/images/stories/pets/dogs/irish_setter_dogs_l.jpg
000021.jpg,https://vetstreet-brightspot.s3.amazonaws.com/4d/e13e50a75911e0a0d50050568d634f/file/Irish-Setter-1-645mk062411.jpg
000022.jpg,https://www.selectadogbreed.com/media/1050/irishsetter_adult.jpg
000023.jpg,https://www.animalbehaviorcollege.com/blog/images/irish-setter-grooming.jpg
000024.jpg,https://4.bp.blogspot.com/-sHzTEdlc0jg/Vs8UUr9SEAI/AAAAAAAAESo/I4ZWRVqvCLo/s1600/Irish%2BSetter%2B1.jpg
000025.jpg,https://www.petbarn.com.au/petspot/app/uploads/2016/08/132.-Irish-Setter.jpg
000026.jpg,https://i04.hsncdn.com/is/image/HomeShoppingNetwork/prodfull/heidi-daus-irish-setter-crystal-pin-d-2018092615491217~636255.jpg
000027.jpg,https://dogsnet.com/wp-content/uploads/2019/04/irish-setter-lifespan-long.jpg
000028.jpg,https://previews.123rf.com/images/reddogs/reddogs1207/reddogs120700023/14304183-cute-irish-setter-puppy-yawning.jpg
000029.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/08/irish-setter-long.jpg
000030.jpg,https://animalsbreeds.com/wp-content/uploads/2018/05/Irish-Setter.jpg
000031.jpg,https://cdn.shopify.com/s/files/1/0250/2601/products/Irish-Setter-Marvelous-print_600x.jpg?v=1500389419
000032.jpg,https://www.calendars.com/img/p/orig/202000006192.jpg
000033.jpg,https://i.etsystatic.com/12903824/r/il/712ab8/1267737918/il_570xN.1267737918_6u34.jpg
000034.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Irishsetteronpoint.JPG/300px-Irishsetteronpoint.JPG
000035.jpg,https://www.pawsplaygrounds.com/wp-content/uploads/2016/10/irish-setter.jpg
000036.jpg,https://img.thrfun.com/img/083/069/irish_setter_x1.jpg
