image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23068_irish-terrier-460x290.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/IrishTerrierSydenhamHillWoods.jpg/220px-IrishTerrierSydenhamHillWoods.jpg
000003.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/irish-terrier-detail.jpg?bust=1535565949&width=355
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Terier_irlandzki_g%C5%82owa_pl.jpg/220px-Terier_irlandzki_g%C5%82owa_pl.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27172953/Irish-Terrier-puppy.jpg
000006.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Irish-Terrier-2.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213034/Irish-Terrier-on-white-01.jpg
000008.jpg,https://i.pinimg.com/originals/b8/41/5b/b8415b13c049206fca14e9f1f47e527b.jpg
000009.jpg,https://i.pinimg.com/736x/3d/8d/d5/3d8dd56d7f1393929d07abf81208c3d3.jpg
000010.jpg,https://www.pets4homes.co.uk/images/breeds/89/large/b7b8b19de737523a4c40dcff1ca7782b.jpg
000011.jpg,https://cdn.omlet.co.uk/images/cache/554/768/Dog-Irish_Terrier-Two_beautiful_Irish_Terriers_sitting_neatly,_waiting_for_a_command.jpg
000012.jpg,https://images-na.ssl-images-amazon.com/images/I/41aNcYBpHIL._SX331_BO1,204,203,200_.jpg
000013.jpg,https://cdn.britannica.com/s:300x300/34/148434-004-6EFDF698.jpg
000014.jpg,https://vetstreet-brightspot.s3.amazonaws.com/ea/df8540a75911e0a0d50050568d634f/file/Irish-Terrier-2-645mk062411.jpg
000015.jpg,https://vetstreet-brightspot.s3.amazonaws.com/cc/4d70b0a75911e0a0d50050568d634f/file/Irish-Terrier-1-645mk062411.jpg
000016.jpg,https://previews.123rf.com/images/isselee/isselee1810/isselee181001406/110985910-irish-terrier-puppy-12-weeks-old-standing-against-white-background.jpg
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Terier_irlandzki_portret_pl.jpg/220px-Terier_irlandzki_portret_pl.jpg
000018.jpg,https://www.dogsnsw.org.au/media/img/BrowseAllBreed/Irish-Terrier.jpg
000019.jpg,https://animals.net/wp-content/uploads/2018/09/Irish-Terrier-2-650x425.jpg
000020.jpg,http://img1.wsimg.com/isteam/ip/7c8f7c9c-495f-40b5-8c6f-e9581261315c/fb72abf8-f639-497d-a9ef-b210a7e5b14e.jpg
000021.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Irish-Terrier_Mobile.jpg?h=300&la=en&w=375&hash=FA9415FB874CFF393DF2E47519924D4D
000022.jpg,https://www.dogbreedplus.com/dog_breeds/images/irish_terrier.jpg
000023.jpg,https://c8.alamy.com/comp/X28DMY/domestic-dog-irish-terrier-puppy-standing-on-lawn-X28DMY.jpg
000024.jpg,https://images.ctfassets.net/w00x6p5qkejz/4zfJOKIxfq4uQus2MYwcKq/a2fa63022f7b06da090172ea01f5d99f/Irish_Terrier5.png
000025.jpg,https://www.dogbreedinfo.com/images/IrishTerrierwest1.jpg
000026.jpg,https://i.pinimg.com/originals/32/4d/99/324d992f22591ab583ec87e14b94aae2.jpg
000027.jpg,http://www.pethealthnetwork.com/sites/default/files/content/images/prev_irish-terrier139882207.jpg
