image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/irish-water-spaniel-dogs-and-puppies/irish-water-spaniel-1.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/irish-water-spaniel-detail.jpg?bust=1535565960&width=355
000003.jpg,https://www.pets4homes.co.uk/images/breeds/214/large/8edcc746af241c30f6cf1d838d0599fb.jpg
000004.jpg,https://vetstreet.brightspotcdn.com/dims4/default/346ab96/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F12%2Fa18cf0a38511e087a80050568d634f%2Ffile%2FIrish-Water-Spaniel-4-645mk062411.jpg
000005.jpg,https://i.pinimg.com/originals/a7/1d/32/a71d32b7fb087c6ff1b8abbd284e1f21.jpg
000006.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22986_irish-water-spaniel-460x290.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231921/Irish-Water-Spaniel-On-White-01.jpg
000008.jpg,http://www.petsworld.in/blog/wp-content/uploads/2014/11/Irish_Water_Spaniel.jpg
000009.jpg,https://www.petguide.com/wp-content/uploads/2013/04/irish-water-spaniel.jpg
000010.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Irish-Water-Spaniel-1.jpg
000011.jpg,https://images.ctfassets.net/w00x6p5qkejz/42GTEL3IEE2OwWmUuiOoQa/4008cd03ff8d7b2fc0a27f59ba569e6a/Irish_Water_Spaniel1.png
000012.jpg,https://www.petmd.com/sites/default/files/breedopedia/irish_water_spaniel.jpg
000013.jpg,https://previews.123rf.com/images/capturelight/capturelight1608/capturelight160800092/61242088-typical-irish-water-spaniel-in-the-spring-garden.jpg
000014.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Irish-Water-Spaniel-2.jpg
000015.jpg,https://images.ctfassets.net/w00x6p5qkejz/48lAEDvMjYAAmW06Qow2II/ef1ae30a9cfae0242b6f342b58948b6b/Irish_Water_Spaniel2.png
000016.jpg,https://i.pinimg.com/originals/dd/31/90/dd31900699ad849f1881fd400753c92f.jpg
000017.jpg,https://perfectpets.com.au/uploads/files/getfile/type/breed/id/219/file/11332751355347d1900ada45.90992271-breed-219.gif
000018.jpg,https://vetstreet.brightspotcdn.com/dims4/default/061b835/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fe5%2F7d0060a38411e087a80050568d634f%2Ffile%2FIrish-Water-Spaniel-2-645mk062411.jpg
000019.jpg,https://i.pinimg.com/originals/8a/88/2b/8a882b0371087f91b5966d72a257972c.jpg
000020.jpg,https://www.petguide.com/wp-content/uploads/2013/04/irish-water-spaniel-2.jpg
000021.jpg,https://i.ytimg.com/vi/6H-NtlQwzwA/maxresdefault.jpg
000022.jpg,https://doglime.com/wp-content/uploads/2019/04/Irish-Water-Spaniel..jpg
000023.jpg,https://animalsbreeds.com/wp-content/uploads/2018/05/Irish-Water-Spaniel.jpg
000024.jpg,https://upload.wikimedia.org/wikipedia/commons/6/67/Irlandzki_spaniel_wodny_676.jpg
