image,source
000001.jpg,https://www.dogbreedplus.com/dog_breeds/images/istrian-coarse-haired-hound.jpg
000002.jpg,https://www.petguide.com/wp-content/uploads/2017/09/istrian-coarse-haired-hound.jpg
000003.jpg,https://images.wagwalkingweb.com/media/breed/istrian-coarse-haired-hound/hero/Istrian-Coarse-Haired-Hound.jpg
000004.jpg,https://www.petguide.com/wp-content/uploads/2017/09/istrian-coarse-haired-hound-1.jpg
000005.jpg,https://www.petguide.com/wp-content/uploads/2017/09/istrian-coarse-haired-hound-2.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Istrian_hound2.jpg
000007.jpg,https://www.pets4homes.co.uk/images/articles/4138/large/all-about-the-styrian-coarse-haired-hound-59369a36c5a86.jpg
000008.jpg,https://www.dogzone.com/images/breeds/istrian-hound-800.jpg
000009.jpg,https://i.pinimg.com/originals/fd/e4/ee/fde4ee7b7e498178dbe8d2ccadabde69.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Istrian_Coarse-haired_Hound.jpg
000011.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/IstrianCoarseHairedHound.jpg
000012.jpg,http://www.dogwallpapers.net/wallpapers/istrian-coarse-haired-hound-dog-wallpaper.jpg
000013.jpg,https://2puppies.com/api/media/cache/breed_photo/Istrian-Coarse-Haired-Hound-copy/Istrian-Coarse-Haired-Hound-copy-3.jpg
000014.jpg,https://images-na.ssl-images-amazon.com/images/I/510DBIEf2QL._SX466_.jpg
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/Istrische_Bracke.jpg
000016.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/Head_of_Istrian_Coarse-haired_Hound.jpg
000017.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/3045387_orig.png
000018.jpg,http://www.dogwallpapers.net/wallpapers/istrian-coarse-haired-hound-dog-on-the-grass-wallpaper.jpg
000019.jpg,https://i.pinimg.com/originals/fb/f2/e0/fbf2e08caf39ae9c717f346ad349a9d5.jpg
