image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/Istrische_Bracke.jpg
000002.jpg,http://www.dogzone.com/images/breeds/istrian-shorthaired-hound.jpg
000003.jpg,http://yachtaparusmystoboj.space/wp-content/uploads/2017/03/istrian-shorthaired-hound.jpg
000004.jpg,https://images.wagwalkingweb.com/media/breed/istrian-shorthaired-hound/hero/Istrian-Shorthaired-Hound.jpg
000005.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/4/44/77422800391325513130e985a69d0f10.jpg/revision/latest?cb=20171203154320
000006.jpg,https://i.pinimg.com/originals/52/5c/06/525c062d11528adc86d5b00ec2b4cdb6.jpg
000007.jpg,https://www.dogbreedinfo.com/images25/IstrianShortHairedHoundPurebredDogFlekiCroatia1.jpg
000008.jpg,http://www.europetnet.com/images/dogbreeds/istrianshorthairedhound.jpg
000009.jpg,https://i.ytimg.com/vi/kIvyzGLfSi4/hqdefault.jpg
000010.jpg,https://i.pinimg.com/originals/95/64/8e/95648ef49d300a56a2c542ba71337404.jpg
000011.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/3507825_orig.png
000012.jpg,https://previews.123rf.com/images/alexytrener/alexytrener1411/alexytrener141100002/33678763-young-istrian-shorthaired-hound-dog-standing-in-wood.jpg
000013.jpg,http://www.dogwallpapers.net/wallpapers/istrian-shorthaired-hound-photo.jpg
000014.jpg,https://thumbs.dreamstime.com/z/dog-istrian-shorthaired-hound-bothered-wasp-86030115.jpg
000015.jpg,https://www.doglib.com/wp-content/uploads/sites/2/is/istrian-showthread-breed.jpg
000016.jpg,https://www.ukcdogs.com/images/breeds/istrian-short-haired-hound.jpg
000017.jpg,https://www.dogbreedplus.com/dog_breeds/images/istrian_shorthaired_hound_dog_breed_002.jpg
000018.jpg,https://c8.alamy.com/comp/X6RJYF/a-young-beautiful-white-and-orange-istrian-shorthaired-hound-puppy-dog-standing-on-the-lawn-the-istrian-short-haired-hound-is-a-scent-hound-dog-for-hunting-hare-and-foxes-X6RJYF.jpg
000019.jpg,https://st2.depositphotos.com/1710489/5826/i/950/depositphotos_58263761-stock-photo-young-istrian-shorthaired-hound-dog.jpg
000020.jpg,https://i.pinimg.com/236x/e1/1e/dd/e11edd02d5c1085b24c2767b24029df1--tanks-hunting.jpg
000021.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Istrian_hound2.jpg
000022.jpg,https://media.istockphoto.com/photos/istrian-shorthaired-hound-in-the-nature-picture-id577336300
000023.jpg,https://66.media.tumblr.com/2e16b5380289db6df69bc6e6592cb77f/tumblr_p1v0tcDymO1uvq9elo2_500.jpg
000024.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5269/9781526920478.jpg
000025.jpg,http://www.furrycritter.com/fcn/assets/img/dogs/Istrian_Shorthaired_Hound.jpg
000026.jpg,https://rukminim1.flixcart.com/image/832/832/jj4ln680/book/3/6/9/istrian-shorthaired-hound-tricks-training-istrian-shorthaired-original-imaf6rcysz3evy7e.jpeg?q=70
000027.jpg,https://thumbs.dreamstime.com/z/istrian-shorthaired-hound-run-fci-no-original-name-istarski-kratkodlaki-goni-breed-dog-istria-croatia-68200866.jpg
000028.jpg,https://i.pinimg.com/originals/5c/20/73/5c20737106a4e3498454c15b8366d063.jpg
000029.jpg,http://www.celysvet.cz/big-photo/istrian-short-haired-scent-hound-dog-standard-1.jpg
000030.jpg,https://dogbreedcartoon.com/wp-content/uploads/2016/12/Istrian-Shorthaired-Hound-Special.png
000031.jpg,https://images-na.ssl-images-amazon.com/images/I/71XKpfY0tiL._SX425_.jpg
000032.jpg,https://www.dogbreedinfo.com/images25/IstrianShortHairedHoundPurebredDogFlekiCroatia2.jpg
000033.jpg,https://2puppies.com/api/media/cache/breed_photo/Istrian-short-haired-hound/Istrian-short-haired-hound-2.jpg
000034.jpg,https://as1.ftcdn.net/jpg/02/20/52/72/500_F_220527273_nf0TNzHR8bLxDlbch74dEFi3dEZ59INn.jpg
000035.jpg,https://t4.ftcdn.net/jpg/02/20/56/27/500_F_220562760_CaTbogej4Cn5Mv2IOQIgfgctKwjCTxBV.jpg
000036.jpg,https://c8.alamy.com/comp/XAC78G/a-young-beautiful-white-and-orange-istrian-shorthaired-hound-puppy-dog-standing-on-the-lawn-the-istrian-short-haired-hound-is-a-scent-hound-dog-for-hunting-hare-and-foxes-XAC78G.jpg
000037.jpg,https://www.petadvisor.com/wp-content/uploads/2014/02/Istrian-Shorthaired-Hound1.jpg
000038.jpg,http://www.dogwallpapers.net/wallpapers/istrian-shorthaired-hound-dog-in-the-forest-wallpaper.jpg
000039.jpg,http://webeng.hks.hr/wp-content/uploads/2019/01/istarac-kd2-892x1024.jpg
000040.jpg,https://i.ytimg.com/vi/hv2cjF0hoeA/hqdefault.jpg
000041.jpg,https://cdn11.bigcommerce.com/s-jbg7mp3qyd/images/stencil/1280x1280/products/14269/14558/Istrian_Shorthaired_Hound_Co__44984__26572.1474352575.png?c=2&imbypass=on
000042.jpg,https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781526907301/0000/istrian-shorthaired-hound-guide-istrian-shorthaired-hound-guide-includes.jpg
000043.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Istrian-Shorthaired-Hound-dog-size2-300x200.jpg
000044.jpg,https://66.media.tumblr.com/be469cb9aa611075a380f2835fa330c1/tumblr_p1v0tcDymO1uvq9elo9_400.jpg
000045.jpg,https://image.shutterstock.com/display_pic_with_logo/3657392/1180137829/stock-photo-istrian-short-haired-hound-istarski-kratkodlaki-gonic-dog-digital-art-illustration-isolated-on-1180137829.jpg
000046.jpg,http://www.fci.be/Nomenclature/Illustrations/151g06.jpg
000047.jpg,http://www.dogwallpapers.net/wallpapers/istrian-shorthaired-hound-puppies-photo.jpg
000048.jpg,https://i5.walmartimages.com/asr/839a5193-de1f-41ca-ba86-46157edde1a8_1.821bbd08e36f7f4d453b92e643893d65.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
000049.jpg,http://www.molosserdogs.com/albums/album14/aae.jpg
000050.jpg,https://thumbs.dreamstime.com/z/istrian-shorthaired-hound-hunts-field-mice-fci-no-original-name-istarski-kratkodlaki-goni-breed-dog-istria-68202839.jpg
