image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/japanese-chin-dog-breed-pictures/2-multi.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210836/Japanese-Chin-on-White-01.jpg.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231749/Japanese-Chin-Care.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210842/Japanese-Chin-Puppy.jpg.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231733/Japanese-Chin-MP.jpg
000006.jpg,https://vetstreet.brightspotcdn.com/dims4/default/36cf06d/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F5a%2F74%2F1236b2c048a09b752e7ff7ec0b36%2Fjapanese-chin-AP-0MB2V5-645sm11514.jpg
000007.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Japanese-Chin_Mobile.jpg?h=300&la=en&w=375&hash=1310DBAB5CAC8CDD01F552D2B88372F6
000008.jpg,https://www.petful.com/wp-content/uploads/2015/06/Japanese-chin-750x413.jpg
000009.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23112_japanese-chin-460x290.jpg
000010.jpg,https://vetstreet-brightspot.s3.amazonaws.com/9b/3a7670a75a11e0a0d50050568d634f/file/Japanese-Chin-1-645mk062411.jpg
000011.jpg,http://cdn.akc.org/content/hero/japanese_chin_hero.jpg
000012.jpg,https://www.pets4homes.co.uk/images/breeds/109/large/7d44b85ba06a9a57f53d225a4d44cb0b.jpg
000013.jpg,https://vetstreet.brightspotcdn.com/dims4/default/f9283ac/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fe0%2F418380a75a11e0a0d50050568d634f%2Ffile%2FJapanese-Chin-4-645mk062411.jpg
000014.jpg,https://www.dogster.com/wp-content/uploads/2016/08/Japanese-Chin_225.jpg
000015.jpg,http://www.dogzone.com/images/breeds/japanese-chin.jpg
000016.jpg,https://www.petmd.com/sites/default/files/breedopedia/Miya8.JPG
000017.jpg,https://img.dog-learn.com/dog-breeds/japanese-chin/japanese-chin-sz14.jpg
000018.jpg,https://www.dogbreedinfo.com/images14/japanesechinphotosRhineRiver069.JPG
000019.jpg,http://www.pethealthnetwork.com/sites/default/files/content/images/japanese-chin145196559.png
000020.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/japanese-chin-detail.jpg?bust=1535565997&width=355
000021.jpg,https://www.petmd.com/sites/default/files/breedopedia/1376877585515.jpg
000022.jpg,https://www.pets4homes.co.uk/images/breeds/109/964d3355e0d6f5187682bf3e586ce238.jpg
000023.jpg,https://a-z-animals.com/media/animals/images/original/japanese_chin1.jpg
000024.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-IJKL/japanesechinf1.jpg
000025.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_7726b321-06b0-4bf8-a42d-070dfcf21b73.jpg
000026.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Japanese_Chin_adult.jpg/220px-Japanese_Chin_adult.jpg
000027.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/09/Images-of-Japanese-Chin.png
000028.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44204615/1/?bust=1552323777&width=720
000029.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Japanese-Chin-2.jpg
000030.jpg,https://www.showsightmagazine.com/files/news/5b69a9d26c60d6.52866116.jpg
000031.jpg,https://www.thesprucepets.com/thmb/QbG1hxo60Ew_5isTJJhkpU-r18s=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-915830672-99aa3399478048c2a41b5c0b33588e4c.jpg
000032.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2016/11/29/nbc_nds_toyjapanesechin_161121.jpg
000033.jpg,http://animechin.com/images/H7873inv16619.jpg
000034.jpg,https://perfectpets.com.au/uploads/files/getfile/type/breed/id/225/file/8327353485348c9867c0ab4.05096673-breed-225.gif
000035.jpg,https://cdn.omlet.co.uk/images/cache/1024/731/Dog-Japanese_Chin-A_Japanese_Chin_lying_down,_showing_off_it's_lovely_long_ears_and_short_nose.jpg
000036.jpg,https://4.bp.blogspot.com/-cHhaqBTBNnw/V6PDEhEi8mI/AAAAAAAAExI/mOoCCymQ75EOAnK5REH4b1-qw9dUevzvQCLcB/s1600/about-Japanese-Chin.jpg
000037.jpg,https://moderndogmagazine.com/sites/default/files/images/articles/top_images/pekingesevsjapanesechin.jpg
000038.jpg,https://www.petguide.com/wp-content/uploads/2013/02/japanese-chin.jpg
000039.jpg,https://i.etsystatic.com/7152689/r/il/f5de76/1418304360/il_794xN.1418304360_36ng.jpg
000040.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_toy_japanesechin_181120.jpg
000041.jpg,https://res.cloudinary.com/jacepharm/image/upload/v1548867948/Depositphotos_85308016_original_gtlzyn.jpg
000042.jpg,http://cdn.akc.org/content/hero/japanese_chin_hero_article.jpg
000043.jpg,https://3d4igz27oxtl2iwox73y9smh-wpengine.netdna-ssl.com/wp-content/uploads/2018/08/japanese-dog-breeds-japanese-chin-puppies-for-sale-in-fancy-clothes.jpg
000044.jpg,https://www.dogbreedplus.com/dog_breeds/images/Japanese-Chin-0093.jpg
000045.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/09/Japanese-Chin-Dog-Puppy.jpg
000046.jpg,http://www.dogbreedhealth.com/wp-content/uploads/2011/05/Japanese-Chin.jpg
000047.jpg,https://i.pinimg.com/originals/5d/26/f2/5d26f2b8b5fd598f67938ed647c3edeb.jpg
000048.jpg,https://indulgeyourpet.com/wp-content/uploads/Japanese-Chin-Puppy.png
000049.jpg,https://www.iams.com/breedselector/images/7c0e41c2a1ad00cc9f35ddaf890b85b3.jpg
000050.jpg,https://www.omlet.co.uk/images/originals/japanese-chin-dogs-how-cute-am-i-353221aa_b6694a8b.jpg
