image,source
000001.jpg,https://i.pinimg.com/originals/28/a5/75/28a575cb398cb1f0ceb80275726818f4.jpg
000002.jpg,http://www.allsmalldogbreeds.com/breeds/japanese-terrier.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Japanese_Terrier_22.04.2012_2pl.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Nihon_teria_aka_Japanese_Terrier.JPG/220px-Nihon_teria_aka_Japanese_Terrier.JPG
000005.jpg,https://www.pets4homes.co.uk/images/articles/3385/large/the-delightful-and-tiny-japanese-terrier-56700346343fe.jpg
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Japanese-Terrier-Images.jpg
000007.jpg,https://www.petmd.com/sites/default/files/breedopedia/japan_terr_chibi.jpg
000008.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/Japanese-Terrier-standing-680x340.jpg
000009.jpg,https://www.dogbreedplus.com/dog_breeds/images/japanese-terrier.jpg
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Japanese-Terrier-Dog.jpg
000011.jpg,https://brit-petfood.com/file/nodes/product/japonsky%20terier.jpg/294x294/FIT
000012.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Japanese-Terrier-1.jpg
000013.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Japanese-Terrier-Pictures.jpg
000014.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/5/55/Japanese-terrier.jpg/revision/latest?cb=20170826135222
000015.jpg,https://lasvegas-k9.com/content/images/thumbs/0006349_japanese-terrier_550.jpeg
000016.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Images-of-Japanese-Terrier.jpg
000017.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Japanese-Terrier-2.jpg
000018.jpg,https://i.pinimg.com/originals/ef/c4/0f/efc40fc12196f6e58c5074b7c32dfc75.jpg
000019.jpg,https://i.ytimg.com/vi/P0VnSxL8bRs/maxresdefault.jpg
000020.jpg,http://www.gopetsamerica.com/terriers/japanese-terrier.jpg
000021.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Female-Japanese-Terrier.jpg
000022.jpg,https://www.animalhub.com/wp-content/uploads/2013/12/Japanese-Terrier.jpg
000023.jpg,https://images.puppyfinder.com/Breed/4/3/9/439c6c3c2a991848_584_image1.jpg
000024.jpg,https://www.petmd.com/sites/default/files/breedopedia/black_russian_terrier.jpg
000025.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/Japanese-Terrier-on-the-sea-background-680x467.jpg
000026.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Japanese_Terrier_22.04.2012_1pl.jpg
000027.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2018/10/rat.jpg
000028.jpg,https://www.petmd.com/sites/default/files/breedopedia/schipperke.jpg
000029.jpg,https://www.ukcdogs.com/images/breeds/japanese-terrier.jpg
000030.jpg,https://cdn.petmoo.com/wp-content/uploads/2018/12/Japanese-Terrier-990x556.jpg
000031.jpg,http://www.dogwallpapers.net/wallpapers/japanese-terrier-dogs-photo.jpg
000032.jpg,https://p3d.in/model_data/wideshot/kwDiw
000033.jpg,https://puppydogweb.com/gallery/japaneseterriers/japaneseterrier_lear.jpg
000034.jpg,https://animalsbreeds.com/wp-content/uploads/2014/10/Japanese-Terrier-5.jpg
000035.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/5703810_orig.png
000036.jpg,http://www.dogvog.com/wp-content/uploads/2018/04/dogs.jpg
000037.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Japanese_Terrier_2.jpg
000038.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Japanese-Terrier-3.jpg
000039.jpg,https://i.pinimg.com/originals/5b/c8/42/5bc8423cac64561a761458aee7f89061.jpg
000040.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Japanese-Terrier-Puppies.jpg
000041.jpg,https://k9harness.com/Content/Images/uploaded/japanese-terrier-harness.jpg
000042.jpg,https://i.pinimg.com/236x/8d/c1/cf/8dc1cf671120c390d7ab69c303eaf7a6--exotic-its-raining.jpg
000043.jpg,https://wds2018.com/wp-content/uploads/2017/05/Japanse-Terrier.jpg
000044.jpg,https://www.dogbreedinfo.com/images5/JapaneseTerriermaleefemale.jpg
000045.jpg,http://dogzonenyc.com/wp-content/uploads/japanese-terrier3.jpg
000046.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/Japanese-Terrier-puppy-680x454.jpg
000047.jpg,http://nihonteria.com/wp-content/uploads/2014/01/Keru.jpg
000048.jpg,https://www.petmd.com/sites/default/files/breedopedia/lakeland_terrier.jpg
000049.jpg,https://dogbreedsfaq.com/wp-content/uploads/10-Japanese-dog-breeds-on-white-background-1.jpg
000050.jpg,https://live.staticflickr.com/5812/22759049890_25b02cb6aa_b.jpg
