image,source
000001.jpg,https://i.ytimg.com/vi/nKv6DUByNZ8/maxresdefault.jpg
000002.jpg,https://i.ytimg.com/vi/cYLZlhUonJI/hqdefault.jpg
000003.jpg,https://www.dogzone.com/images/breeds/karakachan-dog-puppy.jpg
000004.jpg,https://www.pets4homes.co.uk/images/articles/3366/large/the-karakachan-dog-a-rare-gentle-giant-5661a51f7288c.jpg
000005.jpg,https://www.dogzone.com/images/breeds/karakachan-dog.jpg
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/09/Karakachan-Dog.jpg
000007.jpg,https://www.pets4homes.co.uk/images/articles/3366/large/the-karakachan-dog-a-rare-gentle-giant-5661a50ce2b39.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/09/Karakachan-Dog-Pictures.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/09/Karakachan-Bear-Dog.jpg
000010.jpg,https://i2.wp.com/thetuckerfarm.com/wp-content/uploads/2016/02/dsc_1633.jpg?fit=1200%2C795&ssl=1
000011.jpg,https://images.wagwalkingweb.com/media/breed/karakachan/hero/Karakachan.jpg
000012.jpg,http://static.bnr.bg/gallery/9c/9c7f979f3166b9c50d25fdda72b0fc34.jpg
000013.jpg,https://www.dogbreedinfo.com/images17/BulgarianShepherdDogNick17.jpg
000014.jpg,https://www.novinite.com/media/images/2010-03/photo_verybig_114669.jpg
000015.jpg,https://iamcountryside.com/wp-content/uploads/2019/03/karakachan_livestock_guardian_dogs1.jpg
000016.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/09/Karakachan-Photos.jpg
000017.jpg,https://c8.alamy.com/comppt/ph41y7/karakachan-cao-pastor-bulgaro-ph41y7.jpg
000018.jpg,https://i.ytimg.com/vi/LxNiQRjoyMQ/maxresdefault.jpg
000019.jpg,http://www.hoppingacres.com/uploads/2/5/8/7/25872572/oogieblackfemale_orig.jpg
000020.jpg,http://media.snimka.bg/9750/025755231.jpg?r=0
000021.jpg,https://animalsadda.com/wp-content/uploads/2017/09/Bulgarian-Shepherd-Dog-3.jpg
000022.jpg,https://i.pinimg.com/originals/05/3a/04/053a04e98c24d0d311015c323cd1d736.jpg
000023.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/09/Karakachan.jpg
000024.jpg,https://live.staticflickr.com/6012/5918247420_a3b12285c8_b.jpg
000025.jpg,https://www.karakachanusa.org/uploads/2/5/8/7/25872572/5940165_orig.jpg
000026.jpg,https://static.wixstatic.com/media/22a674_2fa9fff6adc543c0976d77ff5954f00e~mv2.jpg
000027.jpg,https://previews.123rf.com/images/stuny/stuny1412/stuny141200110/34626320-karakachan-dog-bulgarian-shepherd-dog-and-her-young-daughter-.jpg
000028.jpg,https://static1.bigstockphoto.com/3/1/2/large1500/213290179.jpg
000029.jpg,https://www.dogbreedinfo.com/images8/KarakachanMitkoOrfo.jpg
000030.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/09/Karakachan-Dogs-Pictures.jpg
000031.jpg,https://thumbs.dreamstime.com/z/karakachan-dog-portrait-bulgarian-shepherd-park-mountain-guardian-selective-focus-103716527.jpg
000032.jpg,https://c8.alamy.com/comp/CEY4HA/bulgarian-karakachan-shepherd-dog-CEY4HA.jpg
000033.jpg,https://www.littletotsestate.com/img/dogs/nunu.jpg
000034.jpg,https://www.karakachanusa.org/uploads/2/5/8/7/25872572/4728624_orig.jpg
000035.jpg,https://previews.123rf.com/images/stuny/stuny1412/stuny141200109/34626314-karakachan-dog-bulgarian-shepherd-dog-and-her-young-daughter-.jpg
000036.jpg,https://i.pinimg.com/236x/9e/ab/e1/9eabe148627ce5dd8468443ce1432040--spirit-animal-dreams.jpg
000037.jpg,https://i.ytimg.com/vi/lcIDUZWVuEI/hqdefault.jpg
000038.jpg,https://blueridgeponderosa.files.wordpress.com/2016/01/12540834_10205981649523643_322146489585103103_n.jpg
000039.jpg,https://image.shutterstock.com/display_pic_with_logo/218288311/1290710569/stock-photo-bulgarian-karakachan-dog-1290710569.jpg
000040.jpg,https://thumbs.dreamstime.com/z/karakachan-dog-portrait-bulgarian-shepherd-park-mountain-guardian-selective-focus-103716650.jpg
000041.jpg,https://c8.alamy.com/comp/PH41YM/karakachan-bulgarian-shepherd-dog-PH41YM.jpg
000042.jpg,https://traditionalcookingschool.com/blog/wp-content/uploads/2013/12/MindyPlaying.jpg
000043.jpg,http://static.bnr.bg/gallery/48/4811b5366336e619676722994c6bcf05.jpg
000044.jpg,https://previews.123rf.com/images/stuny/stuny1412/stuny141200111/34626324-karakachan-dog-bulgarian-shepherd-dog-and-her-young-daughter-.jpg
000045.jpg,https://live.staticflickr.com/5235/5912997434_3decd9408e_b.jpg
000046.jpg,http://www.notinthedoghouse.com/wp-content/uploads/2013/09/Karakachan_52469f2028565.jpg
000047.jpg,https://thumbs.dreamstime.com/z/karakachan-mountain-shepherd-guardian-dog-selective-focus-dog-karakachan-dog-portrait-bulgarian-shepherd-dog-103716557.jpg
000048.jpg,http://www.hoppingacres.com/uploads/2/5/8/7/25872572/7055345_orig.jpg
000049.jpg,https://i1.wp.com/charlescarrollsociety.com/wp-content/uploads/2015/05/transmontano0.jpg?fit=480%2C360&ssl=1
000050.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/03/BfIx6DSIMAEFIXw.jpg
