image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/4/44/Owczarek_kraski_654.jpg
000002.jpg,https://www.dogzone.com/images/breeds/karst-shepherd.jpg
000003.jpg,https://i.ytimg.com/vi/nfs1a3e1BzI/maxresdefault.jpg
000004.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Karst-Shepherd-2.jpg
000005.jpg,https://www.dogbreedinfo.com/images12/KarstShepherdch1ANA.JPG
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/07/Karst-Shepherd.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/07/Karst-Shepherd-Pictures.jpg
000008.jpg,https://www.dogbreedinfo.com/images12/KarstShepherd1000007IMG.JPG
000009.jpg,http://molosserdogs.com/gallery/albums/userpics/15491/luks2.jpg
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/07/Karst-Shepherd-Puppies.jpg
000011.jpg,https://brit-petfood.com/file/nodes/product/Kra%C5%A1sk%C3%BD%20ov%C4%8D%C3%A1k.jpg
000012.jpg,https://images.puppyfinder.com/Breed/a/c/5/ac5f100e8c95fd1a_593_image1_medium.jpg
000013.jpg,https://www.dogbreedplus.com/dog_breeds/images/karst_shepherd_dog_002.jpg
000014.jpg,https://i.ytimg.com/vi/wKRRD-IWUFM/maxresdefault.jpg
000015.jpg,https://www.petpaw.com.au/wp-content/uploads/2015/03/Fenced-Karst-Shepherd-Dog-705x705.jpg
000016.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Karst_Shepherd_at_a_show.jpg
000017.jpg,https://i.pinimg.com/originals/d3/12/3a/d3123ad279312e73d80b1861fb5bfc6a.jpg
000018.jpg,http://www.furrycritter.com/fcn/assets/img/dogs/Karst_Shepherd_Dog.jpg
000019.jpg,https://dinalpbear.eu/wp-content/uploads/rsz_dsc_0806.jpg
000020.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/07/Karst-Shepherds.jpg
000021.jpg,https://alchetron.com/cdn/karst-shepherd-f6869cd2-5ea8-456d-86d9-f1914df8d16-resize-750.jpg
000022.jpg,https://images.wagwalkingweb.com/media/breed/karst-shepherd/hero/Karst-Shepherd.jpg
000023.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Karst-Shepherd-3.jpg
000024.jpg,https://i.ytimg.com/vi/O279od5BqQ8/maxresdefault.jpg
000025.jpg,https://i2.wp.com/www.travel-slovenia.si/wp-content/uploads/2014/06/travel-slovenia-karst-shepherd2.jpg?ssl=1
000026.jpg,http://www.fci.be/Nomenclature/Illustrations/278g02.jpg
000027.jpg,https://images-na.ssl-images-amazon.com/images/I/51UiC40stsL.jpg
000028.jpg,https://dinalpbear.eu/wp-content/uploads/Dan-kra%C5%A1kega-ov%C4%8Darja_VesnaO1.jpg
000029.jpg,https://t4.ftcdn.net/jpg/02/60/52/31/500_F_260523141_6piXYDYO27ZHQo3I4iaAisyY9s6oAjm6.jpg
000030.jpg,https://c8.alamy.com/comp/JGC85W/slovenia-soca-valley-volarje-village-ron-the-karst-shepherd-dog-that-JGC85W.jpg
000031.jpg,https://www.thatsupergirl.com/wp-content/uploads/2016/03/karst-walking-karst-shepherd-puppy-breed.jpg
000032.jpg,https://i0.wp.com/www.travel-slovenia.si/wp-content/uploads/2014/06/travel-slovenia-karst-shepherd.jpg?resize=300%2C211&ssl=1
000033.jpg,https://www.dogbreedinfo.com/images4/kraskiovcar.jpg
000034.jpg,http://thezaurus.com/wp-content/uploads/2000/10/kraskiovcar_dsc_0160-1024x687.jpg
000035.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ka/karst-karstshepherd-breed.jpg
000036.jpg,https://media.gettyimages.com/photos/portrait-of-a-dog-of-the-breed-karst-shepherd-dog-in-the-yard-picture-id652678898
000037.jpg,https://www.istrianet.org/istria/fauna/dogs/images/dogs-kraski2.jpg
000038.jpg,https://i.pinimg.com/originals/54/5e/90/545e90801b9f99c2cef05592ab93fdf6.jpg
000039.jpg,https://i.ytimg.com/vi/7sI0_aQDDMc/maxresdefault.jpg
000040.jpg,http://www.lestako.com/img/p/1/3/7/137-large_default.jpg
000041.jpg,http://www.tiptopglobe.com/big-photo/karst-shepherd-dog-standard-1.jpg
000042.jpg,http://www.dogwallpapers.net/wallpapers/karst-shepherd-puppy-photo.jpg
000043.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ka/karst-karst-shepherd-dog-oruginal-slovenia-breed.jpg
000044.jpg,https://c8.alamy.com/comp/JGC86Y/slovenia-soca-valley-volarje-village-ron-the-karst-shepherd-dog-that-JGC86Y.jpg
000045.jpg,http://www.zooclub.biz/img/katalog/17/77/292_28.jpg
000046.jpg,https://t3.ftcdn.net/jpg/02/60/52/30/500_F_260523008_bDwKuOk8XZC2P0eNCbrS799M1Q03k0SC.jpg
000047.jpg,https://dogsofsf.com/wp-content/uploads/2011/11/CIMG1727-600x608.jpg
000048.jpg,http://4.bp.blogspot.com/-rRi3nsMMHN4/USiyiya7AGI/AAAAAAAAObE/xhdoYHPv9Wo/s1600/jena.jpg
000049.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/04/Karst-Shepherd.jpg
000050.jpg,https://cdn.pixabay.com/photo/2018/06/11/16/46/dogs-3468825_960_720.jpg
