image,source
000001.jpg,https://i.pinimg.com/736x/61/43/48/614348ef031e5bdb0e78ac236f570ad8.jpg
000002.jpg,https://comps.canstockphoto.com/the-kerry-blue-terrier-stock-photography_csp13288908.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Kerry_Blue_Terrier_Kelly_with_Russell.JPG
000004.jpg,https://i.pinimg.com/originals/d6/ee/e8/d6eee871cea4250bfd04de3d7ef03712.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Kerry_Blue_Terrier.jpg
000006.jpg,https://www.petful.com/wp-content/uploads/2015/09/Kerry-blue-terrier-750x420.jpg
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Kerry-Blue-Terrier-1.jpg
000008.jpg,https://doglime.com/wp-content/uploads/2019/03/All-About-Kerry-Blue-Terrier-Origin-And-Behavior..jpg
000009.jpg,https://www.petguide.com/wp-content/uploads/2013/09/kerry-blue-terrier.jpg
000010.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/kerry-blue-terrier-detail.jpg?bust=1535566018&width=355
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231610/Kerry-Blue-Terrier-On-White-01-400x267.jpg
000012.jpg,http://cdn.akc.org/content/article-body-image/Kerry_Blue_Terrier_field.jpg
000013.jpg,https://i.ytimg.com/vi/dleNbhCcUGU/hqdefault.jpg
000014.jpg,https://images.ctfassets.net/w00x6p5qkejz/5x1xPHsqpGIse46UaOSOgc/cde2b7e866947f33d59edbc724992312/Kerry_Blue_Terrier_B_W_Small_File.png
000015.jpg,http://static.pedigreedatabase.com/dogbreeds/kerry_blue_terrier.jpg
000016.jpg,https://i.pinimg.com/originals/97/86/29/97862982d112e2b00c3f7241d6d85f95.jpg
000017.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23070_kerry-blue-terrier-460x290.jpg
000018.jpg,https://www.omlet.de/images/cache/512/768/Dog-Kerry_Blue_Terrier-A_Kerry_Blue_Terrier_with_a_beautifully_groomed,_tight_curled_coat.jpg
000019.jpg,http://www.pethealthnetwork.com/sites/default/files/content/images/the-kerry-blue-terrier.jpg
000020.jpg,https://www.dogzone.com/images/breeds/kerry-blue-terrier.jpg
000021.jpg,https://www.dogsnsw.org.au/media/img/BrowseAllBreed/Kerry-Blue-Terrier.jpg
000022.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Kerry-Blue-Terrier-3.jpg
000023.jpg,http://3.bp.blogspot.com/-t1gXm2J3ktI/UNc5NI_P-5I/AAAAAAAAAvc/S_qS4nFqRe0/s1600/kerry+blue+terrier4.jpg
000024.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231605/Kerry-Blue-Terrier-On-White-03-400x267.jpg
000025.jpg,https://i.ytimg.com/vi/8uhUvbbH_Uw/hqdefault.jpg
000026.jpg,https://www.k9rl.com/wp-content/uploads/2016/11/Kerry-Blue-Terrier.jpg
000027.jpg,https://www.omlet.de/images/cache/557/768/Dog-Kerry_Blue_Terrier-A_lovely_Kerry_Blue_Terrier_sitting_neatly,_awaiting_some_attention.jpg
000028.jpg,http://www.caseykerryblueterriers.com/image/124737893.png
000029.jpg,https://media.gettyimages.com/photos/two-dogs-kerry-blue-terrier-picture-id153773258
000030.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12221014/Kerry-Blue-Terrier-Illo-2-500x500.jpg
000031.jpg,https://st2.depositphotos.com/1009420/8760/i/950/depositphotos_87609164-stock-photo-kerry-blue-terrier.jpg
000032.jpg,http://puppyfinder.org.uk/wp/wp-content/uploads/2013/01/kerry_blue.jpg
000033.jpg,https://minepuppy.com/wp-content/uploads/2018/03/Kerry-Blue-Terrier-breed-puppies-minepuppy.jpg
000034.jpg,https://dog-supplements.com/wp-content/uploads/2017/09/Kerry-Blue-Terrier-Dog-Breed.jpg
000035.jpg,http://doglover.in/wp-content/uploads/2018/05/kerry-blue-terrier-wesen-charakter.jpg
000036.jpg,https://images.ctfassets.net/w00x6p5qkejz/6kQKvVRLQ4eksUYgCgOkWE/be1bd973d3df43dc3e975e09d855ba8f/Kerry_Blue_Terrier1.png
000037.jpg,http://olizurekerryblues.com/images/page_260.jpg
000038.jpg,https://cdn.britannica.com/s:300x300/34/8134-004-68465722.jpg
000039.jpg,https://animals.net/wp-content/uploads/2018/11/Kerry-Blue-Terrier-2-650x425.jpg
000040.jpg,https://i.ebayimg.com/images/g/t9cAAOSw3xJVgGTB/s-l300.jpg
000041.jpg,http://www.truebluekerries.com/images/home.jpg
000042.jpg,https://brit-petfood.com/file/nodes/product/kerryblueterrier.jpg
000043.jpg,https://i.ytimg.com/vi/AOjZVswo2Fo/maxresdefault.jpg
000044.jpg,https://animals.net/wp-content/uploads/2018/11/Kerry-Blue-Terrier-3-650x425.jpg
000045.jpg,http://crosstherubicon-kerryblueterrier.com/sitebuilder/images/lord_with_sheep-267x362.jpg
000046.jpg,https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX29965642.jpg
000047.jpg,https://img1.wsimg.com/isteam/ip/f0fde4e2-641b-407b-936e-9b9e169285e8/logo/6aa1afea-1c28-4d21-b698-7dbcd9f99404.jpg/:/rs=h:294/qt=q:95
000048.jpg,https://meowbarkers.files.wordpress.com/2016/12/90c77-kerryblueterrier1.jpg?w=432&h=433
000049.jpg,https://c8.alamy.com/comp/BNKNHE/kerry-blue-terrier-dog-sitting-in-a-meadow-BNKNHE.jpg
000050.jpg,http://onlydogbreeds.com/images/dogsTable/kerry_blue_terrier.jpg
