image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/cavalier-king-charles-spaniel-detail.jpg?bust=1535565465&width=355
000002.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/cavalier-king-charles-spaniel-dog-breed-pictures/6-sittingforward.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/CarterBIS.Tiki.13.6.09.jpg
000004.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-CD/cavalierkingcharlesspanielsf2.jpg
000005.jpg,https://hellobark.com/wp-content/uploads/louie-the-cav-2.jpg
000006.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/cavalier-king-charles-spaniel-card-small.jpg?bust=1535568934
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234921/Cavalier-King-Charles-Spaniel-On-White-03.jpg
000008.jpg,http://media.gettyimages.com/photos/young-cavalier-king-charles-spaniel-dog-running-across-grass-field-picture-id803849554?s=170667a&w=1007
000009.jpg,https://media.gettyimages.com/photos/closeup-portrait-of-cavalier-king-charles-spaniel-relaxing-on-sofa-at-picture-id685086913?s=612x612
000010.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23100_cavalier-king-charles-spaniel-460x290.jpg
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234934/Cavalier-King-Charles-Spaniel-Care.jpg
000012.jpg,http://www.dogshub.in/wp-content/uploads/2018/07/Cavalier-King-Charles-Spaniel-dog-india.jpg
000013.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Cavalier-King-Charles-Spaniel-2.jpg
000014.jpg,https://www.petsworld.in/blog/wp-content/uploads/2015/10/cavalier-king-charles-spaniel-puppies.jpg
000015.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/768/content/uploads/2018/03/fotolia_85527176.jpg
000016.jpg,https://i.pinimg.com/originals/88/a6/9f/88a69fd87af75489fa383f1e555671c3.jpg
000017.jpg,https://www.omlet.de/images/cache/1024/683/Dog-Cavalier_King_Charles_Spaniel-A_mature_adult_Cavalier_King_Charles_Spaniel_with_a_lovely,_long_coat.jpg
000018.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/cavalier-king-charles-spaniel-700x700.jpg
000019.jpg,https://i.pinimg.com/originals/ef/1e/57/ef1e576deeb3797763c91a454fd4751c.jpg
000020.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Cavalier_King_Charles_Spaniel_02.jpg/220px-Cavalier_King_Charles_Spaniel_02.jpg
000021.jpg,https://st3.depositphotos.com/1004244/15328/i/1600/depositphotos_153284304-stock-photo-cavalier-king-charles-spaniel-puppy.jpg
000022.jpg,http://woofposts.com/wp-content/uploads/2017/09/Cavalier-King-Charles-Spaniel.jpeg
000023.jpg,https://www.traditionsvetcenters.com/sites/default/files/styles/large/adaptive-image/public/cavalier-king-charles-spaniel-dog-breed-info.jpg?itok=rF2Lif9W
000024.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/08/king-charles-spaniel-long.jpg
000025.jpg,https://t2.ea.ltmcdn.com/en/images/6/7/3/img_cavalier_king_charles_spaniel_names_for_girls_and_boys_2376_600.jpg
000026.jpg,https://www.holidogtimes.com/wp-content/uploads/2015/10/cavalier-king-charles-cover.png
000027.jpg,https://img.dog-learn.com/dog-breeds/cavalier-king-charles-spaniel/cavalier-king-charles-spaniel-sz14.jpg
000028.jpg,https://i.ytimg.com/vi/riO_QzBJvGU/maxresdefault.jpg
000029.jpg,https://i.pinimg.com/originals/ca/6c/e5/ca6ce5ee901957b73be2864a210cb7e3.jpg
000030.jpg,https://www.dogproductpicker.com/wp-content/uploads/2019/06/Cavalier-King-Charles-Spaniel-Breed-Information-%E2%80%93-All-You-Need-to-Know-300x200.jpg
000031.jpg,https://vetstreet.brightspotcdn.com/dims4/default/8608a7b/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Ff6%2F95%2Fb91443a6470cab45132fb2e90114%2FAP-NM4WCH-ph645080113.jpg
000032.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/50/52/38/42/700_FO50523842_2ad2f3dc1411569fda8d77519e58d639.jpg,700,700,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,480,650,jpg)/stickers-cavalier-king-charles-spaniel-dog-portrait.jpg.jpg
000033.jpg,https://hellobark.com/wp-content/uploads/cavalier-king-charles-spaniel.jpg
000034.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/King_Charles_Spaniel_200.jpg/220px-King_Charles_Spaniel_200.jpg
000035.jpg,https://thatdogmomma.com/wp-content/uploads/2018/05/shot-by-ireland-1284748-unsplash-1140x1710.jpg
