image,source
000001.jpg,https://img.jakpost.net/c/2019/04/14/2019_04_14_69967_1555214643._large.jpg
000002.jpg,https://i.pinimg.com/236x/8c/9a/74/8c9a74900231b8c48011c089f25ab957--bali-indonesia-long-hair.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Kintamani_dog_white.jpg
000004.jpg,https://balipedia.com/uploads/article/201708/1503630929-dog.jpg/1024/768
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/07/Kintamani-Dogs.jpg
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/07/Kintamani-Dog-Pictures.jpg
000007.jpg,https://i.pinimg.com/236x/04/9f/cf/049fcf623adc40ff0ef97400a17a5e73--animals-dog-cutest-dogs.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/07/Kintamani-Puppy.jpg
000009.jpg,https://upload.wikimedia.org/wikipedia/en/5/55/Kintamani_dog_white02.jpg
000010.jpg,https://i.ytimg.com/vi/-1rsPDGTk3g/hqdefault.jpg
000011.jpg,https://i.pinimg.com/236x/17/0e/38/170e38a3da7fafa27da0a0fb64d7318d--funny-dogs-nature.jpg
000012.jpg,https://cdn.japantimes.2xx.jp/wp-content/uploads/2018/06/f-kintamani-a-20180609.jpg
000013.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/07/Balinese-Kintamani.jpg
000014.jpg,http://2.bp.blogspot.com/_zn7Kg9fdGsg/TQtEo6_SpYI/AAAAAAAAAAc/LLj49LnJeA8/w1200-h630-p-k-no-nu/sydney+bagus+rev.jpg
000015.jpg,https://img.kyodonews.net/english/public/images/posts/da1fc290dfa437f99794dc2788f29aa5/cropped_image_l.jpg
000016.jpg,https://images06.foap.com/images/35fb8e54-c418-4454-b64d-8b800e5d4bbf/kintamani-dog.jpg?filename=w1280&dw=960
000017.jpg,http://dog.besttravelpictures.com/wp-content/uploads/2015/02/Kintamani-Dog1-300x230.jpg
000018.jpg,http://www.fci.be/Nomenclature/Illustrations/362g05.jpg
000019.jpg,https://balidiscovery.com/images/shares/bali-update/kintamani2.jpg
000020.jpg,http://dogbreeds.bulldoginformation.com/kintamani-dog-b.jpg
000021.jpg,https://data.whicdn.com/images/59304037/large.jpg
000022.jpg,https://coconuts.co/wp-content/uploads/2019/04/Screen-Shot-2019-04-15-at-16.45.23.png
000023.jpg,http://2.bp.blogspot.com/-dXzT6muiHsU/T8bV6taJOBI/AAAAAAAAAB8/yPVAVBV5sP8/s1600/Brown+Kintamani.jpg
000024.jpg,https://images.wagwalkingweb.com/media/activity_guides/activities-for-kintamani-dogs/hero/Activities-For-Kintamani-Dogs.jpg
000025.jpg,https://media-cdn.tripadvisor.com/media/photo-s/12/35/81/c0/bodyguard-from-the-highlander.jpg
000026.jpg,https://statik.tempo.co/data/2015/12/23/id_466649/466649_620.jpg
000027.jpg,http://pets-place.net/Breeds/K/KintamaniDogImage1.jpg
000028.jpg,http://www.ninaandmorten.com/wp-content/uploads/2018/08/IMG-8305-1024x768.jpg
000029.jpg,https://balinewsinformation.files.wordpress.com/2015/11/anjing-044.jpg
000030.jpg,https://cdn3.foap.com/images/4d216ab8-d363-4423-a6aa-27cc05b10fdb/w640.jpg?1531885716
000031.jpg,http://ubudnowandthen.com/wp-content/uploads/2017/04/10351825_867182539961463_6018160485563642165_n.jpg
000032.jpg,http://3.bp.blogspot.com/-Mj6fkC8vJfg/U850Ym-ahbI/AAAAAAAAAWY/qVPPI5Rwikk/s1600/kintamani+2.jpg
000033.jpg,https://doglime.com/wp-content/uploads/2019/04/Kintamani-dog..jpg
000034.jpg,http://www.dogwallpapers.net/wallpapers/resting-kintamani-dog-wallpaper.jpg
000035.jpg,https://img.freepik.com/free-photo/lonely-stray-dog_2959-3.jpg?size=338&ext=jpg
000036.jpg,https://www.robsdogs.net.au/wp-content/uploads/2019/04/Kintamani-Recognized-breed.jpg
000037.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ki/kintamani-jual-anjing-kintamani-puppies-show-pet-quality-prospect-breed.jpg
000038.jpg,https://t4.ftcdn.net/jpg/01/89/64/85/500_F_189648540_FXooZtDAJWTW94eG9vKX0KJgej9l02N6.jpg
000039.jpg,https://i.pinimg.com/originals/c0/5a/2a/c05a2a3fe75c0642888549a6f0f64586.jpg
000040.jpg,https://img.freepik.com/free-photo/puppy-eye-stray-dog_2959-4.jpg?size=338&ext=jpg
000041.jpg,https://c8.alamy.com/comp/CNMB07/domestic-dog-kintamani-two-puppies-jakarta-java-indonesia-CNMB07.jpg
000042.jpg,https://images.prod.meredith.com/product/6fe7b9843e88323e3de8417a929db87e/81327abf7bbc700783bee93df7490d422ce85aaf74d3b629d2ff9093ff0090ce/l/wood-sculpture-sleepy-kintamani-dog-indonesia
000043.jpg,https://www.straitstimes.com/sites/default/files/styles/medium/public/articles/2018/07/23/hzdogs0723.jpg?itok=Q7S84gBM
000044.jpg,https://i.ytimg.com/vi/X75Vcjc378Q/maxresdefault.jpg
000045.jpg,https://live.staticflickr.com/5266/5553184081_e83db31b44_b.jpg
000046.jpg,https://c8.alamy.com/comp/X2K016/domestic-dog-kintamani-two-puppies-jakarta-java-indonesia-X2K016.jpg
000047.jpg,https://www.wallpaperflare.com/static/952/337/151/dog-muzzle-ball-playful-wallpaper.jpg
000048.jpg,https://cdn.timesmedia.co.id/images/2019/04/13/ANJING.jpg
000049.jpg,https://images1.novica.net/pictures/10/p246951_2_400.jpg
000050.jpg,https://images1.novica.net/pictures/10/p246952_2a_400.jpg
