image,source
000001.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210847/Nederlandse-Kooikerhondje-Puppy-MP.jpg
000002.jpg,https://vetstreet.brightspotcdn.com/41/8a/23d8711d4906a59b33eb3b548e51/kooikerhondje-ap-1x4hhu-335.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/01/12194816/Nederlandse-Kooikerhondje-Field.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27080721/Kooiker-Profile2-800x600.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/01/12195842/Nederlandse-Kooikerhondje-Hero.jpg
000006.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23266_kooikerhondje-460x290.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Kooiker03.jpg
000008.jpg,https://www.pets4homes.co.uk/images/breeds/309/large/2d34de3f5a3518eff34c5e88f24b135b.jpg
000009.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/kooikerhondje-dog-breed-pictures/laying-8.jpg
000010.jpg,https://www.petmd.com/sites/default/files/dog-in-garden-picture-id692456320.jpg
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210850/Nederlandse-Kooikerhondje-on-White-01.jpg
000012.jpg,https://vetstreet-brightspot.s3.amazonaws.com/35/04/1d47f06a4858b53aec4b98b28f47/Kooikerhondje-AP-THBSE1-645sm5814.jpg
000013.jpg,https://cdn.omlet.co.uk/images/cache/512/768/Dog-Kooikerhondje-A_close_up_of_a_Kooikerhondje's_incredibly_stern_face.jpg
000014.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Kooikerhondje-2.jpg
000015.jpg,https://i.pinimg.com/originals/41/05/9b/41059b53ae3d2dfcd3eb35e32c84f99d.jpg
000016.jpg,https://www.kooikerhondje.nl/images/stories/infopages/jonge_kooiker.jpg
000017.jpg,https://www.petful.com/wp-content/uploads/2014/04/Kooikerhondje-750x412.jpg
000018.jpg,http://caninechronicle.com/wp-content/uploads/2018/04/09.jpg
000019.jpg,https://www.pets4homes.co.uk/images/breeds/309/large/dd97afca7b0eeed0ebd0059f4b296f3a.jpg
000020.jpg,https://bloximages.chicago2.vip.townnews.com/emissourian.com/content/tncms/assets/v3/editorial/d/13/d1337420-f0e5-11e3-b8e2-001a4bcf887a/53977824ac625.image.jpg?resize=400%2C355
000021.jpg,http://breedfinder.ikc.ie/Content/images/breeds/38_kooikerhondje.jpg
000022.jpg,https://www.dogbreedplus.com/dog_breeds/images/kooikerhondje.JPG
000023.jpg,https://www.kooikerhondje.nl/images/stories/infopages/rs_stand.jpg
000024.jpg,https://vetstreet-brightspot.s3.amazonaws.com/1f/91/96a897eb4c3ea17cbe3297f72f76/Kooikerhondje-AP-0WPEWB-645sm5814.jpg
000025.jpg,https://cdn.pixabay.com/photo/2019/01/06/18/00/dog-3917568_960_720.jpg
000026.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12195757/Nederlandse-Kooikerhondje-Care.jpg
000027.jpg,https://img.cutenesscdn.com/640/clsd/getty/fd73ddc5c3904cd18cce13300710e874
000028.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_sporting_nederlandsekooikerhondje_181120.jpg
000029.jpg,http://akc.org/wp-content/uploads/2018/01/Nederlandse-Kooikerhondje-Snow.jpg
000030.jpg,https://www.purina.com/sites/g/files/auxxlc196/files/styles/facebook_share/public/Article-Pg-Kooikerhondje_Thumb_Dark.jpg?itok=M02q6RF6
000031.jpg,https://www.omlet.co.uk/images/originals/kooikerhondje-hunde-running-kooikerhondjes-c4edb694_67def682.jpg
000032.jpg,https://images.wagwalkingweb.com/media/breed/kooikerhondje/hero/Kooikerhondje1.jpg
000033.jpg,https://i.ytimg.com/vi/-Ns--J7ESzU/hqdefault.jpg
000034.jpg,https://cdn.omlet.co.uk/images/cache/512/768/Dog-Kooikerhondje-A_Kooikerhondje_sitting_very_neatly,_waiting_for_its_next_command.jpg
000035.jpg,https://www.dogbreedinfo.com/images5/Kooikerhondje4.jpg
000036.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/6165185_orig.png
000037.jpg,https://usatftw.files.wordpress.com/2019/02/00100dportrait_00100_burst20190212095813289_cover.jpg?w=1000&h=600&crop=1
000038.jpg,https://doggiedesigner.com/wp-content/uploads/2018/04/63.1.jpg
000039.jpg,https://i1.wp.com/www.dogbreedinfo.com/images5/Kooikerhondje2.jpg
000040.jpg,https://sandiepownerphotography.co.uk/wp-content/uploads/2018/10/DSC_3538.jpg
000041.jpg,https://live.staticflickr.com/2867/11697622213_6799f65b66_z.jpg
