image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/2015/08/jindo-460x271.png
000002.jpg,https://i.pinimg.com/originals/8c/24/46/8c2446109522a9d244197544d92fe210.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12204838/Kishu-Ken-on-White-01-400x267.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03201430/Jindo.1.jpg
000005.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/05/jindo.jpg
000006.jpg,https://images.ctfassets.net/w00x6p5qkejz/4IQHKDVicUw6k8YUUICmom/099cc07fe25a5d10c6f6ef42ae3035ef/Korean_Jindo_300x300-1.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Chundung.jpg
000008.jpg,https://www.petguide.com/wp-content/uploads/2016/02/korean-jindo.jpg
000009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Peeb_the_Korea_Jindo_Dog.jpg/220px-Peeb_the_Korea_Jindo_Dog.jpg
000010.jpg,https://images.wagwalkingweb.com/media/activity_guides/activities-for-a-korean-jindo/hero/Activities-For-A-Korean-Jindo_I6KlyF4.jpg
000011.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/05/Korean-Jindo-HP-long.jpg
000012.jpg,https://i0.wp.com/puppytoob.com/wp-content/uploads/2018/08/Korean-Jindo-Dog-3.jpg?resize=750%2C375
000013.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/korean-jindo-dog-breed-pictures/korean-jindo-dog-breed-pictures-7.jpg
000014.jpg,https://www.rover.com/blog/wp-content/uploads/2016/09/contemplative-jindo-dog-1024x683.jpg
000015.jpg,https://3d4igz27oxtl2iwox73y9smh-wpengine.netdna-ssl.com/wp-content/uploads/2019/01/Korean-Jindo-Dog-Breed-sitting-on-rock.jpg
000016.jpg,https://precisionk9work.com/wp-content/uploads/2017/10/Korea-Jindo-Training.jpg
000017.jpg,http://www.barkingbad.ca/wp-content/uploads/2016/02/Korean-Jindo-Dog-3-257x300.jpg
000018.jpg,https://i.ytimg.com/vi/eU6JoK0FHAA/hqdefault.jpg
000019.jpg,https://3d4igz27oxtl2iwox73y9smh-wpengine.netdna-ssl.com/wp-content/uploads/2019/01/White-Korean-Jindo-Dog-Staring-at-Camera.jpg
000020.jpg,https://i.pinimg.com/originals/33/67/50/33675048d16e3c9fa8e0a41b6115aba9.jpg
000021.jpg,https://www.dogalize.com/wp-content/uploads/2017/05/Korean-Jindo-Dog.jpg
000022.jpg,https://wds2018.com/wp-content/uploads/2017/05/1-Jindo.jpg
000023.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12200043/Jindo-History-01-e1517003339142.jpg
000024.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2016/01/Screen-Shot-2016-01-10-at-10.14.41-AM.png
000025.jpg,http://www.jindos.org/uploads/1/2/8/3/12834465/body-brochure_1_orig.jpg
000026.jpg,http://bib.ge/dogs/big/1031.jpg
000027.jpg,https://www.petmd.com/sites/default/files/beautiful-dog-in-park-at-sunset-picture-id186598448.jpg
000028.jpg,https://primitivedogs.com/wp-content/uploads/2016/08/Korean-Jindo-featured.jpg
000029.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/01/Korean-Jindo-Images.jpg
000030.jpg,https://www.breedyourdog.com/uploads/listing_images/32583/92237/thumb_kim12.jpg
000031.jpg,https://d32l83enj9u8rg.cloudfront.net/wp-content/uploads/korean-jindo-dog-breed-1.jpg
000032.jpg,https://www.pets4homes.co.uk/images/classifieds/2016/07/05/1322102/large/korean-jindo-puppies-577b6df71c236.JPG
000033.jpg,http://www.dogwallpapers.net/wallpapers/korean-jindo-dog-near-the-car-photo.jpg
000034.jpg,https://3d4igz27oxtl2iwox73y9smh-wpengine.netdna-ssl.com/wp-content/uploads/2019/01/Jindo-Puppy-resting-on-floor.jpg
000035.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Korean-Jindo-Dog-1.jpg
000036.jpg,http://www.jindos.org/uploads/1/2/8/3/12834465/published/caesar-2016_1.jpg?1494726226
000037.jpg,https://www.dogbreedplus.com/dog_breeds/images/jindo_dog_005.jpg
000038.jpg,https://www.petassure.com/petassure/file-streams/page/sG7YazkyhLEi2YewW0BWECjindo-another-little-known-breed.jpg.jpg
000039.jpg,http://www.korea.net/upload/content/editImage/jindo_01.jpg
000040.jpg,http://www.gopetsamerica.com/spitz/korea-jindo-dog.jpg
000041.jpg,https://sites.google.com/site/hyungwonkang/_/rsrc/1525189938748/work/korean-jindo-dogs/Kang-Roger.jpg?height=400&width=317
000042.jpg,https://i.ytimg.com/vi/86InAT67zvU/hqdefault.jpg
000043.jpg,https://mk0cesarswaykigy4yk3.kinstacdn.com/wp-content/uploads/2015/06/Korean-Breed.jpg
000044.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/01/Korean-Jindo-Photos.jpg
000045.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/05/jindo-header.jpg
000046.jpg,https://static1.viovet.co.uk/breeds/s0b307-breeds-c275x500.jpeg
000047.jpg,https://c8.alamy.com/comp/GATXJF/korean-jindo-dog-GATXJF.jpg
000048.jpg,http://pds.joins.com/jmnet/koreajoongangdaily/_data/photo/2016/01/08053229.jpg
000049.jpg,https://i.barkpost.com/wp-content/uploads/2014/06/DOG-2-superJumbo.jpg?q=70&fit=crop&crop=entropy&w=808&h=500
