image,source
000001.jpg,https://www.researchgate.net/profile/Orhan_Yilmaz5/publication/275824006/figure/fig6/AS:294443501539330@1447212209362/Turkish-Kars-Caucasian-Shepherd-Dogs-guards-its-flock-near-city-of-Baskale-Van.png
000002.jpg,https://www.researchgate.net/profile/Orhan_Yilmaz5/publication/275824006/figure/fig5/AS:294443501539329@1447212209320/A-Turkish-Akbash-shepherd-dog-near-city-of-Gurun-Sivas-Province-Turkey_Q320.jpg
000003.jpg,https://i.ytimg.com/vi/lERq-hWNNLk/maxresdefault.jpg
000004.jpg,https://www.researchgate.net/profile/Richard_Wilson23/publication/282005963/figure/fig5/AS:649285255315463@1531813076100/A-long-coated-grey-Rize-Koyun-dog-Photo-Orhan-Yilmaz.png
000005.jpg,https://www.researchgate.net/profile/Richard_Wilson23/publication/282005963/figure/fig4/AS:649285255303168@1531813076024/A-typical-reddish-brown-Kars-dog-in-attentive-pose-and-a-grey-white-dog-on-flock-guard_Q320.jpg
000006.jpg,https://www.researchgate.net/profile/Orhan_Yilmaz5/publication/275824006/figure/fig1/AS:294443497345054@1447212208922/A-Turkish-Kangal-Karabash-shepherd-bitch-in-a-village-near-Ashkhabad-Turkmenistan_Q320.jpg
000007.jpg,https://www.researchgate.net/profile/Orhan_Yilmaz5/publication/275824006/figure/fig8/AS:294443501539332@1447212209474/A-Karaman-Dog-with-his-lady-owner.png
000008.jpg,http://www.molosserdogs.com/gallery/albums/userpics/10185/koyuntchi.jpg
000009.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Great_Pyrenees_Mountain_Dog.jpg
000010.jpg,https://i.ytimg.com/vi/9A58Zkwy9uk/maxresdefault.jpg
000011.jpg,https://www.researchgate.net/profile/Richard_Wilson23/publication/282005963/figure/fig1/AS:649285251125248@1531813075475/Kangal-dog-and-puppies-at-the-Sivas-annual-breed-show-12-July-2002-Photos-RT-Wilson_Q320.jpg
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Varish%2C_Berger_d%27anatolie%2C_Kangal.jpeg
000013.jpg,https://farm6.static.flickr.com/5599/15446184087_bbe0c5f957_b.jpg
000014.jpg,https://i.ytimg.com/vi/-am6vGRddAg/maxresdefault.jpg
000015.jpg,https://www.researchgate.net/profile/Richard_Wilson23/publication/282005963/figure/fig3/AS:649285251104781@1531813075953/Akbash-dog-in-classic-white-and-sharing-guard-duties-with-a-Kangal-Photos-Orhan-Yilmaz_Q320.jpg
000016.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/Varish.jpg
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/3/37/Protector_of_the_sheep.jpg
000018.jpg,https://pbs.twimg.com/media/DxdkYriUwAE_ulj.jpg
000019.jpg,https://i0.shbdn.com/photos/91/77/51/x5_673917751dhi.jpg
000020.jpg,https://farm8.static.flickr.com/7769/17515649632_f90bcf8d03_b.jpg
000021.jpg,https://www.researchgate.net/profile/Orhan_Yilmaz5/publication/273257326/figure/fig3/AS:294700851449868@1447273566947/Bulgarian-Shepherd-Dog_Q320.jpg
000022.jpg,https://i0.shbdn.com/photos/42/40/89/x5_61642408916t.jpg
000023.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/02.Owczarek_niemiecki_u%C5%BCytkowy_kr%C3%B3tkow%C5%82osy_suka.jpg/440px-02.Owczarek_niemiecki_u%C5%BCytkowy_kr%C3%B3tkow%C5%82osy_suka.jpg
000024.jpg,https://i.ytimg.com/vi/ERQPKG9tn1k/hqdefault.jpg
000025.jpg,https://st2.depositphotos.com/1660108/10544/i/950/depositphotos_105443748-stock-photo-dog-guard-the-sheep-on.jpg
000026.jpg,https://fastly.4sqi.net/img/general/600x600/41931355_sPXe-cvGH_EufNIwNglrqLEHS1o2LPWdhJNhIIx_uww.jpg
000027.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Female_Malinois_2005-01-29.jpg/1200px-Female_Malinois_2005-01-29.jpg
000028.jpg,https://i.pinimg.com/originals/f4/00/d0/f400d0ad6e6bee12f7acd6d72ecc69b4.jpg
000029.jpg,https://i0.shbdn.com/photos/44/55/64/x5_70144556431b.jpg
000030.jpg,https://i.pinimg.com/originals/e9/40/43/e9404370641e328698c941c67b33249b.jpg
000031.jpg,https://peopledotcom.files.wordpress.com/2018/02/sheep-dog-4.jpg
000032.jpg,https://farm7.static.flickr.com/6032/6852336602_77a4d6f712_b.jpg
000033.jpg,https://thumbs.dreamstime.com/z/dogs-country-origin-turkish-dog-breeds-infographic-template-vector-illustration-templ-116335374.jpg
000034.jpg,https://fastly.4sqi.net/img/general/600x600/50307424_46kBS3RuE0Y79aJpPa4EsencsnAHxmEF5P7pMoTD3rY.jpg
000035.jpg,https://previews.123rf.com/images/katwood90/katwood901511/katwood90151100013/48361467-sheep-dog-shaggy-dog.jpg
000036.jpg,http://molosserdogs.com/gallery/albums/userpics/25853/59999335e57bec34b04b0e4ae72c9961~0.jpg
000037.jpg,https://scontent.cdninstagram.com/vp/d5fea6857e09e757a001b90526ecc6ea/5DB50125/t51.2885-15/e35/c0.21.758.758a/s480x480/64515704_515581905863996_5415325773468934782_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com
000038.jpg,https://st2.depositphotos.com/1660108/10544/i/950/depositphotos_105442752-stock-photo-dog-guard-the-sheep-on.jpg
000039.jpg,https://i.ytimg.com/vi/MtpVm448M4E/hqdefault.jpg
000040.jpg,https://instagram.fist1-2.fna.fbcdn.net/vp/1a0c52c7e9f01223cbd708ca6377bb65/5D6E22E5/t51.2885-15/sh0.08/e35/c0.1.1080.1080/s640x640/53808889_309641116625354_7838045407411883068_n.jpg?_nc_ht=instagram.fist1-2.fna.fbcdn.net
000041.jpg,https://scontent.cdninstagram.com/vp/4d4fd0a066487bdb92a31ccd0a9c5498/5D46FF9F/t51.2885-15/e35/s480x480/32077861_142158649834534_3337907608739643392_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com
000042.jpg,https://scontent-ort2-2.cdninstagram.com/vp/1dba29ecf685ca4e965d532c6c74bbd9/5D94A55A/t51.2885-15/sh0.08/e35/s640x640/47693032_361591524628527_2202899533736406818_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com
000043.jpg,https://i0.shbdn.com/photos/67/58/59/x5_429675859a1v.jpg
000044.jpg,https://t4.ftcdn.net/jpg/00/97/44/19/500_F_97441991_1tjgOtGbcfLurtQDkAOboHkVHgcIkZHc.jpg
000045.jpg,https://scontent-lhr3-1.cdninstagram.com/vp/b33da4ce0f66f341543b8dde59dc460d/5D59ADDB/t51.2885-15/e35/58410155_2294765844105828_7892187095612671846_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&ig_cache_key=MjAzODY4MTExNzYxMjM5NDkxNg%3D%3D.2
000046.jpg,https://cdn1.vectorstock.com/i/thumb-large/80/85/dogs-by-country-of-origin-turkish-dog-breeds-vector-20848085.jpg
000047.jpg,https://i.sozcu.com.tr/wp-content/uploads/2019/03/iecrop/rekortmen-koyun-bu-kez-besiz-dogurdu_16_9_1552810494-880x495.jpg
000048.jpg,https://scontent.cdninstagram.com/vp/df9fbb003de4b4376e211c8b285e43d0/5D3F3C3C/t51.2885-15/e35/s480x480/56520209_319304815440220_4985423611757225516_n.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com
000049.jpg,https://i.pinimg.com/736x/c7/14/44/c71444c2a055184eed133333bbc61f96--large-dogs-big-dogs.jpg
000050.jpg,https://elements-video-cover-images-0.imgix.net/files/180260366/koyun5.jpg?auto=compress%2Cformat&fit=min&h=394&w=700&s=a2628df9e6a1b8d7e84cec3e27c0c3bb
